Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,2.2,2.2,0.004445278141226184,103.14,1.0,2.2,0.0,0,0,0.3
2002/01/01 @ 01:00:00,1,1,1,2.1,2.04,0.004368987318368182,103.17,0.99,1.95,0.0,0,0,0.2
2002/01/01 @ 02:00:00,1,1,2,1.5,1.5,0.004226596142467076,103.13,1.0,1.49,0.0,0,0,0.3
2002/01/01 @ 03:00:00,1,1,3,1.7,1.7,0.00428807401031775,103.23,1.0,1.69,0.0,0,0,0.4
2002/01/01 @ 04:00:00,1,1,4,1.8,1.8,0.004319111480441121,103.26,1.0,1.79,0.0,0,0,0.3
2002/01/01 @ 05:00:00,1,1,5,2.0,2.0,0.004381789164965024,103.31,1.0,1.99,0.0,0,0,1.0
2002/01/01 @ 06:00:00,1,1,6,2.0,2.0,0.004381789164965024,103.3,1.0,1.99,0.0,0,0,1.0
2002/01/01 @ 07:00:00,1,1,7,1.9,1.9,0.0043503494848068334,103.31,1.0,1.89,0.0,0,0,0.5
2002/01/01 @ 08:00:00,1,1,8,1.4,1.4,0.004196153491632083,103.3,1.0,1.39,5.0,0,5,0.4
2002/01/01 @ 09:00:00,1,1,9,1.4,1.4,0.004196153491632083,103.3,1.0,1.39,24.43,22,23,0.6
2002/01/01 @ 10:00:00,1,1,10,1.2,1.2,0.004135855166913939,103.34,1.0,1.19,54.62,26,51,0.8
2002/01/01 @ 11:00:00,1,1,11,1.6,1.6,0.004257235940950848,103.33,1.0,1.59,76.01,33,70,1.0
2002/01/01 @ 12:00:00,1,1,12,1.9,1.9,0.0043503494848068334,103.31,1.0,1.89,75.14,27,70,1.3
2002/01/01 @ 13:00:00,1,1,13,3.2,3.2,0.004775218956432532,103.31,1.0,3.2,40.14,7,39,1.5
2002/01/01 @ 14:00:00,1,1,14,3.4,3.4,0.004843772929170397,103.29,1.0,3.41,10.1,1,10,1.5
2002/01/01 @ 15:00:00,1,1,15,3.4,3.4,0.004843772929170397,103.33,1.0,3.41,0.0,0,0,1.5
2002/01/01 @ 16:00:00,1,1,16,3.3,3.3,0.004809386817776927,103.29,1.0,3.31,0.0,0,0,1.2
2002/01/01 @ 17:00:00,1,1,17,3.3,3.3,0.004809386817776927,103.28,1.0,3.31,0.0,0,0,1.0
2002/01/01 @ 18:00:00,1,1,18,3.1,3.1,0.004741268123537168,103.3,1.0,3.1,0.0,0,0,0.9
2002/01/01 @ 19:00:00,1,1,19,3.1,3.1,0.004741268123537168,103.3,1.0,3.1,0.0,0,0,0.8
2002/01/01 @ 20:00:00,1,1,20,3.1,3.1,0.004741268123537168,103.3,1.0,3.1,0.0,0,0,0.9
2002/01/01 @ 21:00:00,1,1,21,3.1,3.1,0.004741268123537168,103.31,1.0,3.1,0.0,0,0,0.9
2002/01/01 @ 22:00:00,1,1,22,3.0,3.0,0.004707533101471665,103.31,1.0,3.0,0.0,0,0,0.9
2002/01/01 @ 23:00:00,1,1,23,3.0,3.0,0.004707533101471665,103.31,1.0,3.0,0.0,0,0,0.9
2002/01/02 @ 00:00:00,1,2,0,3.1,3.1,0.004741268123537168,103.3,1.0,3.1,0.0,0,0,0.8
2002/01/02 @ 01:00:00,1,2,1,2.9,2.9,0.004674012681100194,103.47,1.0,2.9,0.0,0,0,0.4
2002/01/02 @ 02:00:00,1,2,2,2.9,2.9,0.004674012681100194,103.51,1.0,2.9,0.0,0,0,0.6
2002/01/02 @ 03:00:00,1,2,3,2.9,2.9,0.004674012681100194,103.53,1.0,2.9,0.0,0,0,0.5
