Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,-8.3,-9.8,0.0011000518440969116,100.92,0.59,-14.18,0.0,0,0,7.2
2002/01/01 @ 01:00:00,1,1,1,-8.9,-10.24,0.001096642728149406,100.92,0.62,-14.22,0.0,0,0,7.7
2002/01/01 @ 02:00:00,1,1,2,-10.6,-11.89,0.0008973757069140925,101.25,0.59,-16.38,0.0,0,0,7.7
2002/01/01 @ 03:00:00,1,1,3,-11.7,-12.92,0.0007992839703107391,101.25,0.58,-17.61,0.0,0,0,7.2
2002/01/01 @ 04:00:00,1,1,4,-12.8,-13.98,0.0006986299997475466,101.25,0.56,-19.02,0.0,0,0,6.7
2002/01/01 @ 05:00:00,1,1,5,-13.3,-14.36,0.000703367905779516,101.59,0.59,-18.95,0.0,0,0,6.7
2002/01/01 @ 06:00:00,1,1,6,-13.3,-14.36,0.000703367905779516,101.59,0.59,-18.95,0.0,0,0,6.7
2002/01/01 @ 07:00:00,1,1,7,-13.3,-14.36,0.000703367905779516,101.59,0.59,-18.95,0.0,0,0,6.2
2002/01/01 @ 08:00:00,1,1,8,-13.3,-14.36,0.000703367905779516,101.59,0.59,-18.95,125.0,0,125,6.7
2002/01/01 @ 09:00:00,1,1,9,-11.7,-12.92,0.0007992839703107391,101.59,0.58,-17.61,218.13,319,143,6.7
2002/01/01 @ 10:00:00,1,1,10,-10.0,-11.2,0.0010109405791178135,101.59,0.63,-15.1,282.0,506,121,6.7
2002/01/01 @ 11:00:00,1,1,11,-8.9,-10.02,0.001202974715554087,101.25,0.68,-13.21,351.12,600,135,6.2
2002/01/01 @ 12:00:00,1,1,12,-8.3,-9.57,0.0012121395515405223,101.59,0.65,-13.12,267.67,289,164,5.7
2002/01/01 @ 13:00:00,1,1,13,-8.9,-10.2,0.0011143622059574109,101.59,0.63,-14.04,205.58,107,172,5.1
2002/01/01 @ 14:00:00,1,1,14,-9.4,-10.76,0.0010153530467794988,101.59,0.6,-15.05,138.38,41,129,5.1
2002/01/01 @ 15:00:00,1,1,15,-8.3,-9.57,0.0012121395515405223,101.59,0.65,-13.12,92.49,32,89,5.7
2002/01/01 @ 16:00:00,1,1,16,-7.8,-9.04,0.0013054816192908005,101.25,0.67,-12.31,23.0,5,23,5.7
2002/01/01 @ 17:00:00,1,1,17,-7.2,-8.41,0.0014168304720494785,101.25,0.69,-11.4,0.0,0,0,5.7
2002/01/01 @ 18:00:00,1,1,18,-6.1,-7.31,0.0016039812443336382,101.25,0.71,-10.01,0.0,0,0,5.7
2002/01/01 @ 19:00:00,1,1,19,-5.6,-6.8,0.0016983135807881857,101.25,0.72,-9.37,0.0,0,0,5.7
2002/01/01 @ 20:00:00,1,1,20,-4.4,-5.64,0.0019085279105027096,101.25,0.73,-8.04,0.0,0,0,5.7
2002/01/01 @ 21:00:00,1,1,21,-4.4,-5.83,0.0018036477645446017,101.25,0.69,-8.69,0.0,0,0,5.7
2002/01/01 @ 22:00:00,1,1,22,-4.4,-5.97,0.0017250107942838723,101.25,0.66,-9.19,0.0,0,0,6.2
2002/01/01 @ 23:00:00,1,1,23,-3.9,-5.32,0.001909486024051946,101.25,0.7,-8.04,0.0,0,0,6.7
2002/01/02 @ 00:00:00,1,2,0,-3.9,-5.32,0.001909486024051946,101.25,0.7,-8.04,0.0,0,0,6.7
2002/01/02 @ 01:00:00,1,2,1,-2.8,-4.31,0.0020959331007849176,101.25,0.7,-6.97,0.0,0,0,7.2
2002/01/02 @ 02:00:00,1,2,2,-2.2,-3.76,0.0022045144015577778,101.25,0.7,-6.39,0.0,0,0,7.2
2002/01/02 @ 03:00:00,1,2,3,-2.2,-3.6,0.0022993428816121798,101.25,0.73,-5.9,0.0,0,0,6.7
2002/01/02 @ 04:00:00,1,2,4,-1.1,-2.59,0.00252105652526588,101.25,0.73,-4.83,0.0,0,0,6.7
2002/01/02 @ 05:00:00,1,2,5,2.2,0.3,0.0031050368340794963,101.25,0.7,-2.38,0.0,0,0,6.7
2002/01/02 @ 06:00:00,1,2,6,2.8,1.12,0.0034274728327211286,101.25,0.74,-1.2,0.0,0,0,6.7
2002/01/02 @ 07:00:00,1,2,7,0.6,-1.05,0.0028061185447120006,101.25,0.71,-3.58,0.0,0,0,6.7
2002/01/02 @ 08:00:00,1,2,8,1.7,-0.27,0.0029094712241359206,101.25,0.68,-3.15,0.0,0,0,7.2
2002/01/02 @ 09:00:00,1,2,9,1.7,-0.39,0.002823510057636,101.25,0.66,-3.5,22.94,4,22,6.7
2002/01/02 @ 10:00:00,1,2,10,-1.7,-3.47,0.0022000317499074407,101.25,0.67,-6.41,86.38,20,80,6.7
2002/01/02 @ 11:00:00,1,2,11,-2.8,-4.83,0.0017956496182445541,101.25,0.6,-8.74,122.68,24,114,6.2
2002/01/02 @ 12:00:00,1,2,12,-1.7,-3.63,0.002101190061414525,101.25,0.64,-6.94,104.96,11,101,5.7
2002/01/02 @ 13:00:00,1,2,13,-1.7,-3.63,0.002101190061414525,101.25,0.64,-6.94,86.89,6,85,5.1
2002/01/02 @ 14:00:00,1,2,14,-2.2,-4.08,0.0020149438471280213,101.25,0.64,-7.42,66.15,5,65,5.1
2002/01/02 @ 15:00:00,1,2,15,0.6,-1.05,0.0028061185447120006,100.92,0.71,-3.58,17.0,0,17,5.7
2002/01/02 @ 16:00:00,1,2,16,2.2,0.88,0.003506506640078227,101.25,0.79,-0.93,0.0,0,0,6.7
2002/01/02 @ 17:00:00,1,2,17,-3.3,-4.08,0.002412612945593594,100.92,0.84,-5.35,0.0,0,0,7.2
2002/01/02 @ 18:00:00,1,2,18,-1.1,-1.97,0.002902714738974858,100.92,0.84,-3.18,0.0,0,0,6.7
2002/01/02 @ 19:00:00,1,2,19,0.6,-0.48,0.003203382164981366,100.92,0.81,-2.01,0.0,0,0,6.2
2002/01/02 @ 20:00:00,1,2,20,3.3,1.78,0.0036966531749799917,101.25,0.77,-0.3,0.0,0,0,5.7
2002/01/02 @ 21:00:00,1,2,21,2.2,0.88,0.003506506640078227,101.25,0.79,-0.93,0.0,0,0,5.1
2002/01/02 @ 22:00:00,1,2,22,3.3,1.78,0.0036966531749799917,101.25,0.77,-0.3,0.0,0,0,5.1
2002/01/02 @ 23:00:00,1,2,23,3.9,2.41,0.0039078979754307765,101.25,0.78,0.4,0.0,0,0,5.7
2002/01/03 @ 00:00:00,1,3,0,0.6,-0.59,0.0031238890284659405,101.25,0.79,-2.31,0.0,0,0,5.7
2002/01/03 @ 01:00:00,1,3,1,0.6,-0.59,0.0031238890284659405,101.59,0.79,-2.31,0.0,0,0,6.7
2002/01/03 @ 02:00:00,1,3,2,-1.7,-2.81,0.0025957118099477865,101.59,0.79,-4.49,0.0,0,0,7.2
2002/01/03 @ 03:00:00,1,3,3,-2.8,-3.75,0.002426579050344781,101.59,0.81,-5.28,0.0,0,0,7.2
2002/01/03 @ 04:00:00,1,3,4,-2.8,-3.75,0.002426579050344781,101.59,0.81,-5.28,0.0,0,0,6.7
2002/01/03 @ 05:00:00,1,3,5,-2.2,-3.07,0.002615646029058711,101.93,0.83,-4.4,0.0,0,0,5.7
2002/01/03 @ 06:00:00,1,3,6,-2.2,-3.23,0.0025207214332265675,101.93,0.8,-4.83,0.0,0,0,5.7
2002/01/03 @ 07:00:00,1,3,7,-2.8,-3.75,0.002426579050344781,101.93,0.81,-5.28,0.0,0,0,5.7
2002/01/03 @ 08:00:00,1,3,8,-3.3,-4.37,0.0022396628801760405,101.93,0.78,-6.21,141.0,0,141,5.7
2002/01/03 @ 09:00:00,1,3,9,-2.2,-3.54,0.002330958778625917,101.93,0.74,-5.74,222.76,320,147,5.1
2002/01/03 @ 10:00:00,1,3,10,-2.2,-3.92,0.0021097147277710005,101.93,0.67,-6.9,282.62,508,120,5.1
2002/01/03 @ 11:00:00,1,3,11,-1.7,-3.63,0.002101190061414525,101.93,0.64,-6.94,345.45,602,127,4.6
2002/01/03 @ 12:00:00,1,3,12,-2.8,-4.62,0.0019157283260248664,101.93,0.64,-8.0,307.18,470,137,3.6
2002/01/03 @ 13:00:00,1,3,13,-2.8,-4.46,0.002005817702058786,101.93,0.67,-7.48,277.06,362,162,2.6
2002/01/03 @ 14:00:00,1,3,14,-2.8,-4.46,0.002005817702058786,101.93,0.67,-7.48,244.94,433,144,2.1
2002/01/03 @ 15:00:00,1,3,15,-7.2,-8.6,0.0013139446950880503,101.93,0.64,-12.24,167.63,454,116,2.1
2002/01/03 @ 16:00:00,1,3,16,-8.9,-10.02,0.001202974715554087,101.93,0.68,-13.21,100.0,302,100,2.1
2002/01/03 @ 17:00:00,1,3,17,-10.0,-11.0,0.0011073920638500446,101.93,0.69,-14.11,0.0,0,0,2.1
2002/01/03 @ 18:00:00,1,3,18,-9.4,-10.34,0.0012188216123011463,101.93,0.72,-13.06,0.0,0,0,2.1
2002/01/03 @ 19:00:00,1,3,19,-8.9,-9.81,0.0013093430036511522,101.59,0.74,-12.28,0.0,0,0,2.1
2002/01/03 @ 20:00:00,1,3,20,-7.8,-8.47,0.00159850481254994,101.59,0.82,-10.05,0.0,0,0,2.1
2002/01/03 @ 21:00:00,1,3,21,-6.7,-7.5,0.0017163333614191552,101.93,0.8,-9.25,0.0,0,0,1.5
2002/01/03 @ 22:00:00,1,3,22,-5.6,-6.41,0.0019112551492909673,101.59,0.81,-8.03,0.0,0,0,2.1
2002/01/03 @ 23:00:00,1,3,23,-5.6,-6.41,0.0019112551492909673,101.59,0.81,-8.03,0.0,0,0,1.5
2002/01/04 @ 00:00:00,1,4,0,-7.8,-8.47,0.00159850481254994,101.59,0.82,-10.05,0.0,0,0,1.5
2002/01/04 @ 01:00:00,1,4,1,-8.9,-9.6,0.0014157476110328241,101.59,0.8,-11.41,0.0,0,0,1.0
2002/01/04 @ 02:00:00,1,4,2,-10.6,-11.44,0.001110692585474267,101.59,0.73,-14.08,0.0,0,0,1.0
2002/01/04 @ 03:00:00,1,4,3,-9.4,-10.14,0.0013206057452076233,101.59,0.78,-12.18,0.0,0,0,1.0
2002/01/04 @ 04:00:00,1,4,4,-7.8,-8.47,0.00159850481254994,101.25,0.82,-10.05,0.0,0,0,1.0
2002/01/04 @ 05:00:00,1,4,5,-6.7,-7.34,0.0018023987264862177,101.25,0.84,-8.7,0.0,0,0,1.0
2002/01/04 @ 06:00:00,1,4,6,-6.1,-6.76,0.0018985644662418125,100.92,0.84,-8.1,0.0,0,0,1.5
2002/01/04 @ 07:00:00,1,4,7,-5.0,-5.31,0.0023116244822215595,100.92,0.93,-5.84,0.0,0,0,1.5
2002/01/04 @ 08:00:00,1,4,8,-0.6,-0.93,0.003388328234931075,101.25,0.94,-1.34,0.0,0,0,1.5
2002/01/04 @ 09:00:00,1,4,9,1.1,0.81,0.0038994102406881815,101.25,0.95,0.37,2.0,0,2,0.0
2002/01/04 @ 10:00:00,1,4,10,-1.7,-2.01,0.0030910179417878362,100.92,0.94,-2.43,20.0,0,20,0.0
2002/01/04 @ 11:00:00,1,4,11,-1.7,-2.17,0.00299189387519099,100.92,0.91,-2.82,47.73,2,47,0.0
