Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,-8.9,-10.12,0.0011498041854267164,101.83,0.65,-13.7,0.0,0,0,0.0
2002/01/01 @ 01:00:00,1,1,1,-9.9,-11.04,0.0010524002801239542,101.9,0.65,-14.67,0.0,0,0,0.1
2002/01/01 @ 02:00:00,1,1,2,-11.4,-12.43,0.0009203949124207276,102.0,0.65,-16.11,0.0,0,0,0.1
2002/01/01 @ 03:00:00,1,1,3,-11.3,-12.28,0.0009573186366205003,102.11,0.67,-15.69,0.0,0,0,1.6
2002/01/01 @ 04:00:00,1,1,4,-11.7,-12.59,0.0009511041246916877,102.04,0.69,-15.76,0.0,0,0,1.8
2002/01/01 @ 05:00:00,1,1,5,-12.7,-13.48,0.0008941104054980204,101.99,0.71,-16.42,0.0,0,0,2.4
2002/01/01 @ 06:00:00,1,1,6,-12.6,-13.38,0.000902258678047736,102.08,0.71,-16.32,43.0,0,43,2.4
2002/01/01 @ 07:00:00,1,1,7,-12.3,-13.1,0.0009271135826888849,102.22,0.71,-16.03,80.0,0,80,3.0
2002/01/01 @ 08:00:00,1,1,8,-11.9,-12.66,0.0009883496613913307,102.41,0.73,-15.34,100.0,0,100,3.0
2002/01/01 @ 09:00:00,1,1,9,-9.5,-10.47,0.0011912635150609493,102.48,0.71,-13.32,181.23,132,161,2.4
2002/01/01 @ 10:00:00,1,1,10,-7.8,-9.03,0.0013054816192908005,102.59,0.67,-12.31,245.9,377,155,3.0
2002/01/01 @ 11:00:00,1,1,11,-5.2,-6.69,0.0016108717553367227,102.48,0.66,-9.97,292.96,506,145,2.4
2002/01/01 @ 12:00:00,1,1,12,-4.7,-6.23,0.0016813688236504676,102.44,0.66,-9.48,255.87,477,111,2.4
2002/01/01 @ 13:00:00,1,1,13,-5.3,-6.87,0.0015485836784979417,102.45,0.64,-10.41,227.05,343,133,2.4
2002/01/01 @ 14:00:00,1,1,14,-5.9,-7.45,0.0014476130744604508,102.55,0.63,-11.16,197.69,421,111,2.4
2002/01/01 @ 15:00:00,1,1,15,-6.6,-8.09,0.0013625866447240893,102.62,0.63,-11.83,134.98,454,88,2.4
2002/01/01 @ 16:00:00,1,1,16,-7.9,-9.31,0.0011973461357187402,102.7,0.62,-13.26,98.0,274,98,1.8
2002/01/01 @ 17:00:00,1,1,17,-8.7,-10.04,0.0011161402673743517,102.75,0.62,-14.03,0.0,0,0,1.8
2002/01/01 @ 18:00:00,1,1,18,-9.3,-10.59,0.0010585799862593513,102.71,0.62,-14.6,0.0,0,0,1.6
2002/01/01 @ 19:00:00,1,1,19,-10.1,-11.29,0.001001988715202995,102.78,0.63,-15.2,0.0,0,0,1.0
2002/01/01 @ 20:00:00,1,1,20,-10.8,-11.93,0.0009413301334911549,102.78,0.63,-15.87,0.0,0,0,1.6
2002/01/01 @ 21:00:00,1,1,21,-11.2,-12.27,0.0009226343721542454,102.8,0.64,-16.08,0.0,0,0,1.6
2002/01/01 @ 22:00:00,1,1,22,-11.7,-12.73,0.0008820857879588236,102.85,0.64,-16.56,0.0,0,0,1.6
2002/01/01 @ 23:00:00,1,1,23,-11.9,-12.89,0.0008798841371032628,102.82,0.65,-16.59,0.0,0,0,1.8
2002/01/02 @ 00:00:00,1,2,0,-11.9,-12.92,0.0008663286023646499,102.79,0.64,-16.76,0.0,0,0,1.8
2002/01/02 @ 01:00:00,1,2,1,-12.2,-13.23,0.0008299836818742469,102.76,0.63,-17.21,0.0,0,0,1.8
2002/01/02 @ 02:00:00,1,2,2,-11.7,-12.79,0.0008544827356155099,102.72,0.62,-16.9,0.0,0,0,1.8
2002/01/02 @ 03:00:00,1,2,3,-10.7,-11.96,0.0008893945422393713,102.86,0.59,-16.48,0.0,0,0,2.4
2002/01/02 @ 04:00:00,1,2,4,-11.1,-12.42,0.0008144255189616085,102.99,0.56,-17.41,0.0,0,0,3.0
2002/01/02 @ 05:00:00,1,2,5,-10.5,-11.97,0.0008132251605518233,102.97,0.53,-17.43,0.0,0,0,3.0
2002/01/02 @ 06:00:00,1,2,6,-9.5,-11.07,0.0008888214433690775,102.97,0.53,-16.48,61.0,0,61,4.2
2002/01/02 @ 07:00:00,1,2,7,-9.0,-10.62,0.0009289836919098418,102.99,0.53,-16.01,92.0,0,92,4.2
2002/01/02 @ 08:00:00,1,2,8,-8.1,-9.82,0.0010054868320125477,103.04,0.53,-15.16,116.0,0,116,4.7
2002/01/02 @ 09:00:00,1,2,9,-7.1,-8.86,0.0011387023432864883,103.04,0.55,-13.81,218.46,133,198,4.7
2002/01/02 @ 10:00:00,1,2,10,-6.2,-8.1,0.001208690483326023,103.05,0.54,-13.16,311.47,378,220,4.7
2002/01/02 @ 11:00:00,1,2,11,-4.1,-6.21,0.0014740401636952857,103.05,0.55,-10.96,397.88,507,249,4.7
2002/01/02 @ 12:00:00,1,2,12,-3.8,-5.94,0.0015121141486795823,103.05,0.55,-10.67,340.09,567,167,4.2
2002/01/02 @ 13:00:00,1,2,13,-3.6,-5.77,0.0015379941626872985,102.88,0.55,-10.48,277.56,578,118,3.0
2002/01/02 @ 14:00:00,1,2,14,-3.2,-5.42,0.001590973262976125,102.75,0.55,-10.1,219.37,545,106,2.4
2002/01/02 @ 15:00:00,1,2,15,-4.9,-6.82,0.0014269339147586575,102.73,0.57,-11.32,156.33,457,108,3.2
2002/01/02 @ 16:00:00,1,2,16,-5.7,-7.49,0.0013556405432679803,102.83,0.58,-11.89,111.0,278,111,3.6
2002/01/02 @ 17:00:00,1,2,17,-6.5,-8.16,0.0012869996085680961,102.86,0.59,-12.47,0.0,0,0,4.2
2002/01/02 @ 18:00:00,1,2,18,-6.7,-8.34,0.0012648795741658158,102.91,0.59,-12.66,0.0,0,0,4.7
2002/01/02 @ 19:00:00,1,2,19,-7.2,-8.83,0.0011905265844417321,102.95,0.58,-13.32,0.0,0,0,4.7
2002/01/02 @ 20:00:00,1,2,20,-7.6,-9.23,0.001129860842154238,102.96,0.57,-13.89,0.0,0,0,4.4
2002/01/02 @ 21:00:00,1,2,21,-8.0,-9.58,0.001091021543731567,102.99,0.57,-14.27,0.0,0,0,4.4
2002/01/02 @ 22:00:00,1,2,22,-7.7,-9.31,0.0011200341737917943,103.01,0.57,-13.99,0.0,0,0,4.7
2002/01/02 @ 23:00:00,1,2,23,-7.9,-9.49,0.001100615087308784,103.03,0.57,-14.18,0.0,0,0,4.7
2002/01/03 @ 00:00:00,1,3,0,-9.1,-10.68,0.0009382209822588399,102.98,0.54,-15.9,0.0,0,0,4.7
2002/01/03 @ 01:00:00,1,3,1,-9.4,-11.02,0.0008797811362651219,102.94,0.52,-16.59,0.0,0,0,4.7
2002/01/03 @ 02:00:00,1,3,2,-9.4,-11.09,0.0008458973780951331,102.92,0.5,-17.01,0.0,0,0,5.7
2002/01/03 @ 03:00:00,1,3,3,-10.5,-12.07,0.0007671367700930029,102.86,0.5,-18.04,0.0,0,0,5.3
2002/01/03 @ 04:00:00,1,3,4,-11.2,-12.66,0.0007350027876058654,102.64,0.51,-18.49,0.0,0,0,5.3
2002/01/03 @ 05:00:00,1,3,5,-11.1,-12.57,0.0007416222457804458,102.62,0.51,-18.4,0.0,0,0,5.3
2002/01/03 @ 06:00:00,1,3,6,-11.3,-12.69,0.0007570384196322284,102.61,0.53,-18.18,66.0,0,66,6.2
2002/01/03 @ 07:00:00,1,3,7,-10.6,-12.03,0.0008212265021095433,102.51,0.54,-17.32,96.0,0,96,6.2
2002/01/03 @ 08:00:00,1,3,8,-10.3,-11.73,0.0008591389568710084,102.44,0.55,-16.84,122.0,0,122,6.2
2002/01/03 @ 09:00:00,1,3,9,-10.1,-11.55,0.0008745731339726767,102.37,0.55,-16.65,221.7,134,201,6.2
2002/01/03 @ 10:00:00,1,3,10,-9.4,-10.92,0.0009306136871734885,102.23,0.55,-15.99,318.1,379,226,6.5
2002/01/03 @ 11:00:00,1,3,11,-9.1,-10.65,0.0009556221408570201,102.13,0.55,-15.71,401.86,508,252,6.8
2002/01/03 @ 12:00:00,1,3,12,-9.1,-10.65,0.0009556221408570201,102.05,0.55,-15.71,346.34,568,172,6.8
2002/01/03 @ 13:00:00,1,3,13,-8.5,-10.08,0.0010258422712756668,101.79,0.56,-14.94,285.26,580,124,7.3
2002/01/03 @ 14:00:00,1,3,14,-8.2,-9.82,0.0010532236845500521,101.69,0.56,-14.66,224.99,547,110,7.3
2002/01/03 @ 15:00:00,1,3,15,-7.6,-9.24,0.001129860842154238,101.67,0.57,-13.89,158.75,460,109,8.2
2002/01/03 @ 16:00:00,1,3,16,-7.2,-8.84,0.0011905265844417321,101.66,0.58,-13.32,112.0,283,112,8.4
2002/01/03 @ 17:00:00,1,3,17,-6.7,-8.35,0.0012648795741658158,101.66,0.59,-12.66,0.0,0,0,9.2
2002/01/03 @ 18:00:00,1,3,18,-6.6,-8.26,0.0012758957280458276,101.62,0.59,-12.56,0.0,0,0,9.2
2002/01/03 @ 19:00:00,1,3,19,-6.4,-8.08,0.0012981918474823059,101.61,0.59,-12.37,0.0,0,0,9.2
2002/01/03 @ 20:00:00,1,3,20,-6.9,-8.49,0.0012642203936191801,101.57,0.6,-12.66,0.0,0,0,9.0
2002/01/03 @ 21:00:00,1,3,21,-7.1,-8.63,0.001263176713413434,101.49,0.61,-12.67,0.0,0,0,8.4
2002/01/03 @ 22:00:00,1,3,22,-7.0,-8.5,0.0012951436293770437,101.5,0.62,-12.4,0.0,0,0,8.4
2002/01/03 @ 23:00:00,1,3,23,-6.7,-8.19,0.0013508203743542294,101.51,0.63,-11.93,0.0,0,0,8.5
2002/01/04 @ 00:00:00,1,4,0,-6.6,-8.14,0.001340911654602464,101.47,0.62,-12.01,0.0,0,0,8.5
