Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,15.1,12.01,0.007495909704606902,101.33,0.7,9.71,0.0,0,0,1.2
2002/01/01 @ 01:00:00,1,1,1,14.8,11.74,0.007350693110423338,101.33,0.7,9.42,0.0,0,0,1.9
2002/01/01 @ 02:00:00,1,1,2,14.0,11.23,0.007177237400175725,101.33,0.72,9.07,0.0,0,0,2.0
2002/01/01 @ 03:00:00,1,1,3,13.4,10.78,0.006996252348547149,101.33,0.73,8.69,0.0,0,0,2.0
2002/01/01 @ 04:00:00,1,1,4,13.5,10.77,0.006944987542870614,101.33,0.72,8.59,0.0,0,0,2.0
2002/01/01 @ 05:00:00,1,1,5,13.3,10.79,0.007046525675199813,101.33,0.74,8.8,0.0,0,0,2.1
2002/01/01 @ 06:00:00,1,1,6,14.5,11.58,0.007312172133496855,101.33,0.71,9.34,0.0,0,0,2.1
2002/01/01 @ 07:00:00,1,1,7,16.3,12.87,0.007868268366818032,101.33,0.68,10.42,112.14,140,102,2.0
2002/01/01 @ 08:00:00,1,1,8,19.2,14.06,0.007919359252978016,101.33,0.57,10.52,228.78,352,133,1.6
2002/01/01 @ 09:00:00,1,1,9,22.1,15.51,0.008312015710029319,101.33,0.5,11.23,410.37,591,149,1.8
2002/01/01 @ 10:00:00,1,1,10,23.9,15.53,0.0075920658638007925,101.33,0.41,9.89,536.61,766,99,1.3
2002/01/01 @ 11:00:00,1,1,11,26.5,17.18,0.008442433421919271,101.33,0.39,11.46,630.09,775,126,1.7
2002/01/01 @ 12:00:00,1,1,12,27.4,17.49,0.00844453046186739,101.33,0.37,11.47,652.38,705,177,2.1
2002/01/01 @ 13:00:00,1,1,13,27.3,17.42,0.008394534201056417,101.33,0.37,11.38,596.25,685,157,2.3
2002/01/01 @ 14:00:00,1,1,14,26.1,16.7,0.00802865366572825,101.33,0.38,10.72,464.35,698,78,2.3
2002/01/01 @ 15:00:00,1,1,15,26.0,16.44,0.007768042937073013,101.33,0.37,10.23,304.49,567,68,1.8
