Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/06/27 @ 06:00:00,6,27,6,23.7,21.81,0.015752924595265658,100.88,0.85,21.04,16.0,0,16,1.8
2002/06/27 @ 07:00:00,6,27,7,23.6,21.72,0.015655911700742736,100.89,0.85,20.94,0.0,0,0,2.2
2002/06/27 @ 08:00:00,6,27,8,24.6,22.14,0.015847214202635594,100.9,0.81,21.13,20.47,1,20,2.7
2002/06/27 @ 09:00:00,6,27,9,26.2,23.08,0.01658738749511961,100.88,0.77,21.86,120.91,6,117,2.1
2002/06/27 @ 10:00:00,6,27,10,28.7,24.79,0.018251795973450047,100.87,0.73,23.38,301.5,36,273,1.6
2002/06/27 @ 11:00:00,6,27,11,30.3,25.94,0.019505210983964127,100.85,0.71,24.45,553.74,204,375,1.2
2002/06/27 @ 12:00:00,6,27,12,31.3,26.17,0.019487251308243216,100.79,0.67,24.44,796.66,603,254,1.0
2002/06/27 @ 13:00:00,6,27,13,32.5,27.07,0.02058127018298088,100.73,0.66,25.32,878.86,845,151,1.0
2002/06/27 @ 14:00:00,6,27,14,32.1,26.53,0.019792463173642194,100.67,0.65,24.69,825.6,846,180,0.9
2002/06/27 @ 15:00:00,6,27,15,32.8,26.8,0.019961197691693595,100.66,0.63,24.82,594.43,710,160,0.6
2002/06/27 @ 16:00:00,6,27,16,32.8,26.43,0.019307836461290143,100.65,0.61,24.29,337.01,280,220,0.5
2002/06/27 @ 17:00:00,6,27,17,32.6,26.25,0.019085040617723665,100.64,0.61,24.1,164.25,135,138,0.4
2002/06/27 @ 18:00:00,6,27,18,32.0,25.91,0.01874173988873103,100.72,0.62,23.81,33.0,130,33,0.3
2002/06/27 @ 19:00:00,6,27,19,30.3,24.93,0.017809682669604147,100.81,0.65,22.99,0.0,0,0,0.6
2002/06/27 @ 20:00:00,6,27,20,28.6,24.07,0.017121615737611617,100.9,0.69,22.36,0.0,0,0,0.6
2002/06/27 @ 21:00:00,6,27,21,26.7,22.95,0.01618624570671306,100.92,0.73,21.47,0.0,0,0,1.0
2002/06/27 @ 22:00:00,6,27,22,26.3,23.03,0.016465837807294523,100.95,0.76,21.74,0.0,0,0,1.5
2002/06/27 @ 23:00:00,6,27,23,26.3,22.88,0.016243523583372194,100.98,0.75,21.52,0.0,0,0,2.2
2002/06/28 @ 00:00:00,6,28,0,25.2,22.84,0.01664865808197077,100.95,0.82,21.92,1.0,0,1,0.6
2002/06/28 @ 01:00:00,6,28,1,24.9,22.83,0.016755212249701463,100.92,0.84,22.02,0.0,0,0,0.8
2002/06/28 @ 02:00:00,6,28,2,24.7,22.77,0.016753298025174775,100.9,0.85,22.02,0.0,0,0,1.0
2002/06/28 @ 03:00:00,6,28,3,24.4,22.75,0.01684481095135271,100.87,0.87,22.1,0.0,0,0,0.8
2002/06/28 @ 04:00:00,6,28,4,24.2,22.55,0.016638656842612724,100.85,0.87,21.91,0.0,0,0,0.7
2002/06/28 @ 05:00:00,6,28,5,24.0,22.49,0.01662873907966859,100.82,0.88,21.9,10.0,0,10,0.5
2002/06/28 @ 06:00:00,6,28,6,24.0,23.13,0.017600290913416493,100.85,0.93,22.8,0.0,0,0,0.4
2002/06/28 @ 07:00:00,6,28,7,24.6,23.46,0.017859841927529485,100.87,0.91,23.04,100.1,157,61,0.5
2002/06/28 @ 08:00:00,6,28,8,26.2,24.21,0.01836163119120174,100.89,0.85,23.48,217.1,118,162,0.7
2002/06/28 @ 09:00:00,6,28,9,28.9,24.97,0.018470897541944836,100.84,0.73,23.57,419.34,272,242,1.1
2002/06/28 @ 10:00:00,6,28,10,30.1,24.92,0.0178793912923485,100.8,0.66,23.05,833.79,812,191,1.6
2002/06/28 @ 11:00:00,6,28,11,31.7,25.28,0.01780547444603106,100.75,0.6,22.98,1131.37,854,383,2.1
2002/06/28 @ 12:00:00,6,28,12,32.6,25.31,0.017476734657167176,100.72,0.56,22.69,1169.07,872,384,1.3
2002/06/28 @ 13:00:00,6,28,13,32.1,25.26,0.01760064716010755,100.69,0.58,22.8,961.04,869,212,0.8
2002/06/28 @ 14:00:00,6,28,14,31.5,24.74,0.016996162142933435,100.66,0.58,22.24,623.06,419,303,0.3
2002/06/28 @ 15:00:00,6,28,15,30.8,24.14,0.016314568444390033,100.66,0.58,21.59,388.2,126,311,0.0
2002/06/28 @ 16:00:00,6,28,16,30.1,24.58,0.01732250127231946,100.65,0.64,22.55,227.52,49,207,0.2
2002/06/28 @ 17:00:00,6,28,17,28.9,24.17,0.017170839495061277,100.65,0.68,22.41,118.25,32,112,0.2
2002/06/28 @ 18:00:00,6,28,18,28.3,24.27,0.017569603516894183,100.72,0.72,22.77,25.0,24,25,0.6
2002/06/28 @ 19:00:00,6,28,19,26.9,23.43,0.016843871338804536,100.79,0.75,22.1,0.0,0,0,1.0
2002/06/28 @ 20:00:00,6,28,20,25.9,23.22,0.016939799587001172,100.87,0.8,22.19,5.0,0,5,1.9
2002/06/28 @ 21:00:00,6,28,21,24.9,23.1,0.017165156105420066,100.92,0.86,22.4,0.0,0,0,1.2
2002/06/28 @ 22:00:00,6,28,22,24.3,23.17,0.01753286790256534,100.97,0.91,22.74,0.0,0,0,0.9
2002/06/28 @ 23:00:00,6,28,23,23.9,23.16,0.017685268829557278,101.02,0.94,22.88,0.0,0,0,0.7
2002/06/29 @ 00:00:00,6,29,0,24.3,23.43,0.017929314103407618,100.98,0.93,23.1,0.0,0,0,0.7
2002/06/29 @ 01:00:00,6,29,1,24.4,23.27,0.017641252704491524,100.94,0.91,22.84,0.0,0,0,0.8
2002/06/29 @ 02:00:00,6,29,2,24.5,23.24,0.017549681370732158,100.91,0.9,22.76,0.0,0,0,0.9
2002/06/29 @ 03:00:00,6,29,3,24.4,23.27,0.017641252704491524,100.92,0.91,22.84,0.0,0,0,0.8
2002/06/29 @ 04:00:00,6,29,4,24.3,23.42,0.017929314103407618,100.92,0.93,23.1,1.0,0,1,0.6
2002/06/29 @ 05:00:00,6,29,5,24.1,23.23,0.01770935332055116,100.93,0.93,22.9,9.0,0,9,0.4
2002/06/29 @ 06:00:00,6,29,6,24.5,23.49,0.017950930487632855,100.89,0.92,23.12,1.0,0,1,0.7
