Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/03 @ 01:00:00,1,3,1,21.1,18.46,0.012273585696797484,101.25,0.78,17.14,0.0,0,0,2.1
2002/01/03 @ 02:00:00,1,3,2,20.0,18.04,0.012201981249105225,101.25,0.83,17.05,0.0,0,0,1.5
2002/01/03 @ 03:00:00,1,3,3,20.0,18.16,0.012351912746276804,101.25,0.84,17.24,0.0,0,0,2.1
2002/01/03 @ 04:00:00,1,3,4,20.0,18.28,0.01250191515688198,101.25,0.85,17.42,0.0,0,0,2.1
2002/01/03 @ 05:00:00,1,3,5,20.0,18.63,0.01295234837275754,101.25,0.88,17.97,0.0,0,0,2.1
2002/01/03 @ 06:00:00,1,3,6,22.2,20.26,0.0141803698846121,101.25,0.84,19.38,38.0,0,38,2.1
2002/01/03 @ 07:00:00,1,3,7,23.3,21.43,0.015368094866705295,101.25,0.85,20.65,205.82,332,98,2.1
2002/01/03 @ 08:00:00,1,3,8,25.6,22.8,0.01641971332989997,101.25,0.79,21.7,422.59,601,113,2.6
2002/01/03 @ 09:00:00,1,3,9,26.1,22.55,0.015828319466802618,101.25,0.74,21.11,640.42,752,125,3.1
2002/01/03 @ 10:00:00,1,3,10,28.9,24.5,0.01769022880408291,101.25,0.7,22.88,862.26,845,166,3.6
2002/01/03 @ 11:00:00,1,3,11,29.4,23.97,0.01662033870622641,101.25,0.64,21.89,996.04,903,164,3.6
2002/01/03 @ 12:00:00,1,3,12,30.0,23.46,0.01556574966780737,101.25,0.58,20.85,1060.89,937,151,3.6
2002/01/03 @ 13:00:00,1,3,13,30.0,22.74,0.014467278634943518,101.25,0.54,19.7,1067.57,901,194,3.6
2002/01/03 @ 14:00:00,1,3,14,30.0,22.56,0.014193252101589235,101.25,0.53,19.4,1017.18,853,235,3.6
2002/01/03 @ 15:00:00,1,3,15,28.9,21.81,0.013558598765878253,101.25,0.54,18.68,890.41,746,281,3.6
2002/01/03 @ 16:00:00,1,3,16,27.8,20.89,0.012701324958046194,101.25,0.54,17.67,685.48,508,342,3.1
2002/01/03 @ 17:00:00,1,3,17,27.2,20.55,0.012485932887647192,101.25,0.55,17.4,467.59,255,339,2.6
2002/01/03 @ 18:00:00,1,3,18,26.1,19.62,0.011687918140639549,101.25,0.55,16.38,280.49,107,247,2.1
2002/01/03 @ 19:00:00,1,3,19,25.6,19.52,0.011760669757325409,101.25,0.57,16.48,100.73,15,99,1.5
2002/01/03 @ 20:00:00,1,3,20,26.1,20.42,0.012772276457867136,101.25,0.6,17.75,0.0,0,0,2.6
2002/01/03 @ 21:00:00,1,3,21,26.7,21.26,0.013693521782056932,101.25,0.62,18.84,0.0,0,0,3.1
2002/01/03 @ 22:00:00,1,3,22,26.1,21.51,0.014296628230353213,101.25,0.67,19.51,0.0,0,0,3.6
2002/01/03 @ 23:00:00,1,3,23,25.0,20.38,0.013169230356819776,101.25,0.66,18.23,0.0,0,0,3.6
2002/01/04 @ 00:00:00,1,4,0,25.6,21.21,0.014081659512956311,101.25,0.68,19.27,0.0,0,0,3.6
2002/01/04 @ 01:00:00,1,4,1,23.9,20.11,0.013265724551193885,101.25,0.71,18.34,0.0,0,0,3.1
2002/01/04 @ 02:00:00,1,4,2,23.9,20.39,0.01364760680624438,101.25,0.73,18.79,0.0,0,0,3.6
2002/01/04 @ 03:00:00,1,4,3,23.9,20.53,0.013838720173352385,101.25,0.74,19.0,0.0,0,0,4.1
2002/01/04 @ 04:00:00,1,4,4,23.9,20.67,0.014029948504996876,101.25,0.75,19.22,0.0,0,0,5.1
2002/01/04 @ 05:00:00,1,4,5,25.0,21.82,0.015213376185207168,101.25,0.76,20.49,0.0,0,0,4.1
2002/01/04 @ 06:00:00,1,4,6,25.6,22.8,0.01641971332989997,101.25,0.79,21.7,0.0,0,0,3.6
2002/01/04 @ 07:00:00,1,4,7,25.0,22.38,0.016034723607938492,101.25,0.8,21.32,178.75,328,73,3.1
2002/01/04 @ 08:00:00,1,4,8,26.1,22.99,0.016487018492279022,101.25,0.77,21.76,340.93,532,68,2.6
2002/01/04 @ 09:00:00,1,4,9,25.6,22.94,0.01663311633460137,101.25,0.8,21.9,484.3,470,163,1.5
2002/01/04 @ 10:00:00,1,4,10,26.1,22.99,0.016487018492279022,101.25,0.77,21.76,522.81,266,304,1.5
2002/01/04 @ 11:00:00,1,4,11,26.1,23.13,0.016706887298818883,101.25,0.78,21.97,582.21,211,388,1.0
2002/01/04 @ 12:00:00,1,4,12,26.7,23.4,0.016869476279609844,101.25,0.76,22.13,541.79,109,436,0.0
2002/01/04 @ 13:00:00,1,4,13,26.7,23.25,0.016641570253916764,101.25,0.75,21.91,484.16,60,426,0.0
2002/01/04 @ 14:00:00,1,4,14,26.7,23.69,0.017325776705729982,101.25,0.78,22.55,437.52,42,399,0.0
2002/01/04 @ 15:00:00,1,4,15,25.0,22.24,0.015829188294655523,101.25,0.79,21.12,419.78,45,383,1.5
2002/01/04 @ 16:00:00,1,4,16,24.4,21.95,0.015653860507730422,101.25,0.81,20.94,360.07,40,333,1.5
2002/01/04 @ 17:00:00,1,4,17,25.0,22.92,0.01685819132717414,101.25,0.84,22.12,255.12,24,243,1.5
2002/01/04 @ 18:00:00,1,4,18,23.9,22.53,0.016719274761959158,101.25,0.89,21.98,150.76,12,147,1.0
2002/01/04 @ 19:00:00,1,4,19,23.3,21.94,0.016110032253137323,101.25,0.89,21.39,66.58,5,66,1.0
2002/01/04 @ 20:00:00,1,4,20,22.8,21.58,0.015797648928905016,101.25,0.9,21.08,0.0,0,0,0.0
2002/01/04 @ 21:00:00,1,4,21,22.8,21.58,0.015797648928905016,101.25,0.9,21.08,0.0,0,0,0.0
2002/01/04 @ 22:00:00,1,4,22,22.8,21.46,0.015617711762424888,101.25,0.89,20.9,0.0,0,0,0.0
2002/01/04 @ 23:00:00,1,4,23,22.8,21.46,0.015617711762424888,101.25,0.89,20.9,0.0,0,0,0.0
2002/01/05 @ 00:00:00,1,5,0,22.8,21.33,0.015437876104762873,101.25,0.88,20.72,0.0,0,0,0.5
2002/01/05 @ 01:00:00,1,5,1,22.8,21.46,0.015617711762424888,101.25,0.89,20.9,0.0,0,0,1.5
2002/01/05 @ 02:00:00,1,5,2,22.2,20.88,0.015044857575987917,101.25,0.89,20.31,0.0,0,0,1.0
2002/01/05 @ 03:00:00,1,5,3,22.2,21.12,0.01539131091499109,101.25,0.91,20.67,0.0,0,0,1.0
2002/01/05 @ 04:00:00,1,5,4,21.7,20.64,0.014917564004647369,101.25,0.91,20.18,0.0,0,0,0.0
2002/01/05 @ 05:00:00,1,5,5,22.2,21.0,0.015218037150044444,101.25,0.9,20.49,0.0,0,0,1.5
2002/01/05 @ 06:00:00,1,5,6,23.9,22.65,0.016912240083970107,101.25,0.9,22.17,26.0,0,26,1.5
2002/01/05 @ 07:00:00,1,5,7,23.9,22.65,0.016912240083970107,101.25,0.9,22.17,218.36,323,115,2.1
2002/01/05 @ 08:00:00,1,5,8,24.4,22.62,0.016646010343277617,101.25,0.86,21.91,394.48,596,90,2.1
2002/01/05 @ 09:00:00,1,5,9,23.9,22.01,0.015948577761638327,101.25,0.85,21.23,551.0,660,101,2.6
2002/01/05 @ 10:00:00,1,5,10,23.9,21.87,0.015756194056778777,100.92,0.84,21.04,619.55,461,241,2.6
2002/01/05 @ 11:00:00,1,5,11,23.9,21.87,0.015756194056778777,100.92,0.84,21.04,600.74,239,381,2.1
2002/01/05 @ 12:00:00,1,5,12,23.3,21.04,0.014812773177187693,100.92,0.82,20.07,507.41,86,424,2.1
2002/01/05 @ 13:00:00,1,5,13,23.9,22.01,0.015948577761638327,100.92,0.85,21.23,406.98,33,375,1.5
