Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,7.9,6.8,0.005700239046830949,100.56,0.86,5.73,0.0,0,0,6.4
2002/01/01 @ 01:00:00,1,1,1,7.5,6.49,0.005610415882232072,100.72,0.87,5.5,0.0,0,0,6.2
2002/01/01 @ 02:00:00,1,1,2,7.4,6.32,0.005507223702669471,100.71,0.86,5.23,0.0,0,0,6.1
2002/01/01 @ 03:00:00,1,1,3,7.3,6.22,0.005469328187352522,100.71,0.86,5.13,0.0,0,0,6.0
2002/01/01 @ 04:00:00,1,1,4,7.2,6.2,0.005495382510236064,100.81,0.87,5.2,0.0,0,0,6.2
2002/01/01 @ 05:00:00,1,1,5,7.4,6.4,0.00557183488186941,100.86,0.87,5.4,0.0,0,0,6.3
2002/01/01 @ 06:00:00,1,1,6,7.3,6.3,0.005533490852543272,100.9,0.87,5.3,0.0,0,0,6.2
2002/01/01 @ 07:00:00,1,1,7,7.3,6.38,0.005597666642294533,100.9,0.88,5.47,0.0,0,0,6.0
2002/01/01 @ 08:00:00,1,1,8,7.3,6.46,0.005661855560633686,100.91,0.89,5.63,0.0,0,0,5.9
2002/01/01 @ 09:00:00,1,1,9,7.5,6.65,0.005740581405977637,100.89,0.89,5.83,8.08,1,8,6.0
2002/01/01 @ 10:00:00,1,1,10,7.6,6.67,0.0057147655282097495,100.89,0.88,5.76,37.89,5,37,6.5
2002/01/01 @ 11:00:00,1,1,11,8.7,7.65,0.006092347862156032,100.66,0.87,6.68,21.25,1,21,6.8
2002/01/01 @ 12:00:00,1,1,12,8.4,7.6,0.006176378696839511,100.42,0.9,6.88,27.28,1,27,6.6
2002/01/01 @ 13:00:00,1,1,13,8.8,8.07,0.0064190690064108045,100.49,0.91,7.44,30.27,1,30,6.1
2002/01/01 @ 14:00:00,1,1,14,9.2,8.54,0.006669999071829689,100.52,0.92,8.0,23.22,1,23,7.0
2002/01/01 @ 15:00:00,1,1,15,9.6,8.85,0.00677877109546478,100.36,0.91,8.23,9.14,1,9,7.4
2002/01/01 @ 16:00:00,1,1,16,9.0,8.27,0.006507357954419739,100.26,0.91,7.64,0.0,0,0,7.4
2002/01/01 @ 17:00:00,1,1,17,9.5,9.0,0.006957289916080678,100.05,0.94,8.61,0.0,0,0,7.0
2002/01/01 @ 18:00:00,1,1,18,9.7,9.2,0.007052527443633538,100.08,0.94,8.81,0.0,0,0,7.3
2002/01/01 @ 19:00:00,1,1,19,11.0,10.3,0.007534679604730101,99.82,0.92,9.78,0.0,0,0,8.3
2002/01/01 @ 20:00:00,1,1,20,10.8,10.02,0.007352136220733096,99.75,0.91,9.42,0.0,0,0,8.5
2002/01/01 @ 21:00:00,1,1,21,9.4,8.74,0.006761481779795207,99.74,0.92,8.2,0.0,0,0,9.5
2002/01/01 @ 22:00:00,1,1,22,11.0,10.21,0.007451799648729594,99.85,0.91,9.62,0.0,0,0,9.3
2002/01/01 @ 23:00:00,1,1,23,11.1,10.22,0.007418658944484701,99.4,0.9,9.55,0.0,0,0,9.9
2002/01/02 @ 00:00:00,1,2,0,11.0,10.3,0.007534679604730101,99.14,0.92,9.78,0.0,0,0,9.7
2002/01/02 @ 01:00:00,1,2,1,11.0,10.21,0.007451799648729594,99.6,0.91,9.62,0.0,0,0,9.7
2002/01/02 @ 02:00:00,1,2,2,10.3,9.44,0.007029175214948638,99.64,0.9,8.76,0.0,0,0,10.1
2002/01/02 @ 03:00:00,1,2,3,11.2,10.31,0.007468675967832408,99.13,0.9,9.65,0.0,0,0,10.1
2002/01/02 @ 04:00:00,1,2,4,11.5,10.79,0.0077920076232781766,99.03,0.92,10.28,0.0,0,0,10.2
2002/01/02 @ 05:00:00,1,2,5,12.7,12.24,0.008721087385677909,98.55,0.95,11.95,0.0,0,0,11.7
2002/01/02 @ 06:00:00,1,2,6,10.9,10.11,0.007401817998003558,99.41,0.91,9.52,0.0,0,0,10.6
2002/01/02 @ 07:00:00,1,2,7,11.4,10.6,0.007654757206546838,99.61,0.91,10.02,0.0,0,0,10.9
2002/01/02 @ 08:00:00,1,2,8,9.7,9.03,0.006900808742230663,98.97,0.92,8.49,0.0,0,0,11.3
2002/01/02 @ 09:00:00,1,2,9,7.9,6.79,0.005700239046830949,98.89,0.86,5.73,3.0,0,3,8.8
2002/01/02 @ 10:00:00,1,2,10,12.3,10.91,0.007587034918705321,98.77,0.85,9.88,19.18,1,19,10.8
2002/01/02 @ 11:00:00,1,2,11,12.0,10.53,0.007348265188292337,98.96,0.84,9.41,69.47,10,67,10.1
2002/01/02 @ 12:00:00,1,2,12,10.2,8.64,0.006354852401279224,99.35,0.82,7.29,60.39,5,59,9.2
2002/01/02 @ 13:00:00,1,2,13,10.9,8.94,0.006333647248186921,99.63,0.78,7.25,142.41,76,122,9.4
2002/01/02 @ 14:00:00,1,2,14,9.9,8.09,0.005997142060073245,99.67,0.79,6.46,99.28,42,90,9.3
2002/01/02 @ 15:00:00,1,2,15,9.9,7.92,0.005843889095210789,99.62,0.77,6.08,100.22,270,63,9.5
2002/01/02 @ 16:00:00,1,2,16,9.0,7.25,0.005641461151934763,99.68,0.79,5.58,19.53,102,17,9.2
2002/01/02 @ 17:00:00,1,2,17,8.0,6.31,0.005268427924128074,99.6,0.79,4.6,0.0,0,0,8.5
2002/01/02 @ 18:00:00,1,2,18,8.0,6.4,0.005335689012240862,99.61,0.8,4.78,0.0,0,0,8.6
2002/01/02 @ 19:00:00,1,2,19,7.5,6.09,0.005285238138490236,99.56,0.82,4.64,0.0,0,0,8.3
2002/01/02 @ 20:00:00,1,2,20,7.7,6.28,0.005358563894545511,99.49,0.82,4.84,0.0,0,0,8.6
2002/01/02 @ 21:00:00,1,2,21,7.8,6.29,0.005329202538296987,99.55,0.81,4.76,0.0,0,0,8.6
2002/01/02 @ 22:00:00,1,2,22,7.6,6.18,0.005321788370133603,99.53,0.82,4.74,0.0,0,0,8.5
2002/01/02 @ 23:00:00,1,2,23,7.8,6.37,0.005395565933661932,99.5,0.82,4.94,0.0,0,0,9.0
2002/01/03 @ 00:00:00,1,3,0,7.4,5.91,0.0051843672813068065,99.48,0.81,4.37,0.0,0,0,9.6
