Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/02 @ 23:00:00,1,2,23,-13.2,-13.8,0.0009266793401989518,100.73,0.77,-16.04,0.0,0,0,6.1
2002/01/03 @ 00:00:00,1,3,0,-12.9,-13.46,0.0009771026232812071,100.69,0.79,-15.47,0.0,0,0,6.1
2002/01/03 @ 01:00:00,1,3,1,-12.9,-13.46,0.0009771026232812071,100.65,0.79,-15.47,0.0,0,0,5.7
2002/01/03 @ 02:00:00,1,3,2,-12.5,-13.02,0.001038925075509078,100.62,0.81,-14.81,0.0,0,0,6.2
2002/01/03 @ 03:00:00,1,3,3,-11.5,-12.15,0.0010949115008068587,100.69,0.78,-14.24,0.0,0,0,7.2
2002/01/03 @ 04:00:00,1,3,4,-11.3,-12.02,0.0010861382502609714,100.72,0.76,-14.32,0.0,0,0,7.5
2002/01/03 @ 05:00:00,1,3,5,-10.9,-11.76,0.0010664510333582213,100.78,0.72,-14.52,0.0,0,0,8.3
2002/01/03 @ 06:00:00,1,3,6,-10.3,-11.29,0.0010782079954612695,100.67,0.69,-14.4,8.0,0,8,8.9
2002/01/03 @ 07:00:00,1,3,7,-9.2,-10.3,0.0011715281815360098,100.5,0.68,-13.5,62.0,0,62,9.2
2002/01/03 @ 08:00:00,1,3,8,-8.4,-9.6,0.0012385841544510323,100.42,0.67,-12.89,92.0,0,92,9.6
2002/01/03 @ 09:00:00,1,3,9,-8.5,-9.69,0.0012277447816877987,100.35,0.67,-12.98,169.7,134,149,9.6
2002/01/03 @ 10:00:00,1,3,10,-7.9,-9.14,0.0012941072247820032,100.24,0.67,-12.4,233.1,379,141,9.6
2002/01/03 @ 11:00:00,1,3,11,-6.8,-8.17,0.0014030599318328287,100.13,0.66,-11.51,257.86,508,108,9.6
2002/01/03 @ 12:00:00,1,3,12,-7.1,-8.37,0.0014084596833635753,99.96,0.68,-11.47,211.13,235,139,9.6
2002/01/03 @ 13:00:00,1,3,13,-6.9,-8.18,0.0014331715382585944,99.8,0.68,-11.27,180.75,125,146,9.6
2002/01/03 @ 14:00:00,1,3,14,-5.0,-6.49,0.0016636351974858694,99.53,0.67,-9.6,143.03,81,126,9.6
2002/01/03 @ 15:00:00,1,3,15,-4.0,-5.43,0.0018933125486896663,99.46,0.7,-8.14,108.03,102,97,10.9
2002/01/03 @ 16:00:00,1,3,16,-2.4,-3.85,0.002229919831378062,99.55,0.72,-6.26,49.0,283,49,11.8
2002/01/03 @ 17:00:00,1,3,17,-1.9,-3.29,0.0023903936897205678,99.44,0.74,-5.45,0.0,0,0,12.7
2002/01/03 @ 18:00:00,1,3,18,-2.6,-3.52,0.002498450558130563,99.18,0.82,-4.94,0.0,0,0,13.2
2002/01/03 @ 19:00:00,1,3,19,-3.3,-4.14,0.0023837812792653237,98.96,0.83,-5.48,0.0,0,0,13.8
2002/01/03 @ 20:00:00,1,3,20,-5.4,-5.97,0.0020889519516646138,99.16,0.87,-7.01,0.0,0,0,13.2
2002/01/03 @ 21:00:00,1,3,21,-2.3,-2.97,0.0027192906865734466,99.53,0.87,-3.95,0.0,0,0,10.9
2002/01/03 @ 22:00:00,1,3,22,-5.8,-6.7,0.001832072019167332,99.76,0.79,-8.51,0.0,0,0,9.6
2002/01/03 @ 23:00:00,1,3,23,-6.0,-7.01,0.0017321486546484507,99.82,0.76,-9.15,0.0,0,0,9.2
2002/01/04 @ 00:00:00,1,4,0,-7.7,-8.77,0.0014154508050186546,99.99,0.72,-11.41,0.0,0,0,8.6
2002/01/04 @ 01:00:00,1,4,1,-8.6,-9.75,0.0012351924679898391,100.18,0.68,-12.92,0.0,0,0,8.3
2002/01/04 @ 02:00:00,1,4,2,-11.5,-12.54,0.0009121586136742896,100.44,0.65,-16.21,0.0,0,0,7.5
2002/01/04 @ 03:00:00,1,4,3,-10.5,-11.51,0.0010437694840362477,100.46,0.68,-14.75,0.0,0,0,7.8
2002/01/04 @ 04:00:00,1,4,4,-10.5,-11.48,0.0010591451748875199,100.49,0.69,-14.6,0.0,0,0,8.3
2002/01/04 @ 05:00:00,1,4,5,-11.4,-12.29,0.0009913073673388972,100.5,0.7,-15.31,0.0,0,0,8.1
2002/01/04 @ 06:00:00,1,4,6,-11.1,-12.01,0.0010183652813454726,100.53,0.7,-15.02,0.0,0,0,8.3
2002/01/04 @ 07:00:00,1,4,7,-10.5,-11.45,0.001074521624717816,100.46,0.7,-14.44,45.0,0,45,7.8
2002/01/04 @ 08:00:00,1,4,8,-11.4,-12.26,0.0010054917959575215,100.49,0.71,-15.16,81.0,0,81,7.5
2002/01/04 @ 09:00:00,1,4,9,-10.3,-11.29,0.0010782079954612695,100.49,0.69,-14.4,181.97,135,161,7.8
2002/01/04 @ 10:00:00,1,4,10,-9.3,-10.47,0.0011269992244896429,100.41,0.66,-13.92,250.77,380,158,7.8
2002/01/04 @ 11:00:00,1,4,11,-8.9,-10.24,0.001096642728149406,100.31,0.62,-14.22,283.91,509,133,7.2
2002/01/04 @ 12:00:00,1,4,12,-10.1,-11.41,0.0009542017633728605,100.41,0.6,-15.72,240.62,368,127,6.7
2002/01/04 @ 13:00:00,1,4,13,-11.3,-12.53,0.0008428570258183243,100.55,0.59,-17.05,206.23,215,146,6.1
2002/01/04 @ 14:00:00,1,4,14,-11.7,-12.9,0.000813082744315841,100.59,0.59,-17.43,173.81,192,133,5.4
2002/01/04 @ 15:00:00,1,4,15,-12.1,-13.18,0.0008242060282308541,100.63,0.62,-17.28,124.77,242,98,5.4
2002/01/04 @ 16:00:00,1,4,16,-12.3,-13.31,0.0008355852145128767,100.62,0.64,-17.14,73.0,287,73,5.4
2002/01/04 @ 17:00:00,1,4,17,-12.8,-13.74,0.0008110562412368429,100.61,0.65,-17.46,0.0,0,0,5.4
2002/01/04 @ 18:00:00,1,4,18,-12.1,-13.06,0.0008774556307341763,100.64,0.66,-16.62,0.0,0,0,7.2
2002/01/04 @ 19:00:00,1,4,19,-10.1,-11.17,0.001065716057697844,100.69,0.67,-14.53,0.0,0,0,7.8
2002/01/04 @ 20:00:00,1,4,20,-8.6,-9.78,0.0012169923292584817,100.6,0.67,-13.08,0.0,0,0,8.9
2002/01/04 @ 21:00:00,1,4,21,-8.4,-9.6,0.0012385841544510323,100.63,0.67,-12.89,0.0,0,0,8.3
2002/01/04 @ 22:00:00,1,4,22,-8.8,-9.97,0.0011957456626156952,100.69,0.67,-13.27,0.0,0,0,8.1
2002/01/04 @ 23:00:00,1,4,23,-8.8,-9.93,0.0012136274383085573,100.75,0.68,-13.11,0.0,0,0,7.8
2002/01/05 @ 00:00:00,1,5,0,-8.9,-9.92,0.001256154320854355,100.65,0.71,-12.73,0.0,0,0,7.2
2002/01/05 @ 01:00:00,1,5,1,-9.2,-10.09,0.0012751102444172053,100.58,0.74,-12.57,0.0,0,0,6.7
2002/01/05 @ 02:00:00,1,5,2,-9.0,-9.77,0.0013681474936099538,100.49,0.78,-11.79,0.0,0,0,6.2
2002/01/05 @ 03:00:00,1,5,3,-8.7,-9.41,0.0014409317326861514,100.41,0.8,-11.21,0.0,0,0,6.4
2002/01/05 @ 04:00:00,1,5,4,-9.1,-9.65,0.0014606790135690843,100.33,0.84,-11.06,0.0,0,0,6.7
2002/01/05 @ 05:00:00,1,5,5,-9.6,-10.03,0.001447456041075317,100.21,0.87,-11.16,0.0,0,0,6.7
2002/01/05 @ 06:00:00,1,5,6,-8.3,-8.77,0.0016234730841251622,100.11,0.87,-9.88,0.0,0,0,6.7
2002/01/05 @ 07:00:00,1,5,7,-7.9,-8.39,0.001681452267623508,100.05,0.87,-9.48,0.0,0,0,6.9
2002/01/05 @ 08:00:00,1,5,8,-7.7,-8.19,0.0017111477035660356,99.97,0.87,-9.28,0.0,0,0,7.2
2002/01/05 @ 09:00:00,1,5,9,-6.6,-6.92,0.0019918177875534156,99.76,0.92,-7.56,0.0,0,0,5.6
2002/01/05 @ 10:00:00,1,5,10,-5.6,-5.86,0.002219094265094785,99.48,0.94,-6.31,2.0,0,2,3.6
2002/01/05 @ 11:00:00,1,5,11,-8.1,-8.36,0.0017665001903389027,99.34,0.93,-8.92,18.3,1,18,3.1
2002/01/05 @ 12:00:00,1,5,12,-8.1,-8.32,0.0017855493479398505,99.25,0.94,-8.8,3.0,0,3,3.6
2002/01/05 @ 13:00:00,1,5,13,-8.5,-8.72,0.0017238789653283722,99.13,0.94,-9.2,0.0,0,0,4.2
2002/01/05 @ 14:00:00,1,5,14,-8.1,-8.32,0.0017855493479398505,98.65,0.94,-8.8,0.0,0,0,5.7
2002/01/05 @ 15:00:00,1,5,15,-9.1,-9.52,0.0015304063123370347,98.93,0.88,-10.54,0.0,0,0,6.4
2002/01/05 @ 16:00:00,1,5,16,-9.9,-10.53,0.001311999130321157,99.28,0.81,-12.25,0.0,0,0,7.2
2002/01/05 @ 17:00:00,1,5,17,-10.3,-11.07,0.0011878003174617634,99.33,0.76,-13.35,0.0,0,0,7.5
2002/01/05 @ 18:00:00,1,5,18,-9.7,-10.61,0.0012033559073079305,99.42,0.73,-13.2,0.0,0,0,8.3
2002/01/05 @ 19:00:00,1,5,19,-9.5,-10.45,0.0012080744649424636,99.45,0.72,-13.16,0.0,0,0,8.3
2002/01/05 @ 20:00:00,1,5,20,-8.4,-9.54,0.0012756326481005225,99.43,0.69,-12.56,0.0,0,0,8.9
2002/01/05 @ 21:00:00,1,5,21,-8.5,-9.7,0.0012277447816877987,99.44,0.67,-12.98,0.0,0,0,8.9
2002/01/05 @ 22:00:00,1,5,22,-7.9,-9.26,0.0012360469656820536,99.71,0.64,-12.91,0.0,0,0,8.9
2002/01/05 @ 23:00:00,1,5,23,-7.7,-9.12,0.0012381672197106259,99.72,0.63,-12.89,0.0,0,0,8.9
2002/01/06 @ 00:00:00,1,6,0,-8.9,-10.21,0.0011143622059574109,99.86,0.63,-14.04,0.0,0,0,8.3
2002/01/06 @ 01:00:00,1,6,1,-9.9,-11.09,0.001036182532177931,100.02,0.64,-14.83,0.0,0,0,7.8
2002/01/06 @ 02:00:00,1,6,2,-12.3,-13.31,0.0008355852145128767,100.17,0.64,-17.14,0.0,0,0,7.2
