Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,27.1,26.04,0.021043435963849277,100.84,0.92,25.68,0.0,0,0,2.6
2002/01/01 @ 01:00:00,1,1,1,27.1,26.04,0.021043435963849277,100.86,0.92,25.68,0.0,0,0,2.7
2002/01/01 @ 02:00:00,1,1,2,27.2,26.13,0.021171490305841097,100.88,0.92,25.78,0.0,0,0,2.7
2002/01/01 @ 03:00:00,1,1,3,27.3,26.1,0.02106088779117166,100.9,0.91,25.7,0.0,0,0,3.0
2002/01/01 @ 04:00:00,1,1,4,27.4,25.92,0.02070766400454857,100.93,0.89,25.42,0.0,0,0,3.4
2002/01/01 @ 05:00:00,1,1,5,28.1,26.45,0.02135088836428926,100.95,0.88,25.92,0.0,0,0,3.6
2002/01/01 @ 06:00:00,1,1,6,28.9,27.66,0.0231952227267383,100.76,0.91,27.27,0.0,0,0,4.1
2002/01/01 @ 07:00:00,1,1,7,29.6,27.76,0.02308672633529192,100.72,0.87,27.2,0.0,0,0,4.4
2002/01/01 @ 08:00:00,1,1,8,30.1,26.08,0.01983617049452709,101.25,0.73,24.72,503.55,231,431,4.9
2002/01/01 @ 09:00:00,1,1,9,30.7,26.3,0.01997130947179983,101.24,0.71,24.83,883.82,588,575,5.1
2002/01/01 @ 10:00:00,1,1,10,31.1,26.33,0.019853091203611395,101.22,0.69,24.74,974.55,758,444,5.2
2002/01/01 @ 11:00:00,1,1,11,31.4,26.44,0.01990380296739417,101.2,0.68,24.78,981.07,852,277,5.6
2002/01/01 @ 12:00:00,1,1,12,31.5,26.53,0.020020865775656174,101.17,0.68,24.87,943.32,871,163,5.5
2002/01/01 @ 13:00:00,1,1,13,31.4,26.44,0.01990380296739417,101.13,0.68,24.78,867.23,673,259,5.5
2002/01/01 @ 14:00:00,1,1,14,31.1,26.16,0.019556318044831433,101.1,0.68,24.49,740.95,452,357,5.3
2002/01/01 @ 15:00:00,1,1,15,30.5,26.12,0.019737015837483537,101.09,0.71,24.64,558.75,206,407,5.1
2002/01/01 @ 16:00:00,1,1,16,29.8,25.96,0.019761981978904955,101.07,0.74,24.66,328.21,44,303,4.7
2002/01/01 @ 17:00:00,1,1,17,29.2,25.88,0.01986727620280151,101.06,0.77,24.75,146.96,8,144,4.6
2002/01/01 @ 18:00:00,1,1,18,28.7,26.01,0.020317334047605832,101.08,0.81,25.11,43.28,2,43,4.1
2002/01/01 @ 19:00:00,1,1,19,28.1,25.88,0.02034864102827901,101.11,0.84,25.14,11.0,1,11,3.6
2002/01/01 @ 20:00:00,1,1,20,27.6,25.97,0.020716329304586077,101.13,0.88,25.43,0.0,0,0,2.8
2002/01/01 @ 21:00:00,1,1,21,27.4,25.92,0.02070766400454857,101.14,0.89,25.42,0.0,0,0,2.7
2002/01/01 @ 22:00:00,1,1,22,27.2,25.86,0.020695925182906402,101.15,0.9,25.41,0.0,0,0,2.5
2002/01/01 @ 23:00:00,1,1,23,27.0,25.8,0.02068117706520052,101.16,0.91,25.4,0.0,0,0,2.3
2002/01/02 @ 00:00:00,1,2,0,27.1,25.76,0.020570839270535896,101.18,0.9,25.31,0.0,0,0,2.5
2002/01/02 @ 01:00:00,1,2,1,27.2,25.86,0.020695925182906402,101.19,0.9,25.41,0.0,0,0,2.5
2002/01/02 @ 02:00:00,1,2,2,27.1,25.76,0.020570839270535896,101.2,0.9,25.31,0.0,0,0,2.9
2002/01/02 @ 03:00:00,1,2,3,27.0,25.67,0.020446440024544627,101.19,0.9,25.22,0.0,0,0,2.9
2002/01/02 @ 04:00:00,1,2,4,26.7,25.38,0.020077327327226842,101.18,0.9,24.92,0.0,0,0,2.5
2002/01/02 @ 05:00:00,1,2,5,26.8,25.47,0.020199687531320117,101.17,0.9,25.02,0.0,0,0,2.5
2002/01/02 @ 06:00:00,1,2,6,27.2,25.31,0.01974690181692602,101.17,0.86,24.65,0.0,0,0,3.0
2002/01/02 @ 07:00:00,1,2,7,28.1,25.3,0.019349511813110284,101.17,0.8,24.32,0.0,0,0,3.6
2002/01/02 @ 08:00:00,1,2,8,29.0,25.23,0.018843587478239263,101.17,0.74,23.9,525.26,228,454,4.2
2002/01/02 @ 09:00:00,1,2,9,29.7,25.55,0.01909776088137714,101.16,0.72,24.11,895.09,586,588,4.6
2002/01/02 @ 10:00:00,1,2,10,30.2,25.68,0.019108741487040354,101.16,0.7,24.12,944.31,757,415,4.7
2002/01/02 @ 11:00:00,1,2,11,30.6,25.54,0.018701689511802583,101.15,0.67,23.77,926.05,851,223,5.1
2002/01/02 @ 12:00:00,1,2,12,30.7,25.8,0.019101534266031672,101.13,0.68,24.11,883.51,756,206,5.0
2002/01/02 @ 13:00:00,1,2,13,30.7,25.97,0.019391197323745443,101.11,0.69,24.36,840.3,615,284,4.6
2002/01/02 @ 14:00:00,1,2,14,30.5,25.96,0.019450336126612428,101.09,0.7,24.41,734.75,437,363,4.2
2002/01/02 @ 15:00:00,1,2,15,30.1,25.92,0.0195558981410624,101.09,0.72,24.49,561.55,208,408,4.4
2002/01/02 @ 16:00:00,1,2,16,29.5,25.69,0.019412945064594823,101.08,0.74,24.38,329.29,44,304,4.4
2002/01/02 @ 17:00:00,1,2,17,29.0,25.38,0.019106053147685702,101.07,0.75,24.12,146.97,8,144,4.6
2002/01/02 @ 18:00:00,1,2,18,28.4,25.43,0.019447111602913562,101.11,0.79,24.4,42.29,2,42,3.9
2002/01/02 @ 19:00:00,1,2,19,27.8,25.16,0.019248533659789048,101.14,0.81,24.24,11.0,1,11,3.0
2002/01/02 @ 20:00:00,1,2,20,27.4,25.21,0.019507822593210444,101.18,0.84,24.46,0.0,0,0,2.7
2002/01/02 @ 21:00:00,1,2,21,27.1,25.35,0.019863245391203203,101.18,0.87,24.75,0.0,0,0,2.4
2002/01/02 @ 22:00:00,1,2,22,26.8,25.34,0.019968040702162064,101.18,0.89,24.83,0.0,0,0,2.1
2002/01/02 @ 23:00:00,1,2,23,26.5,25.32,0.02006211539403925,101.18,0.91,24.91,0.0,0,0,1.7
2002/01/03 @ 00:00:00,1,3,0,26.3,25.25,0.020044048112837838,101.17,0.92,24.89,0.0,0,0,1.7
2002/01/03 @ 01:00:00,1,3,1,26.2,25.16,0.01992220235772625,101.16,0.92,24.8,0.0,0,0,1.5
2002/01/03 @ 02:00:00,1,3,2,26.0,25.09,0.01990128811648416,101.15,0.93,24.78,0.0,0,0,1.5
2002/01/03 @ 03:00:00,1,3,3,25.8,24.9,0.019659508518361034,101.15,0.93,24.58,0.0,0,0,1.7
2002/01/03 @ 04:00:00,1,3,4,25.8,24.77,0.01944150798954163,101.15,0.92,24.4,0.0,0,0,2.0
2002/01/03 @ 05:00:00,1,3,5,26.1,25.06,0.01980102890113349,101.14,0.92,24.7,0.0,0,0,2.1
2002/01/03 @ 06:00:00,1,3,6,26.9,25.02,0.019391330314757954,101.18,0.86,24.36,0.0,0,0,2.9
2002/01/03 @ 07:00:00,1,3,7,28.1,25.15,0.01910021501113029,101.22,0.79,24.11,0.0,0,0,3.8
2002/01/03 @ 08:00:00,1,3,8,29.5,25.21,0.01860239424619856,101.25,0.71,23.69,544.68,224,475,4.9
2002/01/03 @ 09:00:00,1,3,9,30.2,25.52,0.01882749576426595,101.2,0.69,23.88,958.91,585,653,5.1
2002/01/03 @ 10:00:00,1,3,10,30.7,25.63,0.018812132746052534,101.16,0.67,23.87,1066.1,756,538,5.1
2002/01/03 @ 11:00:00,1,3,11,31.0,25.56,0.01855839767493463,101.11,0.65,23.65,1070.9,851,368,5.1
2002/01/03 @ 12:00:00,1,3,12,31.2,25.39,0.01818280880059452,101.08,0.63,23.32,1014.45,904,204,5.3
2002/01/03 @ 13:00:00,1,3,13,31.3,25.3,0.017990911296821323,101.06,0.62,23.15,902.6,744,229,5.7
2002/01/03 @ 14:00:00,1,3,14,31.2,24.85,0.017292886267703127,101.03,0.6,22.52,749.71,468,351,5.8
2002/01/03 @ 15:00:00,1,3,15,30.5,25.11,0.01802077134399299,101.02,0.65,23.18,559.19,203,409,5.2
2002/01/03 @ 16:00:00,1,3,16,29.5,25.05,0.018332665727228397,101.01,0.7,23.45,330.38,44,305,4.6
2002/01/03 @ 17:00:00,1,3,17,28.6,25.16,0.018911407253868525,101.0,0.76,23.95,150.36,9,147,3.7
2002/01/03 @ 18:00:00,1,3,18,27.7,25.07,0.01913297761055794,101.01,0.81,24.14,46.29,2,46,3.2
2002/01/03 @ 19:00:00,1,3,19,27.0,25.11,0.01950920424427662,101.02,0.86,24.46,12.0,1,12,2.5
2002/01/03 @ 20:00:00,1,3,20,26.4,24.95,0.019488358331330474,101.03,0.89,24.44,0.0,0,0,2.1
2002/01/03 @ 21:00:00,1,3,21,26.0,24.96,0.01968052430171855,101.04,0.92,24.6,0.0,0,0,1.7
2002/01/03 @ 22:00:00,1,3,22,25.8,25.16,0.020095954454941826,101.05,0.95,24.94,0.0,0,0,1.5
2002/01/03 @ 23:00:00,1,3,23,25.7,25.32,0.020407610475481026,101.06,0.97,25.19,0.0,0,0,1.3
2002/01/04 @ 00:00:00,1,4,0,25.6,25.35,0.02049891634874127,101.06,0.98,25.26,0.0,0,0,1.4
2002/01/04 @ 01:00:00,1,4,1,25.6,25.47,0.020715055854574605,101.06,0.99,25.43,0.0,0,0,1.5
2002/01/04 @ 02:00:00,1,4,2,25.4,25.4,0.020675876804311516,101.06,1.0,25.4,0.0,0,0,1.5
2002/01/04 @ 03:00:00,1,4,3,25.3,25.17,0.0203369989857225,101.06,0.99,25.13,0.0,0,0,1.7
2002/01/04 @ 04:00:00,1,4,4,25.3,25.05,0.02012492762589521,101.07,0.98,24.96,0.0,0,0,2.1
2002/01/04 @ 05:00:00,1,4,5,25.7,25.45,0.02062497510231518,101.07,0.98,25.36,0.0,0,0,2.1
2002/01/04 @ 06:00:00,1,4,6,26.4,25.49,0.02039295888174244,101.1,0.93,25.17,0.0,0,0,2.5
2002/01/04 @ 07:00:00,1,4,7,27.5,25.74,0.020349841032864267,101.12,0.87,25.14,0.0,0,0,3.0
