Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,24.4,23.78,0.01843968294057316,100.91,0.95,23.55,1.0,0,1,2.9
2002/01/01 @ 01:00:00,1,1,1,24.2,23.83,0.01860836711558867,100.92,0.97,23.7,0.0,0,0,2.6
2002/01/01 @ 02:00:00,1,1,2,24.5,23.75,0.018352683445899107,100.93,0.94,23.47,0.0,0,0,2.1
2002/01/01 @ 03:00:00,1,1,3,24.1,23.35,0.01790525859243037,100.9,0.94,23.08,0.0,0,0,1.8
2002/01/01 @ 04:00:00,1,1,4,24.7,24.33,0.019191451969291,100.88,0.97,24.19,0.0,0,0,1.3
2002/01/01 @ 05:00:00,1,1,5,24.3,23.93,0.0187236830037999,100.85,0.97,23.8,0.0,0,0,0.9
2002/01/01 @ 06:00:00,1,1,6,24.3,23.93,0.0187236830037999,100.84,0.97,23.8,0.0,0,0,0.9
2002/01/01 @ 07:00:00,1,1,7,25.1,24.47,0.019251676116998163,100.84,0.95,24.24,39.94,7,38,1.0
2002/01/01 @ 08:00:00,1,1,8,26.4,24.67,0.019037012841310035,100.83,0.87,24.06,118.95,12,113,1.1
2002/01/01 @ 09:00:00,1,1,9,27.9,24.96,0.018872071241897957,100.8,0.79,23.92,237.41,27,219,1.6
2002/01/01 @ 10:00:00,1,1,10,29.7,25.87,0.019645010620623148,100.78,0.74,24.57,411.95,79,347,2.0
2002/01/01 @ 11:00:00,1,1,11,31.2,26.08,0.01937323375136772,100.75,0.67,24.34,718.48,384,370,2.3
2002/01/01 @ 12:00:00,1,1,12,32.0,26.09,0.01905328655219452,100.71,0.63,24.07,891.81,665,272,2.7
2002/01/01 @ 13:00:00,1,1,13,32.6,26.25,0.019085040617723665,100.68,0.61,24.1,931.13,811,206,3.0
2002/01/01 @ 14:00:00,1,1,14,32.5,25.79,0.01833406050432099,100.64,0.59,23.45,823.91,781,202,3.0
2002/01/01 @ 15:00:00,1,1,15,32.0,24.8,0.01687880114493244,100.67,0.56,22.13,599.45,523,262,2.4
2002/01/01 @ 16:00:00,1,1,16,30.8,23.96,0.016026034722965887,100.7,0.57,21.31,327.62,141,264,2.0
2002/01/01 @ 17:00:00,1,1,17,30.2,23.08,0.014915809211295039,100.72,0.55,20.17,154.37,50,143,1.3
2002/01/01 @ 18:00:00,1,1,18,29.6,23.28,0.015471679538228112,100.79,0.59,20.75,31.0,13,31,1.5
2002/01/01 @ 19:00:00,1,1,19,28.8,22.93,0.015268698653042449,100.86,0.61,20.54,0.0,0,0,1.7
2002/01/01 @ 20:00:00,1,1,20,27.8,22.06,0.014385876578510261,100.93,0.61,19.61,5.0,0,5,1.9
