Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/03 @ 02:00:00,1,3,2,27.6,23.53,0.016847691474451264,91.9,0.72,22.1,467.36,121,386,6.9
2002/01/03 @ 03:00:00,1,3,3,27.5,23.28,0.0165080060536957,91.9,0.71,21.78,563.57,171,442,8.2
2002/01/03 @ 04:00:00,1,3,4,25.2,23.06,0.017065865132639618,91.8,0.84,22.31,586.32,161,475,10.3
2002/01/03 @ 05:00:00,1,3,5,23.9,23.14,0.017685268829557278,91.7,0.94,22.88,553.5,126,476,13.1
2002/01/03 @ 06:00:00,1,3,6,22.9,22.28,0.016803142580095572,91.8,0.95,22.06,454.66,65,423,10.6
2002/01/03 @ 07:00:00,1,3,7,21.9,21.66,0.016297869601847537,91.9,0.98,21.58,292.38,17,287,9.8
2002/01/03 @ 08:00:00,1,3,8,21.7,21.46,0.016094764192377285,91.9,0.98,21.38,148.46,4,148,9.0
2002/01/03 @ 09:00:00,1,3,9,21.4,21.16,0.015794389757375193,92.0,0.98,21.08,44.0,1,44,7.8
2002/01/03 @ 10:00:00,1,3,10,21.2,20.96,0.015596961543765218,92.0,0.98,20.88,24.0,0,24,6.2
2002/01/03 @ 11:00:00,1,3,11,20.9,20.67,0.015304993148643718,92.1,0.98,20.58,0.0,0,0,5.2
2002/01/03 @ 12:00:00,1,3,12,20.9,20.78,0.015465049896993738,92.1,0.99,20.75,0.0,0,0,4.5
2002/01/03 @ 13:00:00,1,3,13,20.6,20.6,0.015332009153307815,92.1,1.0,20.61,0.0,0,0,3.8
2002/01/03 @ 14:00:00,1,3,14,20.7,20.47,0.015113096650445867,92.1,0.98,20.39,0.0,0,0,3.4
2002/01/03 @ 15:00:00,1,3,15,20.4,20.17,0.014829318815700899,92.1,0.98,20.09,0.0,0,0,3.1
2002/01/03 @ 16:00:00,1,3,16,20.4,20.17,0.014829318815700899,92.1,0.98,20.09,0.0,0,0,1.9
2002/01/03 @ 17:00:00,1,3,17,20.6,20.25,0.014861058362689741,92.1,0.97,20.12,0.0,0,0,0.8
2002/01/03 @ 18:00:00,1,3,18,20.4,20.17,0.014829318815700899,92.1,0.98,20.09,0.0,0,0,1.5
2002/01/03 @ 19:00:00,1,3,19,20.7,20.35,0.014955173146916448,92.2,0.97,20.22,0.0,0,0,2.5
2002/01/03 @ 20:00:00,1,3,20,20.8,20.45,0.01504982501532237,92.3,0.97,20.32,0.0,0,0,2.6
2002/01/03 @ 21:00:00,1,3,21,20.9,20.55,0.015145016762162693,92.3,0.97,20.42,0.0,0,0,3.0
2002/01/03 @ 22:00:00,1,3,22,20.9,20.67,0.015304993148643718,92.4,0.98,20.58,77.0,0,77,3.6
2002/01/03 @ 23:00:00,1,3,23,21.8,21.32,0.01585707092567757,92.4,0.96,21.14,119.32,45,108,4.2
2002/01/04 @ 00:00:00,1,4,0,23.0,22.25,0.016725247608011633,92.4,0.94,21.99,238.51,61,212,4.8
2002/01/04 @ 01:00:00,1,4,1,24.3,22.48,0.016543898301690063,92.4,0.86,21.82,342.05,71,301,5.5
2002/01/04 @ 02:00:00,1,4,2,26.0,23.11,0.016824352813290856,92.4,0.79,22.08,437.2,88,378,5.8
2002/01/04 @ 03:00:00,1,4,3,27.1,23.07,0.016348525873637377,92.3,0.72,21.63,478.52,78,423,6.0
2002/01/04 @ 04:00:00,1,4,4,27.9,23.32,0.016420132289886678,92.3,0.69,21.7,523.42,93,459,6.7
2002/01/04 @ 05:00:00,1,4,5,27.5,23.12,0.016269416788105916,92.2,0.7,21.55,526.44,98,466,7.2
2002/01/04 @ 06:00:00,1,4,6,26.5,22.83,0.016216526188581683,92.3,0.74,21.5,468.19,74,432,8.7
2002/01/04 @ 07:00:00,1,4,7,25.3,23.02,0.01696057983169916,92.3,0.83,22.21,428.66,90,400,10.6
2002/01/04 @ 08:00:00,1,4,8,24.0,22.98,0.01740574411330955,92.3,0.92,22.63,333.57,65,326,12.1
2002/01/04 @ 09:00:00,1,4,9,23.2,22.45,0.016934417780478883,92.3,0.94,22.19,233.0,39,233,10.8
2002/01/04 @ 10:00:00,1,4,10,22.5,22.01,0.016566629010371748,92.4,0.96,21.84,104.0,6,104,9.2
2002/01/04 @ 11:00:00,1,4,11,22.3,21.81,0.01636102868798113,92.4,0.96,21.64,0.0,0,0,7.9
2002/01/04 @ 12:00:00,1,4,12,21.8,21.44,0.016026505110055666,92.4,0.97,21.31,0.0,0,0,6.1
2002/01/04 @ 13:00:00,1,4,13,21.6,21.24,0.015826713283193773,92.5,0.97,21.11,0.0,0,0,4.6
2002/01/04 @ 14:00:00,1,4,14,21.2,20.84,0.015433859426177237,92.5,0.97,20.72,0.0,0,0,3.2
2002/01/04 @ 15:00:00,1,4,15,21.0,20.76,0.015401763268618921,92.5,0.98,20.68,0.0,0,0,3.2
2002/01/04 @ 16:00:00,1,4,16,20.9,20.67,0.015304993148643718,92.5,0.98,20.58,0.0,0,0,3.3
2002/01/04 @ 17:00:00,1,4,17,20.9,20.67,0.015304993148643718,92.5,0.98,20.58,0.0,0,0,3.2
2002/01/04 @ 18:00:00,1,4,18,20.8,20.45,0.01504982501532237,92.5,0.97,20.32,0.0,0,0,2.9
