Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,24.8,19.91,0.012808523506358688,92.4,0.65,17.8,285.52,97,213,3.2
2002/01/01 @ 01:00:00,1,1,1,26.9,19.94,0.012036314538569352,92.4,0.54,16.84,412.35,146,304,3.2
2002/01/01 @ 02:00:00,1,1,2,28.7,19.76,0.01112587292270816,92.4,0.45,15.63,511.55,197,378,3.2
2002/01/01 @ 03:00:00,1,1,3,30.3,21.84,0.013331788613890404,92.4,0.49,18.42,572.69,273,420,6.9
2002/01/01 @ 04:00:00,1,1,4,30.4,22.51,0.014249864761446138,92.3,0.52,19.46,558.2,543,344,9.6
2002/01/01 @ 05:00:00,1,1,5,29.4,23.31,0.015821441626653977,92.2,0.61,21.11,417.75,672,287,12.0
2002/01/01 @ 06:00:00,1,1,6,27.9,23.16,0.016175969995740003,92.2,0.68,21.46,386.0,400,386,12.9
2002/01/01 @ 07:00:00,1,1,7,25.8,22.33,0.015758034529652753,92.2,0.75,21.04,390.0,236,390,13.7
2002/01/01 @ 08:00:00,1,1,8,23.1,21.19,0.01517887469851942,92.3,0.85,20.45,332.0,150,332,14.9
2002/01/01 @ 09:00:00,1,1,9,21.6,20.51,0.014824406983344304,92.3,0.91,20.08,245.0,102,245,13.1
2002/01/01 @ 10:00:00,1,1,10,21.1,20.63,0.015175059540919562,92.3,0.96,20.45,140.0,27,140,10.9
2002/01/01 @ 11:00:00,1,1,11,20.1,19.75,0.014398443877894256,92.3,0.97,19.62,0.0,0,0,8.8
2002/01/01 @ 12:00:00,1,1,12,19.5,19.27,0.014006567305019252,92.3,0.98,19.19,0.0,0,0,7.5
2002/01/01 @ 13:00:00,1,1,13,19.3,19.07,0.013829416184741311,92.3,0.98,18.99,0.0,0,0,5.6
2002/01/01 @ 14:00:00,1,1,14,18.9,18.56,0.013340639940137648,92.3,0.97,18.43,0.0,0,0,4.4
2002/01/01 @ 15:00:00,1,1,15,18.7,18.25,0.01303267549175476,92.3,0.96,18.07,0.0,0,0,4.3
2002/01/01 @ 16:00:00,1,1,16,18.5,17.94,0.012730301367287465,92.3,0.95,17.71,0.0,0,0,4.2
2002/01/01 @ 17:00:00,1,1,17,17.7,17.37,0.012353289623401447,92.4,0.97,17.24,0.0,0,0,4.1
2002/01/01 @ 18:00:00,1,1,18,16.8,16.48,0.011656431437443509,92.3,0.97,16.35,0.0,0,0,3.7
2002/01/01 @ 19:00:00,1,1,19,16.8,16.37,0.011534033487465586,92.3,0.96,16.18,0.0,0,0,3.3
2002/01/01 @ 20:00:00,1,1,20,17.0,16.35,0.011436244905556682,92.3,0.94,16.05,0.0,0,0,2.7
2002/01/01 @ 21:00:00,1,1,21,17.2,16.66,0.011710386370054544,92.3,0.95,16.42,0.0,0,0,2.6
