Time,MM,DD,hh,T_dry,T_wb,w,P,RH,T_dp,ghi,dni,dhi,v_wind
2002/01/01 @ 00:00:00,1,1,0,17.9,7.6,0.002284590940701972,101.59,0.18,-5.98,0.0,0,0,3.9
2002/01/01 @ 01:00:00,1,1,1,17.6,7.55,0.002366639296453718,101.55,0.19,-5.57,0.0,0,0,3.8
2002/01/01 @ 02:00:00,1,1,2,16.9,7.09,0.0022636983361452824,101.51,0.19,-6.09,0.0,0,0,3.8
2002/01/01 @ 03:00:00,1,1,3,16.6,6.75,0.0021035233631544813,101.51,0.18,-6.93,0.0,0,0,3.8
2002/01/01 @ 04:00:00,1,1,4,16.5,6.68,0.0020901341809940145,101.51,0.18,-7.01,0.0,0,0,4.0
2002/01/01 @ 05:00:00,1,1,5,16.7,6.67,0.0019989996175680843,101.52,0.17,-7.52,0.0,0,0,4.1
2002/01/01 @ 06:00:00,1,1,6,17.9,8.2,0.00279455898423334,101.57,0.22,-3.63,0.0,0,0,4.3
2002/01/01 @ 07:00:00,1,1,7,19.1,8.38,0.0024637747319739404,101.55,0.18,-5.1,0.0,0,0,4.2
2002/01/01 @ 08:00:00,1,1,8,19.2,7.14,0.0013749254932526548,101.48,0.1,-11.74,263.45,243,202,4.2
2002/01/01 @ 09:00:00,1,1,9,20.4,8.19,0.0017786193917491242,101.48,0.12,-8.85,419.14,526,213,4.0
2002/01/01 @ 10:00:00,1,1,10,20.8,8.77,0.002128076788300695,101.38,0.14,-6.8,552.95,666,227,3.9
2002/01/01 @ 11:00:00,1,1,11,20.9,8.66,0.0019878262068151863,101.32,0.13,-7.58,610.15,739,212,3.8
2002/01/01 @ 12:00:00,1,1,12,21.4,8.77,0.0018918460892399327,101.22,0.12,-8.15,573.19,770,160,3.8
2002/01/01 @ 13:00:00,1,1,13,22.2,9.24,0.0019869366420223375,101.15,0.12,-7.59,494.03,737,138,3.8
2002/01/01 @ 14:00:00,1,1,14,22.4,9.54,0.002179555320691665,101.12,0.13,-6.52,385.34,598,157,4.0
2002/01/01 @ 15:00:00,1,1,15,20.5,8.58,0.002088947307875108,101.15,0.14,-7.01,241.9,279,175,3.6
2002/01/01 @ 16:00:00,1,1,16,20.2,8.38,0.0020504517612470767,100.98,0.14,-7.23,66.73,11,66,3.7
2002/01/01 @ 17:00:00,1,1,17,19.8,7.8,0.0017135801412348063,100.98,0.12,-9.27,0.0,0,0,3.8
2002/01/01 @ 18:00:00,1,1,18,19.7,8.24,0.00213014060014686,100.88,0.15,-6.79,0.0,0,0,3.6
2002/01/01 @ 19:00:00,1,1,19,19.3,7.16,0.001383540049697665,100.83,0.1,-11.67,0.0,0,0,3.9
2002/01/01 @ 20:00:00,1,1,20,20.5,7.68,0.001341285761850888,100.78,0.09,-12.01,0.0,0,0,4.0
2002/01/01 @ 21:00:00,1,1,21,20.6,8.44,0.001951311433849779,100.75,0.13,-7.79,0.0,0,0,3.6
2002/01/01 @ 22:00:00,1,1,22,21.2,8.62,0.0018687074238466876,100.71,0.12,-8.29,0.0,0,0,3.5
2002/01/01 @ 23:00:00,1,1,23,20.8,8.91,0.0022806396693136484,100.68,0.15,-6.0,0.0,0,0,3.4
2002/01/02 @ 00:00:00,1,2,0,20.3,9.1,0.00265522001370846,100.68,0.18,-4.23,0.0,0,0,3.4
2002/01/02 @ 01:00:00,1,2,1,19.4,8.68,0.002650523571166152,100.65,0.19,-4.25,0.0,0,0,3.5
2002/01/02 @ 02:00:00,1,2,2,18.6,8.78,0.0030541615846482145,100.61,0.23,-2.58,0.0,0,0,3.8
2002/01/02 @ 03:00:00,1,2,3,18.9,9.13,0.0032483399593573746,100.58,0.24,-1.85,0.0,0,0,3.3
2002/01/02 @ 04:00:00,1,2,4,18.3,9.75,0.004046173903226037,100.56,0.31,0.88,0.0,0,0,2.7
2002/01/02 @ 05:00:00,1,2,5,17.4,10.18,0.00481566613897461,100.49,0.39,3.32,0.0,0,0,2.2
2002/01/02 @ 06:00:00,1,2,6,16.2,10.64,0.005729178955543032,100.44,0.5,5.8,0.0,0,0,2.1
2002/01/02 @ 07:00:00,1,2,7,15.2,11.54,0.006999895072416291,100.41,0.65,8.7,0.0,0,0,2.1
2002/01/02 @ 08:00:00,1,2,8,14.2,11.92,0.007783383741294688,100.41,0.77,10.26,150.18,242,89,2.1
2002/01/02 @ 09:00:00,1,2,9,14.1,12.23,0.008139391921536463,100.38,0.81,10.92,78.71,12,74,1.8
2002/01/02 @ 10:00:00,1,2,10,13.9,12.55,0.008535704529187196,100.34,0.86,11.63,69.47,3,68,1.5
2002/01/02 @ 11:00:00,1,2,11,13.9,12.45,0.00843510604423421,100.31,0.85,11.45,51.54,1,51,1.2
2002/01/02 @ 12:00:00,1,2,12,14.8,13.0,0.008628293660401175,100.31,0.82,11.79,80.08,2,79,1.3
2002/01/02 @ 13:00:00,1,2,13,15.3,13.36,0.008804394395392465,100.28,0.81,12.09,97.94,4,96,1.5
2002/01/02 @ 14:00:00,1,2,14,14.8,13.3,0.008948504770017884,100.28,0.85,12.34,92.54,4,91,1.6
2002/01/02 @ 15:00:00,1,2,15,14.6,13.11,0.008832061886969568,100.28,0.85,12.14,86.45,6,85,1.7
2002/01/02 @ 16:00:00,1,2,16,14.4,12.41,0.008197454320226345,100.28,0.8,11.03,70.9,13,70,1.8
2002/01/02 @ 17:00:00,1,2,17,14.7,12.9,0.00857201957931573,100.14,0.82,11.69,0.0,0,0,2.3
2002/01/02 @ 18:00:00,1,2,18,14.8,12.58,0.008201850801628002,100.21,0.78,11.04,0.0,0,0,2.1
2002/01/02 @ 19:00:00,1,2,19,15.2,12.74,0.008200111174750665,100.21,0.76,11.03,0.0,0,0,2.1
2002/01/02 @ 20:00:00,1,2,20,15.4,12.71,0.00808613950561631,100.16,0.74,10.83,0.0,0,0,2.1
2002/01/02 @ 21:00:00,1,2,21,13.9,12.44,0.00843510604423421,100.08,0.85,11.45,0.0,0,0,1.6
2002/01/02 @ 22:00:00,1,2,22,12.9,11.78,0.008178020466291281,100.3,0.88,10.99,0.0,0,0,1.0
2002/01/02 @ 23:00:00,1,2,23,12.7,12.43,0.008907318718504397,100.18,0.97,12.27,0.0,0,0,0.7
2002/01/03 @ 00:00:00,1,3,0,12.4,11.58,0.008183942713328876,100.33,0.91,11.01,0.0,0,0,1.1
2002/01/03 @ 01:00:00,1,3,1,12.7,11.59,0.008070142708355887,100.41,0.88,10.8,0.0,0,0,1.5
2002/01/03 @ 02:00:00,1,3,2,13.4,11.97,0.008161412894999361,100.48,0.85,10.96,47.0,0,47,2.1
2002/01/03 @ 03:00:00,1,3,3,14.8,12.79,0.008415000108143942,100.58,0.8,11.42,0.0,0,0,2.0
2002/01/03 @ 04:00:00,1,3,4,15.3,12.18,0.007594136545386384,100.65,0.7,9.9,0.0,0,0,1.9
2002/01/03 @ 05:00:00,1,3,5,15.6,11.56,0.006848897976145193,100.71,0.62,8.38,0.0,0,0,1.8
2002/01/03 @ 06:00:00,1,3,6,14.8,11.84,0.007456962053960077,100.76,0.71,9.63,0.0,0,0,1.8
2002/01/03 @ 07:00:00,1,3,7,14.3,11.7,0.0075256790436869295,100.81,0.74,9.76,0.0,0,0,1.6
2002/01/03 @ 08:00:00,1,3,8,14.6,12.19,0.007885046399357446,100.85,0.76,10.45,284.93,241,224,1.9
2002/01/03 @ 09:00:00,1,3,9,15.6,12.79,0.008079810993354475,100.81,0.73,10.81,464.51,526,258,2.2
2002/01/03 @ 10:00:00,1,3,10,16.1,13.24,0.008346023741988827,100.78,0.73,11.3,546.98,666,220,2.4
2002/01/03 @ 11:00:00,1,3,11,16.3,13.2,0.008219985718149157,100.75,0.71,11.07,530.46,740,130,2.3
2002/01/03 @ 12:00:00,1,3,12,16.3,13.31,0.00833731214729545,100.71,0.72,11.28,482.42,538,192,2.0
2002/01/03 @ 13:00:00,1,3,13,15.4,12.71,0.00808613950561631,100.65,0.74,10.83,393.02,306,244,1.5
2002/01/03 @ 14:00:00,1,3,14,14.6,12.5,0.008200402114980784,100.61,0.79,11.03,244.04,70,217,0.9
2002/01/03 @ 15:00:00,1,3,15,13.6,11.96,0.008072810458184178,100.63,0.83,10.8,189.37,71,172,0.8
2002/01/03 @ 16:00:00,1,3,16,12.9,11.68,0.008083880508739583,100.61,0.87,10.82,0.0,0,0,0.8
2002/01/03 @ 17:00:00,1,3,17,12.5,11.39,0.00796353900336172,100.65,0.88,10.6,0.0,0,0,0.9
2002/01/03 @ 18:00:00,1,3,18,12.1,11.01,0.007754100311693389,100.65,0.88,10.21,0.0,0,0,0.8
2002/01/03 @ 19:00:00,1,3,19,11.8,10.9,0.007775159751165133,100.6,0.9,10.25,0.0,0,0,0.8
