Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;2.2;2.2;103.14;100;2.2;0;0;0;0.3
2002/01/01 @ 01:00:00;1;1;1;2.1;2.04;103.17;99;1.95;0;0;0;0.2
2002/01/01 @ 02:00:00;1;1;2;1.5;1.5;103.13;100;1.49;0;0;0;0.3
2002/01/01 @ 03:00:00;1;1;3;1.7;1.7;103.23;100;1.69;0;0;0;0.4
2002/01/01 @ 04:00:00;1;1;4;1.8;1.8;103.26;100;1.79;0;0;0;0.3
2002/01/01 @ 05:00:00;1;1;5;2;2;103.31;100;1.99;0;0;0;1
2002/01/01 @ 06:00:00;1;1;6;2;2;103.3;100;1.99;0;0;0;1
2002/01/01 @ 07:00:00;1;1;7;1.9;1.9;103.31;100;1.89;0;0;0;0.5
2002/01/01 @ 08:00:00;1;1;8;1.4;1.4;103.3;100;1.39;5;0;5;0.4
2002/01/01 @ 09:00:00;1;1;9;1.4;1.4;103.3;100;1.39;24.43;22;23;0.6
2002/01/01 @ 10:00:00;1;1;10;1.2;1.2;103.34;100;1.19;54.62;26;51;0.8
2002/01/01 @ 11:00:00;1;1;11;1.6;1.6;103.33;100;1.59;76.01;33;70;1
2002/01/01 @ 12:00:00;1;1;12;1.9;1.9;103.31;100;1.89;75.14;27;70;1.3
2002/01/01 @ 13:00:00;1;1;13;3.2;3.2;103.31;100;3.2;40.14;7;39;1.5
2002/01/01 @ 14:00:00;1;1;14;3.4;3.4;103.29;100;3.41;10.1;1;10;1.5
2002/01/01 @ 15:00:00;1;1;15;3.4;3.4;103.33;100;3.41;0;0;0;1.5
2002/01/01 @ 16:00:00;1;1;16;3.3;3.3;103.29;100;3.31;0;0;0;1.2
2002/01/01 @ 17:00:00;1;1;17;3.3;3.3;103.28;100;3.31;0;0;0;1
2002/01/01 @ 18:00:00;1;1;18;3.1;3.1;103.3;100;3.1;0;0;0;0.9
2002/01/01 @ 19:00:00;1;1;19;3.1;3.1;103.3;100;3.1;0;0;0;0.8
2002/01/01 @ 20:00:00;1;1;20;3.1;3.1;103.3;100;3.1;0;0;0;0.9
2002/01/01 @ 21:00:00;1;1;21;3.1;3.1;103.31;100;3.1;0;0;0;0.9
2002/01/01 @ 22:00:00;1;1;22;3;3;103.31;100;3;0;0;0;0.9
2002/01/01 @ 23:00:00;1;1;23;3;3;103.31;100;3;0;0;0;0.9
2002/01/02 @ 00:00:00;1;2;0;3.1;3.1;103.3;100;3.1;0;0;0;0.8
2002/01/02 @ 01:00:00;1;2;1;2.9;2.9;103.47;100;2.9;0;0;0;0.4
2002/01/02 @ 02:00:00;1;2;2;2.9;2.9;103.51;100;2.9;0;0;0;0.6
2002/01/02 @ 03:00:00;1;2;3;2.9;2.9;103.53;100;2.9;0;0;0;0.5
