Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 14:00:00;1;3;14;20.6;18.04;92.2;79;16.86;0;0;0;4.4
2002/01/03 @ 15:00:00;1;3;15;20.6;18.17;92.4;80;17.05;0;0;0;6.1
2002/01/03 @ 16:00:00;1;3;16;20.1;16.41;92.3;70;14.49;0;0;0;8.7
2002/01/03 @ 17:00:00;1;3;17;30.5;16.78;92.5;25;8.29;0;0;0;12.4
2002/01/03 @ 18:00:00;1;3;18;20.5;13.82;92.4;49;9.46;0;0;0;12.9
2002/01/03 @ 19:00:00;1;3;19;20.3;15.92;92.4;65;13.54;0;0;0;13.1
2002/01/03 @ 20:00:00;1;3;20;19.6;15.96;92.4;70;14.01;0;0;0;14
2002/01/03 @ 21:00:00;1;3;21;19.9;16.23;92.4;70;14.3;0;0;0;13.6
2002/01/03 @ 22:00:00;1;3;22;21.5;17.82;92.3;71;16.05;77;0;77;12.5
2002/01/03 @ 23:00:00;1;3;23;24;18.9;92.3;63;16.55;173.21;117;92;12.2
2002/01/04 @ 00:00:00;1;4;0;27.6;19.99;92.2;51;16.58;283.17;99;209;9.8
2002/01/04 @ 01:00:00;1;4;1;28.3;19.43;92.1;45;15.27;411.53;147;302;7.8
2002/01/04 @ 02:00:00;1;4;2;30.5;20.15;92;40;15.41;511.44;200;375;5.1
2002/01/04 @ 03:00:00;1;4;3;35.2;22.58;92.1;35;17.45;572.73;274;418;4.7
2002/01/04 @ 04:00:00;1;4;4;31.1;20.61;91.9;40;15.94;559.54;563;334;5.7
2002/01/04 @ 05:00:00;1;4;5;30.3;21.03;92;45;17.07;400.24;752;249;5
2002/01/04 @ 06:00:00;1;4;6;31.1;21.67;92;45;17.79;309;569;309;7.9
2002/01/04 @ 07:00:00;1;4;7;30.3;22.22;92;51;19.06;362;319;362;10.3
2002/01/04 @ 08:00:00;1;4;8;29.4;23.13;92;60;20.84;314;223;314;11.5
2002/01/04 @ 09:00:00;1;4;9;25.9;21.97;92;72;20.48;243;123;243;9.8
2002/01/04 @ 10:00:00;1;4;10;23.5;21.57;92;85;20.84;146;42;146;8.9
2002/01/04 @ 11:00:00;1;4;11;21.7;21.1;91.9;95;20.88;0;0;0;8.1
2002/01/04 @ 12:00:00;1;4;12;20.8;20.33;92;96;20.15;0;0;0;6.5
2002/01/04 @ 13:00:00;1;4;13;20;19.54;92;96;19.36;0;0;0;4.8
2002/01/04 @ 14:00:00;1;4;14;19.8;19.22;92;95;18.99;0;0;0;3.1
2002/01/04 @ 15:00:00;1;4;15;19.9;19.21;92.1;94;18.92;0;0;0;3
2002/01/04 @ 16:00:00;1;4;16;19.1;18.3;92.1;93;17.96;0;0;0;3.1
2002/01/04 @ 17:00:00;1;4;17;18.8;17.9;92.2;92;17.49;0;0;0;3.1
2002/01/04 @ 18:00:00;1;4;18;18.6;17.58;92.1;91;17.13;0;0;0;2.3
2002/01/04 @ 19:00:00;1;4;19;19;17.86;92.1;90;17.35;0;0;0;1.2
2002/01/04 @ 20:00:00;1;4;20;18.9;17.64;92.1;89;17.07;0;0;0;1.1
2002/01/04 @ 21:00:00;1;4;21;17.8;17.14;92.1;94;16.84;0;0;0;2.1
2002/01/04 @ 22:00:00;1;4;22;18.2;17.53;92.2;94;17.24;78;0;78;3.3
2002/01/04 @ 23:00:00;1;4;23;19.4;18.71;92.3;94;18.43;169.85;115;90;5.2
2002/01/05 @ 00:00:00;1;5;0;21.4;19.56;92.4;85;18.79;262.74;69;211;7.1
2002/01/05 @ 01:00:00;1;5;1;23.1;20.52;92.4;80;19.48;376.9;95;306;8.6
2002/01/05 @ 02:00:00;1;5;2;24.1;21.32;92.3;79;20.24;431.07;82;375;10.2
2002/01/05 @ 03:00:00;1;5;3;22.8;20.77;92.3;84;19.97;431.16;55;400;10.7
2002/01/05 @ 04:00:00;1;5;4;21;20.05;92.3;92;19.67;372.87;27;362;11.1
2002/01/05 @ 05:00:00;1;5;5;20.4;19.82;92.3;95;19.59;320.25;16;317;11.9
2002/01/05 @ 06:00:00;1;5;6;19.7;19.47;92.3;98;19.39;306;16;306;13.8
2002/01/05 @ 07:00:00;1;5;7;20;19.65;92.3;97;19.52;304;21;304;14.2
2002/01/05 @ 08:00:00;1;5;8;19.9;19.56;92.2;97;19.43;272;24;272;14.6
2002/01/05 @ 09:00:00;1;5;9;19.5;19.27;92.4;98;19.19;210;22;210;13
2002/01/05 @ 10:00:00;1;5;10;19.1;18.88;92.4;98;18.79;84;3;84;10.6
2002/01/05 @ 11:00:00;1;5;11;17.9;17.79;92.5;99;17.76;0;0;0;9.3
2002/01/05 @ 12:00:00;1;5;12;17.5;17.39;92.5;99;17.36;0;0;0;7.5
2002/01/05 @ 13:00:00;1;5;13;17.8;17.58;92.4;98;17.5;0;0;0;4.6
2002/01/05 @ 14:00:00;1;5;14;17.9;17.68;92.4;98;17.6;0;0;0;2.6
2002/01/05 @ 15:00:00;1;5;15;18;17.78;92.4;98;17.7;0;0;0;2.7
2002/01/05 @ 16:00:00;1;5;16;17.9;17.57;92.4;97;17.44;0;0;0;3.2
2002/01/05 @ 17:00:00;1;5;17;17.7;17.37;92.5;97;17.24;0;0;0;3.6
2002/01/05 @ 18:00:00;1;5;18;17;16.68;92.4;97;16.54;0;0;0;3.4
2002/01/05 @ 19:00:00;1;5;19;16.8;16.27;92.4;95;16.02;0;0;0;3
2002/01/05 @ 20:00:00;1;5;20;16.7;16.17;92.4;95;15.92;0;0;0;2.6
2002/01/05 @ 21:00:00;1;5;21;16.7;16.28;92.4;96;16.08;0;0;0;3.1
2002/01/05 @ 22:00:00;1;5;22;17.6;17.27;92.4;97;17.14;65;0;65;3.2
2002/01/05 @ 23:00:00;1;5;23;19.3;18.73;92.4;95;18.5;151.96;82;95;3.5
2002/01/06 @ 00:00:00;1;6;0;21.2;19.5;92.4;86;18.78;271.55;82;210;4.8
2002/01/06 @ 01:00:00;1;6;1;24.5;20.99;92.5;74;19.58;402.92;135;302;5.5
2002/01/06 @ 02:00:00;1;6;2;26;21.61;92.5;69;19.89;501.01;178;379;6.7
2002/01/06 @ 03:00:00;1;6;3;27.4;22.23;92.5;65;20.25;543.48;182;440;7.6
2002/01/06 @ 04:00:00;1;6;4;27.3;22.14;92.4;65;20.16;557.09;220;468;8.3
2002/01/06 @ 05:00:00;1;6;5;26.3;22.03;92.3;70;20.41;514.76;169;480;9.3
2002/01/06 @ 06:00:00;1;6;6;24.5;21.56;92.4;78;20.43;453;116;453;10
2002/01/06 @ 07:00:00;1;6;7;22.4;20.65;92.4;86;19.96;382;61;382;10.5
2002/01/06 @ 08:00:00;1;6;8;21;20.29;92.4;94;20.01;291;32;291;11.5
2002/01/06 @ 09:00:00;1;6;9;20.3;19.72;92.4;95;19.49;202;18;202;10.4
2002/01/06 @ 10:00:00;1;6;10;19.6;19.26;92.4;97;19.13;82;3;82;9.2
2002/01/06 @ 11:00:00;1;6;11;19.2;19.09;92.4;99;19.06;0;0;0;7.7
2002/01/06 @ 12:00:00;1;6;12;18.9;18.68;92.3;98;18.6;0;0;0;6.1
2002/01/06 @ 13:00:00;1;6;13;18.9;18.68;92.4;98;18.6;0;0;0;4.9
2002/01/06 @ 14:00:00;1;6;14;18.8;18.46;92.3;97;18.33;0;0;0;3.1
2002/01/06 @ 15:00:00;1;6;15;18.2;17.76;92.3;96;17.57;0;0;0;3.3
2002/01/06 @ 16:00:00;1;6;16;18;17.56;92.4;96;17.37;0;0;0;3.3
2002/01/06 @ 17:00:00;1;6;17;17.1;16.56;92.4;95;16.32;0;0;0;3.5
2002/01/06 @ 18:00:00;1;6;18;16.7;16.49;92.4;98;16.41;0;0;0;4.7
2002/01/06 @ 19:00:00;1;6;19;16.8;16.59;92.4;98;16.51;0;0;0;5.6
2002/01/06 @ 20:00:00;1;6;20;16.9;16.69;92.5;98;16.61;0;0;0;6.6
2002/01/06 @ 21:00:00;1;6;21;16.9;16.79;92.4;99;16.77;0;0;0;6.9
2002/01/06 @ 22:00:00;1;6;22;17.9;17.79;92.4;99;17.76;69;0;69;6.4
2002/01/06 @ 23:00:00;1;6;23;19;18.55;92.4;96;18.37;168.14;111;91;5.9
2002/01/07 @ 00:00:00;1;7;0;22.4;20;92.4;81;19;277.64;94;207;5.2
2002/01/07 @ 01:00:00;1;7;1;26.2;21.16;92.4;65;19.12;407.83;144;300;4.1
2002/01/07 @ 02:00:00;1;7;2;28.3;21.65;92.5;57;18.99;507.62;193;375;4.3
2002/01/07 @ 03:00:00;1;7;3;30.6;22.09;92.4;49;18.69;557.97;219;433;6.7
2002/01/07 @ 04:00:00;1;7;4;30.9;22.73;92.4;51;19.6;568.79;304;445;8.3
2002/01/07 @ 05:00:00;1;7;5;30.6;22.68;92.3;52;19.64;493.37;420;406;9.6
2002/01/07 @ 06:00:00;1;7;6;29.2;22.42;92.3;57;19.82;419;324;419;10.2
2002/01/07 @ 07:00:00;1;7;7;27.4;22.39;92.3;66;20.5;387;253;387;11.3
2002/01/07 @ 08:00:00;1;7;8;24.8;22.12;92.3;80;21.13;329;178;329;13
2002/01/07 @ 09:00:00;1;7;9;22.5;21;92.4;88;20.43;247;108;247;11.9
2002/01/07 @ 10:00:00;1;7;10;21.6;20.76;92.4;93;20.43;146;35;146;10.4
2002/01/07 @ 11:00:00;1;7;11;20.7;20.11;92.4;95;19.88;0;0;0;9.2
2002/01/07 @ 12:00:00;1;7;12;20;19.42;92.4;95;19.19;0;0;0;7.6
2002/01/07 @ 13:00:00;1;7;13;19.9;19.44;92.4;96;19.26;0;0;0;5.8
2002/01/07 @ 14:00:00;1;7;14;19.8;19.11;92.4;94;18.82;0;0;0;4.2
2002/01/07 @ 15:00:00;1;7;15;19.2;18.52;92.4;94;18.23;0;0;0;5
2002/01/07 @ 16:00:00;1;7;16;19;18.44;92.4;95;18.2;0;0;0;5.7
2002/01/07 @ 17:00:00;1;7;17;19;18.55;92.4;96;18.37;0;0;0;6.9
2002/01/07 @ 18:00:00;1;7;18;18.7;18.25;92.4;96;18.07;0;0;0;6.9
2002/01/07 @ 19:00:00;1;7;19;18.1;17.66;92.5;96;17.47;0;0;0;6.9
2002/01/07 @ 20:00:00;1;7;20;17.9;17.46;92.5;96;17.28;0;0;0;7
2002/01/07 @ 21:00:00;1;7;21;18;17.67;92.5;97;17.54;0;0;0;6.5
2002/01/07 @ 22:00:00;1;7;22;19.3;18.73;92.4;95;18.5;69;0;69;5.6
2002/01/07 @ 23:00:00;1;7;23;20.8;19.12;92.4;86;18.39;156.8;109;81;4.9
2002/01/08 @ 00:00:00;1;8;0;24.5;20.7;92.5;72;19.14;271.96;85;208;5.6
2002/01/08 @ 01:00:00;1;8;1;27.5;22.15;92.5;64;20.1;398.53;130;301;6.2
