Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/04/02 @ 15:00:00;4;2;15;21.7;16.47;101.25;59;13.38;487.5;258;335;7.5
2002/04/02 @ 16:00:00;4;2;16;21.7;16.33;101.25;58;13.11;383.68;207;293;8
2002/04/02 @ 17:00:00;4;2;17;21.1;15.12;101.25;53;11.19;206.09;56;192;7.5
2002/04/02 @ 18:00:00;4;2;18;21.1;14.39;101.25;48;9.71;0.04;1;0;7
2002/04/02 @ 19:00:00;4;2;19;21.1;13.8;101.25;44;8.41;0;0;0;6.5
2002/04/02 @ 20:00:00;4;2;20;20;13.64;101.25;49;9;0;0;0;6
2002/04/02 @ 21:00:00;4;2;21;18.9;13.28;101.25;53;9.15;0;0;0;6
2002/04/02 @ 22:00:00;4;2;22;17.8;12.99;101.25;58;9.47;0;0;0;6
2002/04/02 @ 23:00:00;4;2;23;16.7;12.17;101.25;59;8.69;0;0;0;5.5
2002/04/03 @ 00:00:00;4;3;0;15;11.04;101.25;62;7.81;0;0;0;4.9
2002/04/03 @ 01:00:00;4;3;1;15;11.15;101.25;63;8.05;0;0;0;4.9
2002/04/03 @ 02:00:00;4;3;2;13.3;10.18;101.25;68;7.55;0;0;0;4.9
2002/04/03 @ 03:00:00;4;3;3;13.3;10.18;101.25;68;7.55;0;0;0;4.9
2002/04/03 @ 04:00:00;4;3;4;12.2;9.78;101.25;74;7.74;0;0;0;5.3
2002/04/03 @ 05:00:00;4;3;5;11.1;9.05;101.25;77;7.25;0;0;0;5.1
2002/04/03 @ 06:00:00;4;3;6;11.1;9.14;101.25;78;7.44;0;0;0;4.9
2002/04/03 @ 07:00:00;4;3;7;12.2;9.97;101.25;76;8.13;0;0;0;4.9
2002/04/03 @ 08:00:00;4;3;8;13.3;10.89;101.25;75;9;272.86;193;221;5.1
2002/04/03 @ 09:00:00;4;3;9;13.9;11.24;101.25;73;9.18;431.81;524;195;5.5
2002/04/03 @ 10:00:00;4;3;10;16.1;12.35;101.25;65;9.56;558.03;686;146;6
2002/04/03 @ 11:00:00;4;3;11;16.7;12.41;101.25;61;9.18;702.53;777;155;4.9
2002/04/03 @ 12:00:00;4;3;12;17.8;12.99;101.25;58;9.47;734.41;780;144;4.9
2002/04/03 @ 13:00:00;4;3;13;17.8;12.61;101.25;55;8.68;728.16;690;208;4.9
2002/04/03 @ 14:00:00;4;3;14;18.3;12.52;101.25;51;8.03;674.95;608;252;4.9
2002/04/03 @ 15:00:00;4;3;15;18.3;12.65;101.25;52;8.31;575.75;513;275;4.6
2002/04/03 @ 16:00:00;4;3;16;18.9;13.01;101.25;51;8.58;402.35;264;288;4.4
2002/04/03 @ 17:00:00;4;3;17;18.9;13.15;101.25;52;8.87;227.22;86;206;3.9
2002/04/03 @ 18:00:00;4;3;18;18.9;13.28;101.25;53;9.15;0.28;7;0;3.9
2002/04/03 @ 19:00:00;4;3;19;17.8;12.61;101.25;55;8.68;0;0;0;3.9
2002/04/03 @ 20:00:00;4;3;20;16.7;12.29;101.25;60;8.94;0;0;0;3.4
2002/04/03 @ 21:00:00;4;3;21;15;11.27;101.59;64;8.28;0;0;0;3
2002/04/03 @ 22:00:00;4;3;22;15;11.71;101.59;68;9.18;0;0;0;2.7
2002/04/03 @ 23:00:00;4;3;23;13.9;11.24;101.59;73;9.18;0;0;0;2.5
2002/04/04 @ 00:00:00;4;4;0;13.9;11.34;101.59;74;9.38;0;0;0;2
2002/04/04 @ 01:00:00;4;4;1;13.3;10.79;101.59;74;8.8;0;0;0;2.1
2002/04/04 @ 02:00:00;4;4;2;13.3;10.89;101.59;75;9;0;0;0;1.6
2002/04/04 @ 03:00:00;4;4;3;12.8;10.73;101.59;78;9.09;0;0;0;1.5
2002/04/04 @ 04:00:00;4;4;4;12.2;10.26;101.59;79;8.7;0;0;0;1.4
2002/04/04 @ 05:00:00;4;4;5;11.1;9.6;101.59;83;8.35;0;0;0;0.7
2002/04/04 @ 06:00:00;4;4;6;11.1;9.78;101.59;85;8.71;0;0;0;0
2002/04/04 @ 07:00:00;4;4;7;11.1;9.51;101.59;82;8.18;0;0;0;0
2002/04/04 @ 08:00:00;4;4;8;13.9;11.75;101.59;78;10.16;228.68;187;179;0
2002/04/04 @ 09:00:00;4;4;9;16.1;13.03;101.59;71;10.88;399.29;520;166;1
2002/04/04 @ 10:00:00;4;4;10;17.2;13.32;101.25;65;10.6;538.79;683;131;1.4
2002/04/04 @ 11:00:00;4;4;11;18.9;14.19;101.25;60;11.01;636.79;756;107;2
2002/04/04 @ 12:00:00;4;4;12;18.9;13.93;101.25;58;10.5;672.51;637;193;2.5
2002/04/04 @ 13:00:00;4;4;13;18.9;13.67;101.25;56;9.97;670.42;557;253;3
2002/04/04 @ 14:00:00;4;4;14;18.9;13.67;101.25;56;9.97;610.56;448;301;3.4
2002/04/04 @ 15:00:00;4;4;15;18.9;13.41;101.25;54;9.43;445.47;190;335;3
2002/04/04 @ 16:00:00;4;4;16;18.9;13.28;101.25;53;9.15;293.4;71;263;3
2002/04/04 @ 17:00:00;4;4;17;18.9;13.41;101.25;54;9.43;174.98;33;167;2.7
2002/04/04 @ 18:00:00;4;4;18;17.8;12.74;101.25;56;8.95;0.21;6;0;2.5
2002/04/04 @ 19:00:00;4;4;19;17.2;12.48;101.25;58;8.9;0;0;0;2
2002/04/04 @ 20:00:00;4;4;20;16.7;12.76;101.25;64;9.9;0;0;0;2
2002/04/04 @ 21:00:00;4;4;21;16.1;12.12;101.25;63;9.09;0;0;0;2.5
2002/04/04 @ 22:00:00;4;4;22;16.1;12.35;101.25;65;9.56;0;0;0;2.5
2002/04/04 @ 23:00:00;4;4;23;16.1;12.69;101.25;68;10.23;0;0;0;3
2002/04/05 @ 00:00:00;4;5;0;16.1;13.03;101.25;71;10.88;0;0;0;3.2
2002/04/05 @ 01:00:00;4;5;1;16.1;13.47;101.25;75;11.7;0;0;0;3.9
2002/04/05 @ 02:00:00;4;5;2;16.1;13.36;101.25;74;11.5;0;0;0;3.9
2002/04/05 @ 03:00:00;4;5;3;16.1;13.25;101.25;73;11.3;0;0;0;4.4
2002/04/05 @ 04:00:00;4;5;4;16.1;13.36;101.25;74;11.5;0;0;0;4.9
2002/04/05 @ 05:00:00;4;5;5;16.7;13.57;101.25;71;11.45;0;0;0;5.5
2002/04/05 @ 06:00:00;4;5;6;16.7;13.57;101.25;71;11.45;0;0;0;6
2002/04/05 @ 07:00:00;4;5;7;18.3;14.29;101.25;65;11.65;0;0;0;6
2002/04/05 @ 08:00:00;4;5;8;18.9;14.7;101.25;64;11.98;167.54;181;120;6
2002/04/05 @ 09:00:00;4;5;9;20;15.41;101.25;62;12.54;326.24;517;96;6
2002/04/05 @ 10:00:00;4;5;10;21.1;15.96;101.25;59;12.81;496.15;681;92;6
2002/04/05 @ 11:00:00;4;5;11;22.8;16.38;101.25;52;12.47;642;772;104;6.9
2002/04/05 @ 12:00:00;4;5;12;24.4;16.58;101.25;45;11.74;685.77;681;176;7
2002/04/05 @ 13:00:00;4;5;13;24.4;15.75;101.25;40;9.97;699.52;641;222;7.5
2002/04/05 @ 14:00:00;4;5;14;24.4;15.4;101.25;38;9.21;633.82;517;279;7.5
2002/04/05 @ 15:00:00;4;5;15;25.6;16.33;101.59;38;10.27;480.95;267;327;7.5
2002/04/05 @ 16:00:00;4;5;16;24.4;15.76;101.59;40;9.97;316.76;101;274;7.2
2002/04/05 @ 17:00:00;4;5;17;23.9;15.2;101.59;39;9.15;140.79;16;137;6
2002/04/05 @ 18:00:00;4;5;18;22.2;14.37;101.59;42;8.72;0;0;0;5
2002/04/05 @ 19:00:00;4;5;19;21.7;14.29;101.59;44;8.96;0;0;0;4.9
2002/04/05 @ 20:00:00;4;5;20;20;13.8;101.93;50;9.3;0;0;0;3.9
2002/04/05 @ 21:00:00;4;5;21;18.3;12.79;101.93;53;8.6;0;0;0;3.4
2002/04/05 @ 22:00:00;4;5;22;17.2;12.61;101.93;59;9.16;0;0;0;3
2002/04/05 @ 23:00:00;4;5;23;16.1;12.36;101.93;65;9.56;0;0;0;3.2
2002/04/06 @ 00:00:00;4;6;0;16.1;12.47;101.93;66;9.78;0;0;0;3.4
2002/04/06 @ 01:00:00;4;6;1;15;12.14;101.93;72;10.03;0;0;0;3.6
2002/04/06 @ 02:00:00;4;6;2;15;12.04;101.93;71;9.82;0;0;0;3.4
2002/04/06 @ 03:00:00;4;6;3;15;12.15;102.27;72;10.03;0;0;0;3
2002/04/06 @ 04:00:00;4;6;4;13.9;11.45;102.27;75;9.58;0;0;0;2.5
2002/04/06 @ 05:00:00;4;6;5;13.3;11.2;102.27;78;9.58;0;0;0;2.2
2002/04/06 @ 06:00:00;4;6;6;12.8;10.93;102.27;80;9.47;0;0;0;2
2002/04/06 @ 07:00:00;4;6;7;13.3;11.4;102.27;80;9.96;0;0;0;1.3
2002/04/06 @ 08:00:00;4;6;8;15;12.57;102.27;76;10.84;179.43;175;134;1.4
2002/04/06 @ 09:00:00;4;6;9;16.1;13.26;102.27;73;11.3;362.76;513;136;2
2002/04/06 @ 10:00:00;4;6;10;16.7;13.47;102.27;70;11.24;537.92;678;138;2.5
2002/04/06 @ 11:00:00;4;6;11;18.9;14.59;102.27;63;11.74;662.59;770;129;2.5
2002/04/06 @ 12:00:00;4;6;12;18.9;14.34;102.27;61;11.25;713.22;758;149;2.3
2002/04/06 @ 13:00:00;4;6;13;18.9;14.21;102.27;60;11.01;690.06;624;228;2.4
2002/04/06 @ 14:00:00;4;6;14;18.9;13.95;102.27;58;10.5;615.5;479;289;2
2002/04/06 @ 15:00:00;4;6;15;18.9;13.69;101.93;56;9.97;462.51;237;327;1.8
2002/04/06 @ 16:00:00;4;6;16;18.9;13.69;101.93;56;9.97;347.7;157;282;1.9
2002/04/06 @ 17:00:00;4;6;17;18.9;13.69;101.93;56;9.97;166.96;30;160;2
2002/04/06 @ 18:00:00;4;6;18;17.8;12.88;101.93;57;9.21;0.08;3;0;2
2002/04/06 @ 19:00:00;4;6;19;17.2;12.61;101.93;59;9.16;0;0;0;1.5
2002/04/06 @ 20:00:00;4;6;20;16.1;12.13;101.93;63;9.09;0;0;0;2
2002/04/06 @ 21:00:00;4;6;21;16.1;12.47;101.93;66;9.78;0;0;0;2
2002/04/06 @ 22:00:00;4;6;22;15;11.93;101.93;70;9.61;0;0;0;2
2002/04/06 @ 23:00:00;4;6;23;15;12.25;101.93;73;10.24;0;0;0;2
2002/04/07 @ 00:00:00;4;7;0;15;12.57;101.93;76;10.84;0;0;0;2
2002/04/07 @ 01:00:00;4;7;1;15;12.68;101.93;77;11.04;0;0;0;2.5
2002/04/07 @ 02:00:00;4;7;2;15;12.99;101.93;80;11.61;0;0;0;2.5
2002/04/07 @ 03:00:00;4;7;3;15;13.09;101.93;81;11.8;0;0;0;2
2002/04/07 @ 04:00:00;4;7;4;14.4;12.93;101.93;85;11.94;0;0;0;2
2002/04/07 @ 05:00:00;4;7;5;13.9;12.65;101.93;87;11.81;0;0;0;2.3
2002/04/07 @ 06:00:00;4;7;6;14.4;12.93;101.93;85;11.94;0;0;0;2.2
2002/04/07 @ 07:00:00;4;7;7;15;13.3;101.93;83;12.17;0;0;0;2.5
2002/04/07 @ 08:00:00;4;7;8;16.7;14.69;101.93;81;13.46;212.36;169;169;3
2002/04/07 @ 09:00:00;4;7;9;18.9;15.7;101.93;72;13.78;313.31;509;90;3.6
2002/04/07 @ 10:00:00;4;7;10;21.1;16.65;101.93;64;14.06;438.67;576;101;3.9
2002/04/07 @ 11:00:00;4;7;11;21.7;17.04;101.93;63;14.38;485.15;379;224;4.1
2002/04/07 @ 12:00:00;4;7;12;21.7;16.9;101.93;62;14.14;525.92;312;295;4.4
2002/04/07 @ 13:00:00;4;7;13;21.7;16.76;101.93;61;13.89;572.87;349;316;3.9
2002/04/07 @ 14:00:00;4;7;14;21.7;16.62;101.59;60;13.63;524.1;269;342;3.4
2002/04/07 @ 15:00:00;4;7;15;22.2;16.48;101.59;56;13.04;427.79;176;328;3.4
2002/04/07 @ 16:00:00;4;7;16;21.7;16.48;101.59;59;13.38;338.97;145;279;3
2002/04/07 @ 17:00:00;4;7;17;21.7;16.2;101.59;57;12.85;201.77;65;187;2.5
2002/04/07 @ 18:00:00;4;7;18;21.1;15.82;101.59;58;12.55;0.1;5;0;2.5
2002/04/07 @ 19:00:00;4;7;19;19.4;14.89;101.59;62;11.97;0;0;0;2
2002/04/07 @ 20:00:00;4;7;20;18.3;14.67;101.59;68;12.33;0;0;0;2
2002/04/07 @ 21:00:00;4;7;21;17.8;15.04;101.59;75;13.34;0;0;0;2.2
2002/04/07 @ 22:00:00;4;7;22;16.7;14.58;101.59;80;13.27;0;0;0;2.5
2002/04/07 @ 23:00:00;4;7;23;16.7;14.8;101.59;82;13.64;0;0;0;2.5
2002/04/08 @ 00:00:00;4;8;0;16.7;14.91;101.59;83;13.83;0;0;0;3
2002/04/08 @ 01:00:00;4;8;1;16.7;15.34;101.93;87;14.56;0;0;0;3.4
2002/04/08 @ 02:00:00;4;8;2;16.7;14.91;101.93;83;13.83;0;0;0;3
2002/04/08 @ 03:00:00;4;8;3;16.7;14.91;101.93;83;13.83;0;0;0;3
2002/04/08 @ 04:00:00;4;8;4;16.1;14.24;101.93;82;13.06;0;0;0;3
2002/04/08 @ 05:00:00;4;8;5;16.1;14.56;101.93;85;13.61;0;0;0;2.5
2002/04/08 @ 06:00:00;4;8;6;16.1;14.56;101.93;85;13.61;0;0;0;2.5
2002/04/08 @ 07:00:00;4;8;7;16.1;14.56;101.93;85;13.61;0;0;0;2.5
2002/04/08 @ 08:00:00;4;8;8;17.8;16.07;101.93;84;15.09;227.32;163;186;2.5
2002/04/08 @ 09:00:00;4;8;9;20;17.8;101.93;81;16.67;343.87;505;124;3
2002/04/08 @ 10:00:00;4;8;10;21.7;19.03;101.93;78;17.72;534.09;673;142;3.9
2002/04/08 @ 11:00:00;4;8;11;23.9;19.98;101.93;70;18.12;633.1;765;109;3.9
2002/04/08 @ 12:00:00;4;8;12;24.4;20;101.93;67;17.9;691.05;723;159;3.9
2002/04/08 @ 13:00:00;4;8;13;24.4;19.56;101.93;64;17.18;706.02;689;202;3.9
2002/04/08 @ 14:00:00;4;8;14;24.4;19.41;101.93;63;16.93;617.18;509;275;3.7
2002/04/08 @ 15:00:00;4;8;15;25;19.78;101.59;62;17.24;451.49;225;325;3
2002/04/08 @ 16:00:00;4;8;16;23.9;18.97;101.59;63;16.46;295.33;84;261;2.5
2002/04/08 @ 17:00:00;4;8;17;23.9;18.97;101.59;63;16.46;155.78;26;150;3
2002/04/08 @ 18:00:00;4;8;18;22.8;18.42;101.59;66;16.15;0.02;1;0;2.9
2002/04/08 @ 19:00:00;4;8;19;22.8;18.84;101.59;69;16.84;0;0;0;3
2002/04/08 @ 20:00:00;4;8;20;21.7;18.25;101.59;72;16.46;0;0;0;3.4
2002/04/08 @ 21:00:00;4;8;21;21.7;18.64;101.59;75;17.1;0;0;0;3.9
2002/04/08 @ 22:00:00;4;8;22;21.7;18.9;101.59;77;17.52;0;0;0;4.9
2002/04/08 @ 23:00:00;4;8;23;21.1;18.34;101.59;77;16.94;0;0;0;4.9
2002/04/09 @ 00:00:00;4;9;0;20.6;18;101.59;78;16.66;0;0;0;4.4
2002/04/09 @ 01:00:00;4;9;1;20.6;18.12;101.59;79;16.86;0;0;0;4.4
2002/04/09 @ 02:00:00;4;9;2;20;17.8;101.59;81;16.67;0;0;0;3.9
2002/04/09 @ 03:00:00;4;9;3;18.9;17.11;101.59;84;16.16;0;0;0;3.4
2002/04/09 @ 04:00:00;4;9;4;18.9;17.23;101.59;85;16.35;0;0;0;3
2002/04/09 @ 05:00:00;4;9;5;17.8;16.84;101.93;91;16.34;0;0;0;3.4
