Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;7.9;6.8;100.56;86;5.73;0;0;0;6.4
2002/01/01 @ 01:00:00;1;1;1;7.5;6.49;100.72;87;5.5;0;0;0;6.2
2002/01/01 @ 02:00:00;1;1;2;7.4;6.32;100.71;86;5.23;0;0;0;6.1
2002/01/01 @ 03:00:00;1;1;3;7.3;6.22;100.71;86;5.13;0;0;0;6
2002/01/01 @ 04:00:00;1;1;4;7.2;6.2;100.81;87;5.2;0;0;0;6.2
2002/01/01 @ 05:00:00;1;1;5;7.4;6.4;100.86;87;5.4;0;0;0;6.3
2002/01/01 @ 06:00:00;1;1;6;7.3;6.3;100.9;87;5.3;0;0;0;6.2
2002/01/01 @ 07:00:00;1;1;7;7.3;6.38;100.9;88;5.47;0;0;0;6
2002/01/01 @ 08:00:00;1;1;8;7.3;6.46;100.91;89;5.63;0;0;0;5.9
2002/01/01 @ 09:00:00;1;1;9;7.5;6.65;100.89;89;5.83;8.08;1;8;6
2002/01/01 @ 10:00:00;1;1;10;7.6;6.67;100.89;88;5.76;37.89;5;37;6.5
2002/01/01 @ 11:00:00;1;1;11;8.7;7.65;100.66;87;6.68;21.25;1;21;6.8
2002/01/01 @ 12:00:00;1;1;12;8.4;7.6;100.42;90;6.88;27.28;1;27;6.6
2002/01/01 @ 13:00:00;1;1;13;8.8;8.07;100.49;91;7.44;30.27;1;30;6.1
2002/01/01 @ 14:00:00;1;1;14;9.2;8.54;100.52;92;8;23.22;1;23;7
2002/01/01 @ 15:00:00;1;1;15;9.6;8.85;100.36;91;8.23;9.14;1;9;7.4
2002/01/01 @ 16:00:00;1;1;16;9;8.27;100.26;91;7.64;0;0;0;7.4
2002/01/01 @ 17:00:00;1;1;17;9.5;9;100.05;94;8.61;0;0;0;7
2002/01/01 @ 18:00:00;1;1;18;9.7;9.2;100.08;94;8.81;0;0;0;7.3
2002/01/01 @ 19:00:00;1;1;19;11;10.3;99.82;92;9.78;0;0;0;8.3
2002/01/01 @ 20:00:00;1;1;20;10.8;10.02;99.75;91;9.42;0;0;0;8.5
2002/01/01 @ 21:00:00;1;1;21;9.4;8.74;99.74;92;8.2;0;0;0;9.5
2002/01/01 @ 22:00:00;1;1;22;11;10.21;99.85;91;9.62;0;0;0;9.3
2002/01/01 @ 23:00:00;1;1;23;11.1;10.22;99.4;90;9.55;0;0;0;9.9
2002/01/02 @ 00:00:00;1;2;0;11;10.3;99.14;92;9.78;0;0;0;9.7
2002/01/02 @ 01:00:00;1;2;1;11;10.21;99.6;91;9.62;0;0;0;9.7
2002/01/02 @ 02:00:00;1;2;2;10.3;9.44;99.64;90;8.76;0;0;0;10.1
2002/01/02 @ 03:00:00;1;2;3;11.2;10.31;99.13;90;9.65;0;0;0;10.1
2002/01/02 @ 04:00:00;1;2;4;11.5;10.79;99.03;92;10.28;0;0;0;10.2
2002/01/02 @ 05:00:00;1;2;5;12.7;12.24;98.55;95;11.95;0;0;0;11.7
2002/01/02 @ 06:00:00;1;2;6;10.9;10.11;99.41;91;9.52;0;0;0;10.6
2002/01/02 @ 07:00:00;1;2;7;11.4;10.6;99.61;91;10.02;0;0;0;10.9
2002/01/02 @ 08:00:00;1;2;8;9.7;9.03;98.97;92;8.49;0;0;0;11.3
2002/01/02 @ 09:00:00;1;2;9;7.9;6.79;98.89;86;5.73;3;0;3;8.8
2002/01/02 @ 10:00:00;1;2;10;12.3;10.91;98.77;85;9.88;19.18;1;19;10.8
2002/01/02 @ 11:00:00;1;2;11;12;10.53;98.96;84;9.41;69.47;10;67;10.1
2002/01/02 @ 12:00:00;1;2;12;10.2;8.64;99.35;82;7.29;60.39;5;59;9.2
2002/01/02 @ 13:00:00;1;2;13;10.9;8.94;99.63;78;7.25;142.41;76;122;9.4
2002/01/02 @ 14:00:00;1;2;14;9.9;8.09;99.67;79;6.46;99.28;42;90;9.3
2002/01/02 @ 15:00:00;1;2;15;9.9;7.92;99.62;77;6.08;100.22;270;63;9.5
2002/01/02 @ 16:00:00;1;2;16;9;7.25;99.68;79;5.58;19.53;102;17;9.2
2002/01/02 @ 17:00:00;1;2;17;8;6.31;99.6;79;4.6;0;0;0;8.5
2002/01/02 @ 18:00:00;1;2;18;8;6.4;99.61;80;4.78;0;0;0;8.6
2002/01/02 @ 19:00:00;1;2;19;7.5;6.09;99.56;82;4.64;0;0;0;8.3
2002/01/02 @ 20:00:00;1;2;20;7.7;6.28;99.49;82;4.84;0;0;0;8.6
2002/01/02 @ 21:00:00;1;2;21;7.8;6.29;99.55;81;4.76;0;0;0;8.6
2002/01/02 @ 22:00:00;1;2;22;7.6;6.18;99.53;82;4.74;0;0;0;8.5
2002/01/02 @ 23:00:00;1;2;23;7.8;6.37;99.5;82;4.94;0;0;0;9
2002/01/03 @ 00:00:00;1;3;0;7.4;5.91;99.48;81;4.37;0;0;0;9.6
2002/01/03 @ 01:00:00;1;3;1;7.3;5.9;99.48;82;4.45;0;0;0;9.7
2002/01/03 @ 02:00:00;1;3;2;7.4;5.91;99.51;81;4.37;0;0;0;9.7
2002/01/03 @ 03:00:00;1;3;3;7.5;5.93;99.51;80;4.29;0;0;0;9.9
2002/01/03 @ 04:00:00;1;3;4;8;6.56;99.44;82;5.14;0;0;0;10.7
2002/01/03 @ 05:00:00;1;3;5;7.7;6.44;99.33;84;5.19;0;0;0;10.9
2002/01/03 @ 06:00:00;1;3;6;6.5;5.22;99.22;83;3.83;0;0;0;10.3
2002/01/03 @ 07:00:00;1;3;7;6.5;5.21;99.04;83;3.83;0;0;0;10.4
2002/01/03 @ 08:00:00;1;3;8;6.7;5.41;99.34;83;4.03;0;0;0;10.3
2002/01/03 @ 09:00:00;1;3;9;6.4;5.12;99.37;83;3.74;16.31;4;16;10.3
2002/01/03 @ 10:00:00;1;3;10;7.6;6.1;99.56;81;4.57;37.9;5;37;9.5
2002/01/03 @ 11:00:00;1;3;11;7.5;5.93;99.65;80;4.29;73.97;12;71;9.1
2002/01/03 @ 12:00:00;1;3;12;7.9;6.22;99.69;79;4.5;83.35;12;80;8.5
2002/01/03 @ 13:00:00;1;3;13;8.8;6.72;99.67;75;4.63;200.44;279;125;8.4
2002/01/03 @ 14:00:00;1;3;14;8.8;6.64;99.72;74;4.44;176.09;359;96;8.3
2002/01/03 @ 15:00:00;1;3;15;8.2;6.25;99.76;76;4.24;123.32;352;74;8.2
2002/01/03 @ 16:00:00;1;3;16;6.5;4.83;99.84;78;2.95;27.93;108;25;7.7
2002/01/03 @ 17:00:00;1;3;17;5.7;4.31;99.9;81;2.7;0;0;0;7.4
2002/01/03 @ 18:00:00;1;3;18;5.6;4.29;99.91;82;2.77;0;0;0;7.2
2002/01/03 @ 19:00:00;1;3;19;5.4;4.25;100.05;84;2.92;0;0;0;6.7
2002/01/03 @ 20:00:00;1;3;20;4.8;3.75;100.12;85;2.49;0;0;0;6.7
2002/01/03 @ 21:00:00;1;3;21;4.4;3.37;100.29;85;2.1;0;0;0;6.5
2002/01/03 @ 22:00:00;1;3;22;4.4;3.37;100.32;85;2.1;0;0;0;6.4
2002/01/03 @ 23:00:00;1;3;23;4.2;3.18;100.41;85;1.9;0;0;0;6.1
2002/01/04 @ 00:00:00;1;4;0;4.1;3.15;100.54;86;1.97;0;0;0;5.7
2002/01/04 @ 01:00:00;1;4;1;4.9;3.99;100.49;87;2.92;0;0;0;5.8
2002/01/04 @ 02:00:00;1;4;2;5.5;4.78;100.54;90;4;0;0;0;5.6
2002/01/04 @ 03:00:00;1;4;3;5.3;4.66;100.7;91;3.96;0;0;0;5.5
2002/01/04 @ 04:00:00;1;4;4;4.8;4.03;100.79;89;3.15;0;0;0;5.3
2002/01/04 @ 05:00:00;1;4;5;4.2;3.32;100.84;87;2.23;0;0;0;5.1
2002/01/04 @ 06:00:00;1;4;6;3.9;2.96;100.94;86;1.77;0;0;0;4.6
2002/01/04 @ 07:00:00;1;4;7;3.7;2.77;100.96;86;1.57;0;0;0;4.6
2002/01/04 @ 08:00:00;1;4;8;4.1;3.36;100.99;89;2.45;0;0;0;4.8
2002/01/04 @ 09:00:00;1;4;9;4.1;3.29;101.05;88;2.29;21.71;9;21;5
2002/01/04 @ 10:00:00;1;4;10;3.4;2.35;101.06;84;0.94;73.23;29;68;4.8
2002/01/04 @ 11:00:00;1;4;11;2.9;1.8;101.07;83;0.28;120.7;55;107;4
2002/01/04 @ 12:00:00;1;4;12;4.2;2.9;101.12;81;1.22;228.21;393;118;4.1
2002/01/04 @ 13:00:00;1;4;13;5;3.44;101.02;78;1.48;201.43;277;126;4.4
2002/01/04 @ 14:00:00;1;4;14;5.2;3.63;101;78;1.67;173.21;325;100;4.6
2002/01/04 @ 15:00:00;1;4;15;4.6;3.28;101.07;81;1.61;112.72;356;62;4.6
2002/01/04 @ 16:00:00;1;4;16;4.9;3.78;101.13;84;2.43;15.61;88;13;4.7
2002/01/04 @ 17:00:00;1;4;17;5.1;4.11;101.1;86;2.96;0;0;0;5
2002/01/04 @ 18:00:00;1;4;18;5;4.09;101.05;87;3.02;0;0;0;5
2002/01/04 @ 19:00:00;1;4;19;4.9;4.06;101.02;88;3.09;0;0;0;5.1
2002/01/04 @ 20:00:00;1;4;20;4.5;3.61;101.02;87;2.53;0;0;0;5.4
2002/01/04 @ 21:00:00;1;4;21;4.2;3.25;100.95;86;2.06;0;0;0;5.4
2002/01/04 @ 22:00:00;1;4;22;3.8;2.93;100.84;87;1.83;0;0;0;5.2
