Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 14:00:00;1;3;14;29.1;13.47;101.21;13;-1.85;357.49;408;200;2.2
2002/01/03 @ 15:00:00;1;3;15;27.8;12.95;101.22;14;-1.87;228.01;176;185;2
2002/01/03 @ 16:00:00;1;3;16;25.6;12.49;101.29;18;-0.4;99.85;40;97;2
2002/01/03 @ 17:00:00;1;3;17;24;11.87;101.32;20;-0.28;0;0;0;2
2002/01/03 @ 18:00:00;1;3;18;23.3;11.04;101.28;18;-2.05;0;0;0;1.8
2002/01/03 @ 19:00:00;1;3;19;21.7;9.85;101.28;17;-3.89;0;0;0;1.4
2002/01/03 @ 20:00:00;1;3;20;20.5;9.09;101.29;17;-4.75;0;0;0;1.2
2002/01/03 @ 21:00:00;1;3;21;19.3;8.33;101.28;17;-5.62;0;0;0;1.2
2002/01/03 @ 22:00:00;1;3;22;18.8;8.17;101.24;18;-5.32;0;0;0;1.4
2002/01/03 @ 23:00:00;1;3;23;18.3;8.3;101.18;21;-3.88;0;0;0;1.4
2002/01/04 @ 00:00:00;1;4;0;17.4;7.55;101.17;20;-5.12;0;0;0;1
2002/01/04 @ 01:00:00;1;4;1;17.2;7.7;101.15;22;-4.15;0;0;0;0.7
2002/01/04 @ 02:00:00;1;4;2;16.5;7.64;101.06;25;-3.16;0;0;0;0.5
2002/01/04 @ 03:00:00;1;4;3;15.9;8.02;101.12;31;-1.05;0;0;0;0.8
2002/01/04 @ 04:00:00;1;4;4;15.4;8.04;101.15;34;-0.32;0;0;0;0.9
2002/01/04 @ 05:00:00;1;4;5;15;8.48;101.18;40;1.51;0;0;0;1.2
2002/01/04 @ 06:00:00;1;4;6;14.7;9.07;101.15;47;3.52;0;0;0;1
2002/01/04 @ 07:00:00;1;4;7;16.5;10.28;101.18;45;4.55;0;0;0;0.8
2002/01/04 @ 08:00:00;1;4;8;17.9;10.86;101.18;41;4.49;114.58;240;54;0.5
2002/01/04 @ 09:00:00;1;4;9;21.5;11.92;101.15;30;3.22;285.44;480;97;1.3
2002/01/04 @ 10:00:00;1;4;10;24.6;13.2;101.14;25;3.29;457.75;667;130;2
2002/01/04 @ 11:00:00;1;4;11;26.8;14.9;101.15;26;5.73;579.11;740;178;2.5
2002/01/04 @ 12:00:00;1;4;12;27.7;15.3;101.08;25;5.93;515.9;654;162;2.7
2002/01/04 @ 13:00:00;1;4;13;26.9;14.34;101.01;23;4.05;463.94;581;180;2.8
2002/01/04 @ 14:00:00;1;4;14;25;14.04;100.98;28;5.26;341.33;315;219;2.8
2002/01/04 @ 15:00:00;1;4;15;24.8;12.76;101.02;22;1.65;197.98;85;177;3
2002/01/04 @ 16:00:00;1;4;16;27.8;14.73;101.15;22;4.17;0;0;0;3.6
2002/01/04 @ 17:00:00;1;4;17;26.6;12.9;101.22;17;-0.38;0;0;0;3.8
2002/01/04 @ 18:00:00;1;4;18;25.2;11.62;101.18;15;-2.87;0;0;0;3.7
2002/01/04 @ 19:00:00;1;4;19;23.1;10.53;101.15;16;-3.6;0;0;0;3.3
2002/01/04 @ 20:00:00;1;4;20;21.1;8.94;101.1;14;-6.59;0;0;0;3.2
2002/01/04 @ 21:00:00;1;4;21;19.3;8;101.09;15;-7.07;0;0;0;3.2
2002/01/04 @ 22:00:00;1;4;22;18.2;7.78;101.17;18;-5.76;0;0;0;2.8
2002/01/04 @ 23:00:00;1;4;23;17.4;7.7;101.26;21;-4.55;0;0;0;2.6
2002/01/05 @ 00:00:00;1;5;0;17.3;7.34;101.32;19;-5.79;0;0;0;2.8
2002/01/05 @ 01:00:00;1;5;1;16.9;7.08;101.36;19;-6.09;0;0;0;2.9
2002/01/05 @ 02:00:00;1;5;2;16.6;7.03;101.43;20;-5.71;0;0;0;2.9
2002/01/05 @ 03:00:00;1;5;3;16.4;6.76;101.47;19;-6.45;0;0;0;3.1
2002/01/05 @ 04:00:00;1;5;4;16.6;7.03;101.54;20;-5.71;40;0;40;3.2
2002/01/05 @ 05:00:00;1;5;5;17.2;7.15;101.58;18;-6.49;31;0;31;3.3
2002/01/05 @ 06:00:00;1;5;6;18.3;7.56;101.65;16;-7.05;48;0;48;3.4
2002/01/05 @ 07:00:00;1;5;7;19.2;8.13;101.63;16;-6.4;0;0;0;3.5
2002/01/05 @ 08:00:00;1;5;8;19.4;8.09;101.6;15;-7;258.63;240;198;3.7
2002/01/05 @ 09:00:00;1;5;9;20.4;8.37;101.58;13;-7.93;436.82;526;230;3.7
2002/01/05 @ 10:00:00;1;5;10;21.1;8.25;101.55;10;-10.42;530.43;667;202;3.9
2002/01/05 @ 11:00:00;1;5;11;21.3;8.55;101.46;11;-9.21;570.72;741;168;3.8
2002/01/05 @ 12:00:00;1;5;12;22.5;9.44;101.47;12;-7.38;579.71;773;160;3.7
2002/01/05 @ 13:00:00;1;5;13;22.6;9.69;101.63;13;-6.38;535.95;772;157;3.2
2002/01/05 @ 14:00:00;1;5;14;22.2;9.45;101.64;13;-6.66;425.38;738;137;2.9
2002/01/05 @ 15:00:00;1;5;15;20;9.45;101.58;21;-2.62;292.89;661;128;2.6
2002/01/05 @ 16:00:00;1;5;16;19.2;9.23;101.58;23;-2.13;115.36;70;110;2.2
2002/01/05 @ 17:00:00;1;5;17;18.1;7.88;101.54;19;-5.2;0;0;0;1.6
2002/01/05 @ 18:00:00;1;5;18;16.8;7.59;101.61;23;-3.92;0;0;0;1.7
2002/01/05 @ 19:00:00;1;5;19;16.4;7.87;101.65;27;-2.32;0;0;0;1.7
2002/01/05 @ 20:00:00;1;5;20;16;7.98;101.67;30;-1.37;0;0;0;1.7
2002/01/05 @ 21:00:00;1;5;21;14.5;6.63;101.47;28;-3.34;0;0;0;1.2
2002/01/05 @ 22:00:00;1;5;22;13.3;5.65;101.36;27;-4.69;0;0;0;1
2002/01/05 @ 23:00:00;1;5;23;13.1;5.14;101.31;24;-6.21;0;0;0;0.7
2002/01/06 @ 00:00:00;1;6;0;13.2;5.33;101.32;25;-5.66;0;0;0;0.6
2002/01/06 @ 01:00:00;1;6;1;12.2;4.63;101.36;25;-6.43;0;0;0;0.5
2002/01/06 @ 02:00:00;1;6;2;12;4.6;101.36;26;-6.12;0;0;0;0.6
2002/01/06 @ 03:00:00;1;6;3;11.8;4.57;101.42;27;-5.84;0;0;0;0.6
2002/01/06 @ 04:00:00;1;6;4;11.8;5.01;101.45;31;-4.22;0;0;0;0.7
2002/01/06 @ 05:00:00;1;6;5;11.4;4.61;101.5;30;-4.92;0;0;0;0.7
2002/01/06 @ 06:00:00;1;6;6;11.5;5.22;101.6;35;-3.02;0;0;0;0.5
2002/01/06 @ 07:00:00;1;6;7;11.3;4.75;101.63;32;-4.24;0;0;0;0.4
2002/01/06 @ 08:00:00;1;6;8;12.8;6.33;101.63;36;-1.67;63.53;97;39;0.5
2002/01/06 @ 09:00:00;1;6;9;15.1;8.08;101.56;36;0.12;180.12;145;123;0.6
2002/01/06 @ 10:00:00;1;6;10;16.8;9.1;101.56;34;0.84;224.44;86;182;0.8
2002/01/06 @ 11:00:00;1;6;11;18.5;10.22;101.57;33;1.93;258.61;69;221;1.1
