Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;-11.7;-12.68;101.93;66;-16.23;0;0;0;5.1
2002/01/01 @ 01:00:00;1;1;1;-11.7;-12.68;101.93;66;-16.23;0;0;0;4.6
2002/01/01 @ 02:00:00;1;1;2;-11.7;-12.68;101.93;66;-16.23;0;0;0;4.6
2002/01/01 @ 03:00:00;1;1;3;-11.7;-12.68;101.93;66;-16.23;0;0;0;4.1
2002/01/01 @ 04:00:00;1;1;4;-11.7;-12.68;101.93;66;-16.23;0;0;0;4.1
2002/01/01 @ 05:00:00;1;1;5;-11.7;-12.68;101.93;66;-16.23;0;0;0;3.6
2002/01/01 @ 06:00:00;1;1;6;-11.7;-12.48;101.93;73;-15.15;0;0;0;3.6
2002/01/01 @ 07:00:00;1;1;7;-11.1;-12;101.93;70;-15.02;0;0;0;3.6
2002/01/01 @ 08:00:00;1;1;8;-10;-11;101.93;69;-14.11;133;0;133;2.6
2002/01/01 @ 09:00:00;1;1;9;-8.9;-10.02;101.59;68;-13.21;187.25;319;112;3.1
2002/01/01 @ 10:00:00;1;1;10;-8.3;-9.39;101.59;70;-12.31;215.37;450;72;3.6
2002/01/01 @ 11:00:00;1;1;11;-7.2;-8.41;101.59;69;-11.4;229.48;237;144;3.1
2002/01/01 @ 12:00:00;1;1;12;-7.2;-8.41;101.59;69;-11.4;188.22;73;162;3.1
2002/01/01 @ 13:00:00;1;1;13;-7.2;-8.01;101.59;79;-9.88;136.86;25;129;3.1
2002/01/01 @ 14:00:00;1;1;14;-5.6;-6.41;101.59;81;-8.03;76.6;7;75;2.1
2002/01/01 @ 15:00:00;1;1;15;-6.1;-6.76;101.25;84;-8.1;30.11;1;30;3.6
2002/01/01 @ 16:00:00;1;1;16;-6.1;-6.72;101.59;85;-7.97;0;0;0;4.6
2002/01/01 @ 17:00:00;1;1;17;-6.1;-6.72;101.59;85;-7.97;0;0;0;5.7
2002/01/01 @ 18:00:00;1;1;18;-6.1;-6.93;101.59;80;-8.66;0;0;0;5.7
2002/01/01 @ 19:00:00;1;1;19;-6.1;-7.1;101.59;76;-9.24;0;0;0;5.7
2002/01/01 @ 20:00:00;1;1;20;-6.1;-7.1;101.59;76;-9.24;0;0;0;5.7
2002/01/01 @ 21:00:00;1;1;21;-6.1;-7.1;101.59;76;-9.24;0;0;0;5.7
2002/01/01 @ 22:00:00;1;1;22;-6.1;-7.1;101.59;76;-9.24;0;0;0;5.7
2002/01/01 @ 23:00:00;1;1;23;-6.1;-7.1;101.59;76;-9.24;0;0;0;5.7
2002/01/02 @ 00:00:00;1;2;0;-6.7;-7.7;101.59;75;-9.98;0;0;0;5.1
2002/01/02 @ 01:00:00;1;2;1;-6.7;-7.7;101.59;75;-9.98;0;0;0;5.1
2002/01/02 @ 02:00:00;1;2;2;-6.1;-7.1;101.59;76;-9.24;0;0;0;4.6
2002/01/02 @ 03:00:00;1;2;3;-7.2;-8.21;101.59;74;-10.62;0;0;0;4.1
2002/01/02 @ 04:00:00;1;2;4;-7.2;-8.41;101.59;69;-11.4;0;0;0;3.1
2002/01/02 @ 05:00:00;1;2;5;-7.2;-8.4;101.93;69;-11.4;0;0;0;2.6
2002/01/02 @ 06:00:00;1;2;6;-7.2;-8.41;101.59;69;-11.4;0;0;0;2.6
2002/01/02 @ 07:00:00;1;2;7;-7.2;-8.41;101.59;69;-11.4;0;0;0;2.6
2002/01/02 @ 08:00:00;1;2;8;-7.2;-8.6;101.59;64;-12.24;156;0;156;2.6
2002/01/02 @ 09:00:00;1;2;9;-7.2;-8.41;101.59;69;-11.4;261.44;319;186;2.1
2002/01/02 @ 10:00:00;1;2;10;-6.7;-8.07;101.59;66;-11.41;360.01;507;198;1.5
2002/01/02 @ 11:00:00;1;2;11;-6.1;-7.48;101.25;67;-10.67;418.55;601;201;1.5
2002/01/02 @ 12:00:00;1;2;12;-5.6;-6.98;101.25;68;-10.02;340.33;641;109;1.5
2002/01/02 @ 13:00:00;1;2;13;-5;-6.56;101.25;65;-9.94;244.65;217;176;1.5
2002/01/02 @ 14:00:00;1;2;14;-5;-6.56;101.25;65;-9.94;167.67;85;148;2.1
2002/01/02 @ 15:00:00;1;2;15;-5;-6.56;101.25;65;-9.94;116.5;76;108;2.6
2002/01/02 @ 16:00:00;1;2;16;-5;-6.38;101.25;69;-9.27;46;40;46;3.6
2002/01/02 @ 17:00:00;1;2;17;-4.4;-5.83;101.25;69;-8.69;0;0;0;4.1
2002/01/02 @ 18:00:00;1;2;18;-3.3;-4.42;101.25;77;-6.36;0;0;0;4.1
2002/01/02 @ 19:00:00;1;2;19;-3.3;-4.22;101.25;81;-5.77;0;0;0;4.6
2002/01/02 @ 20:00:00;1;2;20;-3.3;-4.08;100.92;84;-5.35;0;0;0;4.6
2002/01/02 @ 21:00:00;1;2;21;-3.3;-4.08;101.25;84;-5.35;0;0;0;5.1
2002/01/02 @ 22:00:00;1;2;22;-3.3;-4.22;101.25;81;-5.77;0;0;0;5.1
2002/01/02 @ 23:00:00;1;2;23;-3.3;-4.08;101.25;84;-5.35;0;0;0;5.7
2002/01/03 @ 00:00:00;1;3;0;-3.9;-4.79;101.25;81;-6.36;0;0;0;5.1
2002/01/03 @ 01:00:00;1;3;1;-3.9;-4.79;101.25;81;-6.36;0;0;0;5.1
2002/01/03 @ 02:00:00;1;3;2;-4.4;-5.08;101.25;85;-6.29;0;0;0;4.6
2002/01/03 @ 03:00:00;1;3;3;-5;-5.66;101.25;85;-6.88;0;0;0;4.6
2002/01/03 @ 04:00:00;1;3;4;-4.4;-5.27;101.25;81;-6.85;0;0;0;4.1
2002/01/03 @ 05:00:00;1;3;5;-4.4;-5.27;100.92;81;-6.85;0;0;0;4.1
2002/01/03 @ 06:00:00;1;3;6;-4.4;-5.27;100.92;81;-6.85;0;0;0;4.1
2002/01/03 @ 07:00:00;1;3;7;-3.9;-4.65;100.92;84;-5.94;0;0;0;4.1
2002/01/03 @ 08:00:00;1;3;8;-3.3;-4.22;101.25;81;-5.77;110;0;110;4.6
2002/01/03 @ 09:00:00;1;3;9;-3.3;-4.22;101.25;81;-5.77;205.91;320;130;4.6
2002/01/03 @ 10:00:00;1;3;10;-3.3;-4.42;101.25;77;-6.36;263.88;508;101;5.1
2002/01/03 @ 11:00:00;1;3;11;-3.3;-4.42;101.25;77;-6.36;322.77;602;104;5.1
2002/01/03 @ 12:00:00;1;3;12;-2.2;-3.76;101.25;70;-6.39;269.17;290;164;5.1
2002/01/03 @ 13:00:00;1;3;13;-3.3;-4.57;101.25;74;-6.82;231.45;171;177;5.7
2002/01/03 @ 14:00:00;1;3;14;-3.3;-4.77;101.25;70;-7.46;196.16;159;159;5.7
2002/01/03 @ 15:00:00;1;3;15;-5.6;-6.97;101.59;68;-10.02;138.63;163;120;7.2
2002/01/03 @ 16:00:00;1;3;16;-7.2;-8.6;101.59;64;-12.24;68;202;68;8.2
2002/01/03 @ 17:00:00;1;3;17;-6.1;-7.86;101.93;58;-12.27;0;0;0;8.2
2002/01/03 @ 18:00:00;1;3;18;-8.3;-9.98;101.93;54;-15.15;0;0;0;8.2
2002/01/03 @ 19:00:00;1;3;19;-10.6;-12.07;101.93;53;-17.52;0;0;0;8.2
2002/01/03 @ 20:00:00;1;3;20;-12.8;-14.19;101.93;48;-20.62;0;0;0;8.2
2002/01/03 @ 21:00:00;1;3;21;-13.3;-14.57;101.93;51;-20.47;0;0;0;7.2
2002/01/03 @ 22:00:00;1;3;22;-13.3;-14.56;102.27;51;-20.47;0;0;0;6.7
2002/01/03 @ 23:00:00;1;3;23;-14.4;-15.66;102.27;47;-22.33;0;0;0;6.2
2002/01/04 @ 00:00:00;1;4;0;-13.9;-15.26;102.27;45;-22.3;0;0;0;6.2
2002/01/04 @ 01:00:00;1;4;1;-13.9;-15.26;102.27;45;-22.3;0;0;0;6.2
2002/01/04 @ 02:00:00;1;4;2;-13.3;-14.56;102.27;51;-20.47;0;0;0;6.2
2002/01/04 @ 03:00:00;1;4;3;-13.3;-14.56;102.27;51;-20.47;0;0;0;6.2
2002/01/04 @ 04:00:00;1;4;4;-12.8;-14.16;102.27;49;-20.41;0;0;0;6.2
2002/01/04 @ 05:00:00;1;4;5;-12.2;-13.71;102.27;46;-20.5;0;0;0;6.2
2002/01/04 @ 06:00:00;1;4;6;-11.7;-13.12;102.27;51;-18.96;0;0;0;6.2
2002/01/04 @ 07:00:00;1;4;7;-10;-11.4;102.27;57;-16.18;0;0;0;6.7
2002/01/04 @ 08:00:00;1;4;8;-9.4;-10.55;101.93;66;-14.02;7;0;7;7.2
2002/01/04 @ 09:00:00;1;4;9;-8.9;-10.19;101.93;63;-14.04;152.17;320;76;6.7
2002/01/04 @ 10:00:00;1;4;10;-9.4;-10.75;101.93;60;-15.05;221.57;471;70;7.2
2002/01/04 @ 11:00:00;1;4;11;-8.9;-10.58;102.27;52;-16.12;269.81;405;122;7.7
2002/01/04 @ 12:00:00;1;4;12;-8.9;-10.4;102.27;57;-15.13;238.89;178;174;8.2
2002/01/04 @ 13:00:00;1;4;13;-8.9;-10.4;102.27;57;-15.13;214.76;124;175;8.2
2002/01/04 @ 14:00:00;1;4;14;-8.9;-10.4;102.27;57;-15.13;189.4;133;158;8.2
2002/01/04 @ 15:00:00;1;4;15;-8.3;-9.75;101.93;60;-14;132.49;124;118;7.7
2002/01/04 @ 16:00:00;1;4;16;-7.8;-9.23;101.93;62;-13.16;64;137;64;8.2
2002/01/04 @ 17:00:00;1;4;17;-7.8;-9.23;101.93;62;-13.16;0;0;0;8.2
2002/01/04 @ 18:00:00;1;4;18;-7.2;-8.6;101.93;64;-12.24;0;0;0;8.2
