Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;25.4;23.17;100.76;83;22.31;0;0;0;1.3
2002/01/01 @ 01:00:00;1;1;1;25.1;22.61;100.75;81;21.62;1;0;1;1.7
2002/01/01 @ 02:00:00;1;1;2;24.8;22.19;100.74;80;21.13;0;0;0;2.3
2002/01/01 @ 03:00:00;1;1;3;24.7;22.09;100.71;80;21.03;0;0;0;2.3
2002/01/01 @ 04:00:00;1;1;4;24.5;22.04;100.67;81;21.04;0;0;0;2.2
2002/01/01 @ 05:00:00;1;1;5;24;21.43;100.64;80;20.35;0;0;0;2
2002/01/01 @ 06:00:00;1;1;6;24.3;22.12;100.68;83;21.24;0;0;0;1.7
2002/01/01 @ 07:00:00;1;1;7;24.7;22.77;100.72;85;22.02;23.56;2;23;1.6
2002/01/01 @ 08:00:00;1;1;8;25.1;22.88;100.76;83;22.02;29.5;1;29;1.3
2002/01/01 @ 09:00:00;1;1;9;25.4;22.89;100.79;81;21.91;85.36;2;84;1.5
2002/01/01 @ 10:00:00;1;1;10;26;23.03;100.82;78;21.87;179.75;7;174;1.8
2002/01/01 @ 11:00:00;1;1;11;27.5;23.84;100.86;74;22.46;255.98;11;246;2
2002/01/01 @ 12:00:00;1;1;12;28;23.99;100.83;72;22.49;282.18;12;271;1.3
2002/01/01 @ 13:00:00;1;1;13;28.5;24.29;100.8;71;22.73;274.73;12;264;0.8
2002/01/01 @ 14:00:00;1;1;14;29.4;24.95;100.78;70;23.36;230.16;9;223;0.2
2002/01/01 @ 15:00:00;1;1;15;28.9;24.34;100.73;69;22.65;184.16;8;179;0.3
2002/01/01 @ 16:00:00;1;1;16;28.2;24.17;100.69;72;22.68;111.25;5;109;0.5
2002/01/01 @ 17:00:00;1;1;17;27.6;24.08;100.64;75;22.77;36.23;1;36;0.5
2002/01/01 @ 18:00:00;1;1;18;26.6;22.86;100.68;73;21.37;47;68;47;1.1
2002/01/01 @ 19:00:00;1;1;19;26.3;22.44;100.71;72;20.86;0;0;0;1.8
2002/01/01 @ 20:00:00;1;1;20;25.8;22.27;100.75;74;20.83;0;0;0;2.6
2002/01/01 @ 21:00:00;1;1;21;24.9;21.44;100.79;74;19.96;6;0;6;2.6
2002/01/01 @ 22:00:00;1;1;22;24.5;21.07;100.84;74;19.58;0;0;0;2.5
2002/01/01 @ 23:00:00;1;1;23;24.2;20.8;100.88;74;19.29;0;0;0;2.6
2002/01/02 @ 00:00:00;1;2;0;23.5;20.43;100.87;76;19.04;1;0;1;2.3
