Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 11:00:00;1;3;11;-1.7;-3.63;101.93;64;-6.94;345.45;602;127;4.6
2002/01/03 @ 12:00:00;1;3;12;-2.8;-4.62;101.93;64;-8;307.18;470;137;3.6
2002/01/03 @ 13:00:00;1;3;13;-2.8;-4.46;101.93;67;-7.48;277.06;362;162;2.6
2002/01/03 @ 14:00:00;1;3;14;-2.8;-4.46;101.93;67;-7.48;244.94;433;144;2.1
2002/01/03 @ 15:00:00;1;3;15;-7.2;-8.6;101.93;64;-12.24;167.63;454;116;2.1
2002/01/03 @ 16:00:00;1;3;16;-8.9;-10.02;101.93;68;-13.21;100;302;100;2.1
2002/01/03 @ 17:00:00;1;3;17;-10;-11;101.93;69;-14.11;0;0;0;2.1
2002/01/03 @ 18:00:00;1;3;18;-9.4;-10.34;101.93;72;-13.06;0;0;0;2.1
2002/01/03 @ 19:00:00;1;3;19;-8.9;-9.81;101.59;74;-12.28;0;0;0;2.1
2002/01/03 @ 20:00:00;1;3;20;-7.8;-8.47;101.59;82;-10.05;0;0;0;2.1
2002/01/03 @ 21:00:00;1;3;21;-6.7;-7.5;101.93;80;-9.25;0;0;0;1.5
2002/01/03 @ 22:00:00;1;3;22;-5.6;-6.41;101.59;81;-8.03;0;0;0;2.1
2002/01/03 @ 23:00:00;1;3;23;-5.6;-6.41;101.59;81;-8.03;0;0;0;1.5
2002/01/04 @ 00:00:00;1;4;0;-7.8;-8.47;101.59;82;-10.05;0;0;0;1.5
2002/01/04 @ 01:00:00;1;4;1;-8.9;-9.6;101.59;80;-11.41;0;0;0;1
2002/01/04 @ 02:00:00;1;4;2;-10.6;-11.44;101.59;73;-14.08;0;0;0;1
2002/01/04 @ 03:00:00;1;4;3;-9.4;-10.14;101.59;78;-12.18;0;0;0;1
2002/01/04 @ 04:00:00;1;4;4;-7.8;-8.47;101.25;82;-10.05;0;0;0;1
2002/01/04 @ 05:00:00;1;4;5;-6.7;-7.34;101.25;84;-8.7;0;0;0;1
2002/01/04 @ 06:00:00;1;4;6;-6.1;-6.76;100.92;84;-8.1;0;0;0;1.5
2002/01/04 @ 07:00:00;1;4;7;-5;-5.31;100.92;93;-5.84;0;0;0;1.5
2002/01/04 @ 08:00:00;1;4;8;-0.6;-0.93;101.25;94;-1.34;0;0;0;1.5
2002/01/04 @ 09:00:00;1;4;9;1.1;0.81;101.25;95;0.37;2;0;2;0
2002/01/04 @ 10:00:00;1;4;10;-1.7;-2.01;100.92;94;-2.43;20;0;20;0
2002/01/04 @ 11:00:00;1;4;11;-1.7;-2.17;100.92;91;-2.82;47.73;2;47;0
2002/01/04 @ 12:00:00;1;4;12;-3.3;-3.59;100.92;94;-4.03;23;0;23;0
2002/01/04 @ 13:00:00;1;4;13;-4.4;-4.76;100.92;92;-5.37;4;0;4;0
2002/01/04 @ 14:00:00;1;4;14;-3.3;-3.74;100.92;91;-4.41;0;0;0;0
2002/01/04 @ 15:00:00;1;4;15;0.6;0.43;101.25;97;0.15;0;0;0;1.5
2002/01/04 @ 16:00:00;1;4;16;-0.6;-0.93;101.25;94;-1.34;0;0;0;1.5
2002/01/04 @ 17:00:00;1;4;17;0;-0.37;101.25;93;-0.87;0;0;0;3.1
2002/01/04 @ 18:00:00;1;4;18;1.1;0.69;101.59;93;0.07;0;0;0;3.1
2002/01/04 @ 19:00:00;1;4;19;0.6;0.14;101.25;92;-0.48;0;0;0;3.6
2002/01/04 @ 20:00:00;1;4;20;2.2;1.77;101.59;93;1.17;0;0;0;4.1
2002/01/04 @ 21:00:00;1;4;21;-5;-5.84;101.25;81;-7.44;0;0;0;4.6
2002/01/04 @ 22:00:00;1;4;22;-5.6;-6.8;101.59;72;-9.37;0;0;0;5.7
2002/01/04 @ 23:00:00;1;4;23;-8.3;-9.39;101.59;70;-12.31;0;0;0;6.7
2002/01/05 @ 00:00:00;1;5;0;-10;-11.2;101.59;63;-15.1;0;0;0;6.7
