Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;22.2;22.2;101.25;100;22.21;0;0;0;5.1
2002/01/01 @ 01:00:00;1;1;1;21.7;21.7;101.25;100;21.71;0;0;0;4.1
2002/01/01 @ 02:00:00;1;1;2;21.1;21.1;101.25;100;21.11;0;0;0;4.1
2002/01/01 @ 03:00:00;1;1;3;21.1;21.1;101.25;100;21.11;0;0;0;4.1
2002/01/01 @ 04:00:00;1;1;4;21.1;21.1;101.25;100;21.11;0;0;0;3.6
2002/01/01 @ 05:00:00;1;1;5;22.2;22.08;101.25;99;22.04;0;0;0;3.1
2002/01/01 @ 06:00:00;1;1;6;23.3;22.57;101.25;94;22.29;22;0;22;2.6
2002/01/01 @ 07:00:00;1;1;7;24.4;23.52;101.25;93;23.2;193.29;341;81;2.1
2002/01/01 @ 08:00:00;1;1;8;26.1;23.7;101.25;82;22.79;279.24;299;124;2.6
2002/01/01 @ 09:00:00;1;1;9;26.1;22.98;100.92;77;21.76;500.8;502;155;2.6
2002/01/01 @ 10:00:00;1;1;10;27.2;23.41;100.92;73;21.95;674.51;574;200;3.1
2002/01/01 @ 11:00:00;1;1;11;27.8;24.12;100.92;74;22.74;724.02;443;315;3.6
2002/01/01 @ 12:00:00;1;1;12;27.8;24.27;100.92;75;22.97;681.8;258;431;3.6
2002/01/01 @ 13:00:00;1;1;13;27.2;23.71;100.92;75;22.39;581.44;118;467;4.1
2002/01/01 @ 14:00:00;1;1;14;26.1;23.13;100.92;78;21.97;431.58;41;394;2.6
2002/01/01 @ 15:00:00;1;1;15;26.7;23.83;100.92;79;22.76;214.9;6;210;1.5
2002/01/01 @ 16:00:00;1;1;16;26.7;23.98;100.92;80;22.97;77.67;1;77;0
2002/01/01 @ 17:00:00;1;1;17;27.8;25.16;100.92;81;24.24;0;0;0;0
2002/01/01 @ 18:00:00;1;1;18;26.7;24.26;100.92;82;23.37;0;0;0;0
2002/01/01 @ 19:00:00;1;1;19;26.1;23.69;100.92;82;22.79;0;0;0;0
2002/01/01 @ 20:00:00;1;1;20;26.1;23.69;100.92;82;22.79;0;0;0;0
2002/01/01 @ 21:00:00;1;1;21;24.4;22.35;100.92;84;21.53;0;0;0;0
2002/01/01 @ 22:00:00;1;1;22;24.4;22.75;100.92;87;22.1;0;0;0;0
2002/01/01 @ 23:00:00;1;1;23;23.9;22.27;101.25;87;21.61;0;0;0;0
2002/01/02 @ 00:00:00;1;2;0;22.8;21.46;101.25;89;20.9;0;0;0;0
2002/01/02 @ 01:00:00;1;2;1;22.8;21.58;101.25;90;21.08;0;0;0;0
2002/01/02 @ 02:00:00;1;2;2;22.2;21;101.25;90;20.49;0;0;0;0
