Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 14:00:00;1;3;14;29.5;23.89;101;63;21.72;329.78;26;309;0.9
2002/01/03 @ 15:00:00;1;3;15;29.6;23.8;100.99;62;21.56;279.22;25;263;0.9
2002/01/03 @ 16:00:00;1;3;16;29;23.61;100.98;64;21.51;188.19;18;180;0.9
2002/01/03 @ 17:00:00;1;3;17;28.4;23.24;100.96;65;21.2;91.08;9;89;0.9
2002/01/03 @ 18:00:00;1;3;18;28.1;23.62;101.05;69;21.89;31;12;31;1.6
2002/01/03 @ 19:00:00;1;3;19;26.9;23.44;101.13;75;22.1;0;0;0;2.3
2002/01/03 @ 20:00:00;1;3;20;24.2;21.22;101.21;77;19.93;18;0;18;3.4
2002/01/03 @ 21:00:00;1;3;21;24;21.3;101.23;79;20.15;0;0;0;2.3
2002/01/03 @ 22:00:00;1;3;22;23.8;21.52;101.25;82;20.55;0;0;0;1.7
2002/01/03 @ 23:00:00;1;3;23;23.5;21.75;101.26;86;21.03;0;0;0;0.6
2002/01/04 @ 00:00:00;1;4;0;23.1;22;101.17;91;21.56;0;0;0;0.6
2002/01/04 @ 01:00:00;1;4;1;23.1;22.12;101.08;92;21.74;0;0;0;0.6
2002/01/04 @ 02:00:00;1;4;2;22.5;21.9;100.98;95;21.67;1;0;1;0.5
2002/01/04 @ 03:00:00;1;4;3;22.4;21.92;100.95;96;21.74;0;0;0;0.8
2002/01/04 @ 04:00:00;1;4;4;22.4;22.16;100.92;98;22.08;6;0;6;1
2002/01/04 @ 05:00:00;1;4;5;22.3;22.06;100.9;98;21.98;1;0;1;1.3
2002/01/04 @ 06:00:00;1;4;6;22.6;22.48;100.92;99;22.44;0;0;0;0.8
2002/01/04 @ 07:00:00;1;4;7;23.3;22.94;100.95;97;22.8;61;22;55;0.5
2002/01/04 @ 08:00:00;1;4;8;24.9;24.14;100.98;94;23.87;172.21;37;154;0.3
2002/01/04 @ 09:00:00;1;4;9;26.9;23.58;100.98;76;22.32;267.17;40;240;0.7
2002/01/04 @ 10:00:00;1;4;10;28.4;23.57;100.99;67;21.69;357.41;48;318;1.2
2002/01/04 @ 11:00:00;1;4;11;30;24.5;100.99;64;22.45;440.3;62;384;1.7
2002/01/04 @ 12:00:00;1;4;12;30.2;23.8;100.93;59;21.31;510.26;87;429;1.2
2002/01/04 @ 13:00:00;1;4;13;30.8;23.41;100.87;54;20.43;494.69;81;422;0.7
2002/01/04 @ 14:00:00;1;4;14;31.1;23.85;100.81;55;21.01;424.64;62;375;0.5
