Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;18.9;15.45;101.33;70;13.34;0;0;0;3.4
2002/01/01 @ 01:00:00;1;1;1;18.8;15.48;101.33;71;13.47;0;0;0;3.3
2002/01/01 @ 02:00:00;1;1;2;18.7;15.39;101.33;71;13.37;0;0;0;3.2
2002/01/01 @ 03:00:00;1;1;3;18.7;15.39;101.33;71;13.37;0;0;0;3.2
2002/01/01 @ 04:00:00;1;1;4;19;15.54;101.33;70;13.44;0;0;0;3.2
2002/01/01 @ 05:00:00;1;1;5;19.6;16.2;101.33;71;14.23;0;0;0;3.3
2002/01/01 @ 06:00:00;1;1;6;20.5;17.02;101.33;71;15.09;0;0;0;3.4
2002/01/01 @ 07:00:00;1;1;7;20.9;17.51;101.33;72;15.69;68.99;69;64;3.7
2002/01/01 @ 08:00:00;1;1;8;21.5;17.53;101.33;68;15.38;242.88;279;167;4.4
2002/01/01 @ 09:00:00;1;1;9;22.5;17.59;101.33;62;14.89;398.65;515;171;5.2
2002/01/01 @ 10:00:00;1;1;10;22.6;17.39;101.33;60;14.48;512.73;658;137;5.4
2002/01/01 @ 11:00:00;1;1;11;22.7;17.19;101.33;58;14.05;584.47;676;145;5.6
2002/01/01 @ 12:00:00;1;1;12;22.5;17.31;101.33;60;14.38;617.41;609;207;6.1
2002/01/01 @ 13:00:00;1;1;13;22.3;17.42;101.33;62;14.7;570;593;190;6.2
2002/01/01 @ 14:00:00;1;1;14;22;17.15;101.33;62;14.42;451.06;604;117;5.9
2002/01/01 @ 15:00:00;1;1;15;21.7;16.89;101.33;62;14.14;320.41;529;100;5.7
2002/01/01 @ 16:00:00;1;1;16;21.2;17.26;101.33;68;15.09;137.58;210;87;5.3
2002/01/01 @ 17:00:00;1;1;17;21.7;17.84;101.33;69;15.79;0;0;0;4.8
2002/01/01 @ 18:00:00;1;1;18;21.2;17.26;101.33;68;15.09;0;0;0;4.6
2002/01/01 @ 19:00:00;1;1;19;20.9;16.86;101.33;67;14.58;0;0;0;4.4
2002/01/01 @ 20:00:00;1;1;20;20.4;16.54;101.33;68;14.33;0;0;0;4.3
2002/01/01 @ 21:00:00;1;1;21;20.1;16.28;101.33;68;14.04;0;0;0;4.2
2002/01/01 @ 22:00:00;1;1;22;20.1;16.28;101.33;68;14.04;0;0;0;4.1
2002/01/01 @ 23:00:00;1;1;23;20;16.31;101.33;69;14.17;0;0;0;4.4
2002/01/02 @ 00:00:00;1;2;0;20;16.31;101.33;69;14.17;0;0;0;4.8
2002/01/02 @ 01:00:00;1;2;1;20.1;16.53;101.33;70;14.49;0;0;0;5.2
2002/01/02 @ 02:00:00;1;2;2;19.4;15.9;101.33;70;13.82;0;0;0;4.4
2002/01/02 @ 03:00:00;1;2;3;19.2;15.72;101.33;70;13.63;0;0;0;3.9
2002/01/02 @ 04:00:00;1;2;4;19;15.54;101.33;70;13.44;0;0;0;3.5
2002/01/02 @ 05:00:00;1;2;5;19.6;16.08;101.33;70;14.01;0;0;0;3.5
2002/01/02 @ 06:00:00;1;2;6;20.7;16.94;101.33;69;14.84;0;0;0;3.6
2002/01/02 @ 07:00:00;1;2;7;21.3;17.22;101.33;67;14.96;74.28;74;69;4.1
2002/01/02 @ 08:00:00;1;2;8;22.3;16.85;101.33;58;13.68;243.03;306;160;4.9
2002/01/02 @ 09:00:00;1;2;9;22.4;16.35;101.33;54;12.68;412.78;545;172;5.4
2002/01/02 @ 10:00:00;1;2;10;23.1;16.33;101.33;50;12.15;532.15;690;138;5.6
2002/01/02 @ 11:00:00;1;2;11;23.3;16.18;101.33;48;11.72;611.79;685;166;5.7
2002/01/02 @ 12:00:00;1;2;12;23.5;16.5;101.33;49;12.21;641.11;609;230;6.1
2002/01/02 @ 13:00:00;1;2;13;23.4;16.42;101.33;49;12.12;591.01;590;212;6.3
2002/01/02 @ 14:00:00;1;2;14;22.7;15.69;101.33;48;11.17;458.65;630;109;5.7
2002/01/02 @ 15:00:00;1;2;15;22.2;15.59;101.33;50;11.33;317.62;553;86;5.3
2002/01/02 @ 16:00:00;1;2;16;22.3;16.12;101.33;53;12.3;156.01;255;94;4.6
2002/01/02 @ 17:00:00;1;2;17;21.9;16.36;101.33;57;13.04;0;0;0;3.8
2002/01/02 @ 18:00:00;1;2;18;20.9;15.65;101.33;58;12.37;0;0;0;3.5
2002/01/02 @ 19:00:00;1;2;19;20;14.74;101.33;57;11.26;0;0;0;3.1
2002/01/02 @ 20:00:00;1;2;20;19.4;14.23;101.33;57;10.7;0;0;0;3.1
2002/01/02 @ 21:00:00;1;2;21;19;13.89;101.33;57;10.33;0;0;0;3.1
2002/01/02 @ 22:00:00;1;2;22;18.7;13.76;101.33;58;10.31;0;0;0;3.1
2002/01/02 @ 23:00:00;1;2;23;18.5;13.59;101.33;58;10.12;0;0;0;3
2002/01/03 @ 00:00:00;1;3;0;18.2;13.46;101.33;59;10.1;0;0;0;3
2002/01/03 @ 01:00:00;1;3;1;17.6;13.07;101.33;60;9.78;0;0;0;2.8
2002/01/03 @ 02:00:00;1;3;2;16.8;12.61;101.33;62;9.52;0;0;0;2.4
2002/01/03 @ 03:00:00;1;3;3;16.4;12.5;101.33;64;9.61;0;0;0;1.9
2002/01/03 @ 04:00:00;1;3;4;16.3;12.41;101.33;64;9.52;0;0;0;1.6
2002/01/03 @ 05:00:00;1;3;5;16.8;13.2;101.33;67;10.68;0;0;0;1.6
2002/01/03 @ 06:00:00;1;3;6;18.1;14.48;101.33;68;12.14;0;0;0;1.8
2002/01/03 @ 07:00:00;1;3;7;19.6;15.45;101.33;65;12.88;63.42;91;57;1.8
2002/01/03 @ 08:00:00;1;3;8;20.8;16.11;101.33;62;13.29;227.95;262;157;2.6
2002/01/03 @ 09:00:00;1;3;9;21.4;16.49;101.33;61;13.61;437.01;514;210;3.7
2002/01/03 @ 10:00:00;1;3;10;22.5;17.16;101.33;59;14.12;556.78;640;191;4.3
