Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 14:00:00;1;3;14;3.7;0.56;102.36;54;-4.19;185.37;432;89;5.3
2002/01/03 @ 15:00:00;1;3;15;3.3;0.22;102.42;54;-4.53;124.32;352;75;5.1
2002/01/03 @ 16:00:00;1;3;16;2.7;-0.22;102.45;55;-4.81;16.93;108;14;5
2002/01/03 @ 17:00:00;1;3;17;2.4;-0.4;102.56;56;-4.85;0;0;0;4.9
2002/01/03 @ 18:00:00;1;3;18;1.9;-0.75;102.64;57;-5.06;0;0;0;4.7
2002/01/03 @ 19:00:00;1;3;19;1.8;-0.83;102.58;57;-5.14;0;0;0;4.5
2002/01/03 @ 20:00:00;1;3;20;1.9;-0.69;102.63;58;-4.86;0;0;0;4.5
2002/01/03 @ 21:00:00;1;3;21;1.5;-0.84;102.84;61;-4.6;0;0;0;4.4
2002/01/03 @ 22:00:00;1;3;22;1.9;-0.26;102.71;65;-3.52;0;0;0;4.6
2002/01/03 @ 23:00:00;1;3;23;3.2;1.1;102.78;68;-1.88;0;0;0;4.3
2002/01/04 @ 00:00:00;1;4;0;3.9;1.94;102.71;71;-0.77;0;0;0;4.2
2002/01/04 @ 01:00:00;1;4;1;4.1;2.2;102.9;72;-0.43;0;0;0;4.2
2002/01/04 @ 02:00:00;1;4;2;4.2;2.43;102.85;74;-0.01;0;0;0;4
2002/01/04 @ 03:00:00;1;4;3;4.9;3.22;102.46;76;1.01;0;0;0;3.5
2002/01/04 @ 04:00:00;1;4;4;5.3;3.66;102.47;77;1.59;0;0;0;3.5
2002/01/04 @ 05:00:00;1;4;5;5.4;3.9;102.6;79;2.05;0;0;0;3.3
2002/01/04 @ 06:00:00;1;4;6;5.3;3.95;102.67;81;2.3;0;0;0;3.4
2002/01/04 @ 07:00:00;1;4;7;5.4;4.05;102.68;81;2.4;0;0;0;3.9
2002/01/04 @ 08:00:00;1;4;8;5.8;4.5;102.46;82;2.97;0;0;0;3.8
2002/01/04 @ 09:00:00;1;4;9;6;4.69;102.49;82;3.17;16.4;5;16;4.3
2002/01/04 @ 10:00:00;1;4;10;6.7;4.89;102.35;76;2.77;21.36;2;21;5.3
2002/01/04 @ 11:00:00;1;4;11;7.8;5.66;102.25;73;3.27;51.25;5;50;6.5
2002/01/04 @ 12:00:00;1;4;12;7.1;4.54;102.21;67;1.38;86.65;13;83;6.2
2002/01/04 @ 13:00:00;1;4;13;5.9;3.23;102.07;64;-0.33;54.09;4;53;5.6
2002/01/04 @ 14:00:00;1;4;14;5;2.27;101.86;62;-1.47;80.51;20;76;5.5
2002/01/04 @ 15:00:00;1;4;15;4.9;2.11;101.72;61;-1.75;30.85;6;30;5.7
2002/01/04 @ 16:00:00;1;4;16;4.7;1.78;101.44;59;-2.31;4.09;3;4;6.2
2002/01/04 @ 17:00:00;1;4;17;5.5;2.56;101.7;60;-1.45;0;0;0;7.1
2002/01/04 @ 18:00:00;1;4;18;6.1;2.93;101.67;58;-1.35;0;0;0;8.1
2002/01/04 @ 19:00:00;1;4;19;6.8;3.94;101.58;63;0.23;0;0;0;7.5
2002/01/04 @ 20:00:00;1;4;20;7.8;5.33;101.76;69;2.47;0;0;0;7.6
2002/01/04 @ 21:00:00;1;4;21;8.5;6.13;101.79;71;3.56;0;0;0;7.2
2002/01/04 @ 22:00:00;1;4;22;9.3;7.03;101.76;73;4.73;0;0;0;7.3
2002/01/04 @ 23:00:00;1;4;23;9.6;7.39;101.72;74;5.22;0;0;0;7.2
2002/01/05 @ 00:00:00;1;5;0;9.7;7.66;101.67;76;5.7;0;0;0;7.2
2002/01/05 @ 01:00:00;1;5;1;10;7.94;101.7;76;5.99;0;0;0;7.2
2002/01/05 @ 02:00:00;1;5;2;10.2;8.13;101.75;76;6.19;0;0;0;7.2
2002/01/05 @ 03:00:00;1;5;3;10.9;8.96;101.79;78;7.25;0;0;0;7.3
2002/01/05 @ 04:00:00;1;5;4;10.5;8.94;101.91;82;7.59;0;0;0;7.1
2002/01/05 @ 05:00:00;1;5;5;10.3;9.1;102.02;86;8.09;0;0;0;7
2002/01/05 @ 06:00:00;1;5;6;10;9.16;101.86;90;8.47;0;0;0;6.4
