Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/03 @ 14:00:00;1;3;14;31.2;24.85;101.03;60;22.52;749.71;468;351;5.8
2002/01/03 @ 15:00:00;1;3;15;30.5;25.11;101.02;65;23.18;559.19;203;409;5.2
2002/01/03 @ 16:00:00;1;3;16;29.5;25.05;101.01;70;23.45;330.38;44;305;4.6
2002/01/03 @ 17:00:00;1;3;17;28.6;25.16;101;76;23.95;150.36;9;147;3.7
2002/01/03 @ 18:00:00;1;3;18;27.7;25.07;101.01;81;24.14;46.29;2;46;3.2
2002/01/03 @ 19:00:00;1;3;19;27;25.11;101.02;86;24.46;12;1;12;2.5
2002/01/03 @ 20:00:00;1;3;20;26.4;24.95;101.03;89;24.44;0;0;0;2.1
2002/01/03 @ 21:00:00;1;3;21;26;24.96;101.04;92;24.6;0;0;0;1.7
2002/01/03 @ 22:00:00;1;3;22;25.8;25.16;101.05;95;24.94;0;0;0;1.5
2002/01/03 @ 23:00:00;1;3;23;25.7;25.32;101.06;97;25.19;0;0;0;1.3
2002/01/04 @ 00:00:00;1;4;0;25.6;25.35;101.06;98;25.26;0;0;0;1.4
2002/01/04 @ 01:00:00;1;4;1;25.6;25.47;101.06;99;25.43;0;0;0;1.5
2002/01/04 @ 02:00:00;1;4;2;25.4;25.4;101.06;100;25.4;0;0;0;1.5
2002/01/04 @ 03:00:00;1;4;3;25.3;25.17;101.06;99;25.13;0;0;0;1.7
2002/01/04 @ 04:00:00;1;4;4;25.3;25.05;101.07;98;24.96;0;0;0;2.1
2002/01/04 @ 05:00:00;1;4;5;25.7;25.45;101.07;98;25.36;0;0;0;2.1
2002/01/04 @ 06:00:00;1;4;6;26.4;25.49;101.1;93;25.17;0;0;0;2.5
2002/01/04 @ 07:00:00;1;4;7;27.5;25.74;101.12;87;25.14;0;0;0;3
2002/01/04 @ 08:00:00;1;4;8;28.9;26.05;101.14;80;25.1;545.11;220;477;4.1
2002/01/04 @ 09:00:00;1;4;9;29.6;26.09;101.13;76;24.92;923.75;584;619;4.1
2002/01/04 @ 10:00:00;1;4;10;30.1;26.08;101.13;73;24.72;961.63;756;434;4.1
2002/01/04 @ 11:00:00;1;4;11;30.6;25.88;101.12;69;24.26;934.8;851;232;4.1
2002/01/04 @ 12:00:00;1;4;12;31.1;25.65;101.08;65;23.74;885.86;758;206;4.6
2002/01/04 @ 13:00:00;1;4;13;31.3;25.3;101.03;62;23.15;838.91;609;287;4.6
2002/01/04 @ 14:00:00;1;4;14;31.3;24.76;100.99;59;22.34;732.2;428;367;4.6
2002/01/04 @ 15:00:00;1;4;15;30.5;25.11;100.98;65;23.18;559.53;203;409;4.1
2002/01/04 @ 16:00:00;1;4;16;29.3;25.02;100.98;71;23.5;331.46;44;306;3.6
2002/01/04 @ 17:00:00;1;4;17;28.1;25;100.97;78;23.9;150.01;8;147;3
2002/01/04 @ 18:00:00;1;4;18;27.4;24.93;101;82;24.05;45.29;2;45;2.7
2002/01/04 @ 19:00:00;1;4;19;27.1;25.21;101.03;86;24.55;12;1;12;2.5
2002/01/04 @ 20:00:00;1;4;20;27.1;25.49;101.06;88;24.94;0;0;0;2.7
2002/01/04 @ 21:00:00;1;4;21;27.1;25.63;101.11;89;25.13;0;0;0;2.2
2002/01/04 @ 22:00:00;1;4;22;27.1;25.9;101.17;91;25.5;0;0;0;1.8
2002/01/04 @ 23:00:00;1;4;23;27.1;26.04;101.22;92;25.68;0;0;0;1.5
2002/01/05 @ 00:00:00;1;5;0;26.9;26.11;101.19;94;25.85;0;0;0;1.3
2002/01/05 @ 01:00:00;1;5;1;26.6;26.08;101.15;96;25.9;0;0;0;1.3
2002/01/05 @ 02:00:00;1;5;2;26.2;25.94;101.12;98;25.85;0;0;0;1.3
2002/01/05 @ 03:00:00;1;5;3;25.9;25.64;101.12;98;25.56;0;0;0;1
2002/01/05 @ 04:00:00;1;5;4;25.7;25.45;101.13;98;25.36;0;0;0;1
2002/01/05 @ 05:00:00;1;5;5;26.1;25.84;101.13;98;25.76;0;0;0;0.5
2002/01/05 @ 06:00:00;1;5;6;26.7;25.91;101.15;94;25.65;0;0;0;1
2002/01/05 @ 07:00:00;1;5;7;28.3;26.36;101.18;86;25.73;0;0;0;2.1
2002/01/05 @ 08:00:00;1;5;8;30.2;26.65;101.2;76;25.49;441.57;216;375;3.5
2002/01/05 @ 09:00:00;1;5;9;31.1;26.84;101.2;72;25.45;737.11;582;434;3.9
2002/01/05 @ 10:00:00;1;5;10;31.5;26.7;101.2;69;25.12;731.5;755;205;4.2
2002/01/05 @ 11:00:00;1;5;11;31.8;26.62;101.2;67;24.91;626.4;411;287;4.6
2002/01/05 @ 12:00:00;1;5;12;32.1;26.54;101.19;65;24.69;594.01;224;393;5.1
2002/01/05 @ 13:00:00;1;5;13;32.3;26.36;101.18;63;24.35;598.11;182;433;5.5
2002/01/05 @ 14:00:00;1;5;14;32.1;25.82;101.16;61;23.63;537.26;122;433;5.7
2002/01/05 @ 15:00:00;1;5;15;31.2;26.08;101.16;67;24.34;402.65;52;364;5.3
2002/01/05 @ 16:00:00;1;5;16;29.9;26.06;101.16;74;24.76;207.81;10;202;4.7
2002/01/05 @ 17:00:00;1;5;17;28.8;26.26;101.16;82;25.41;66.76;2;66;4.1
2002/01/05 @ 18:00:00;1;5;18;28.4;26.17;101.18;84;25.43;0;0;0;3.7
2002/01/05 @ 19:00:00;1;5;19;28.4;26.46;101.2;86;25.83;0;0;0;3.4
2002/01/05 @ 20:00:00;1;5;20;28.4;26.75;101.22;88;26.21;0;0;0;3
2002/01/05 @ 21:00:00;1;5;21;28.3;26.79;101.2;89;26.31;0;0;0;2.9
2002/01/05 @ 22:00:00;1;5;22;28;26.78;101.19;91;26.39;0;0;0;2.5
2002/01/05 @ 23:00:00;1;5;23;27.8;26.86;101.17;93;26.56;0;0;0;2.2
2002/01/06 @ 00:00:00;1;6;0;27.9;26.82;101.18;92;26.47;0;0;0;2.5
2002/01/06 @ 01:00:00;1;6;1;28.1;26.88;101.18;91;26.48;0;0;0;2.7
