Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;-8.9;-10.12;101.83;65;-13.7;0;0;0;0
2002/01/01 @ 01:00:00;1;1;1;-9.9;-11.04;101.9;65;-14.67;0;0;0;0.1
2002/01/01 @ 02:00:00;1;1;2;-11.4;-12.43;102;65;-16.11;0;0;0;0.1
2002/01/01 @ 03:00:00;1;1;3;-11.3;-12.28;102.11;67;-15.69;0;0;0;1.6
2002/01/01 @ 04:00:00;1;1;4;-11.7;-12.59;102.04;69;-15.76;0;0;0;1.8
2002/01/01 @ 05:00:00;1;1;5;-12.7;-13.48;101.99;71;-16.42;0;0;0;2.4
2002/01/01 @ 06:00:00;1;1;6;-12.6;-13.38;102.08;71;-16.32;43;0;43;2.4
2002/01/01 @ 07:00:00;1;1;7;-12.3;-13.1;102.22;71;-16.03;80;0;80;3
2002/01/01 @ 08:00:00;1;1;8;-11.9;-12.66;102.41;73;-15.34;100;0;100;3
2002/01/01 @ 09:00:00;1;1;9;-9.5;-10.47;102.48;71;-13.32;181.23;132;161;2.4
2002/01/01 @ 10:00:00;1;1;10;-7.8;-9.03;102.59;67;-12.31;245.9;377;155;3
2002/01/01 @ 11:00:00;1;1;11;-5.2;-6.69;102.48;66;-9.97;292.96;506;145;2.4
2002/01/01 @ 12:00:00;1;1;12;-4.7;-6.23;102.44;66;-9.48;255.87;477;111;2.4
2002/01/01 @ 13:00:00;1;1;13;-5.3;-6.87;102.45;64;-10.41;227.05;343;133;2.4
2002/01/01 @ 14:00:00;1;1;14;-5.9;-7.45;102.55;63;-11.16;197.69;421;111;2.4
2002/01/01 @ 15:00:00;1;1;15;-6.6;-8.09;102.62;63;-11.83;134.98;454;88;2.4
2002/01/01 @ 16:00:00;1;1;16;-7.9;-9.31;102.7;62;-13.26;98;274;98;1.8
2002/01/01 @ 17:00:00;1;1;17;-8.7;-10.04;102.75;62;-14.03;0;0;0;1.8
2002/01/01 @ 18:00:00;1;1;18;-9.3;-10.59;102.71;62;-14.6;0;0;0;1.6
2002/01/01 @ 19:00:00;1;1;19;-10.1;-11.29;102.78;63;-15.2;0;0;0;1
2002/01/01 @ 20:00:00;1;1;20;-10.8;-11.93;102.78;63;-15.87;0;0;0;1.6
2002/01/01 @ 21:00:00;1;1;21;-11.2;-12.27;102.8;64;-16.08;0;0;0;1.6
2002/01/01 @ 22:00:00;1;1;22;-11.7;-12.73;102.85;64;-16.56;0;0;0;1.6
2002/01/01 @ 23:00:00;1;1;23;-11.9;-12.89;102.82;65;-16.59;0;0;0;1.8
2002/01/02 @ 00:00:00;1;2;0;-11.9;-12.92;102.79;64;-16.76;0;0;0;1.8
2002/01/02 @ 01:00:00;1;2;1;-12.2;-13.23;102.76;63;-17.21;0;0;0;1.8
2002/01/02 @ 02:00:00;1;2;2;-11.7;-12.79;102.72;62;-16.9;0;0;0;1.8
