Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;24.6;22.63;92.3;85;21.92;250.79;82;215;6.3
2002/01/01 @ 01:00:00;1;1;1;26.2;23;92.3;77;21.86;383.99;133;307;7.7
2002/01/01 @ 02:00:00;1;1;2;29.3;24.09;92.3;66;22.3;501.61;178;382;9.9
2002/01/01 @ 03:00:00;1;1;3;31.1;24.43;92.2;59;22.15;586.02;210;437;10.8
2002/01/01 @ 04:00:00;1;1;4;31.7;24.18;92.2;55;21.56;661.59;323;439;11.4
2002/01/01 @ 05:00:00;1;1;5;31.5;24.59;92.2;58;22.24;676.26;507;366;12.2
2002/01/01 @ 06:00:00;1;1;6;30.6;24.72;92.2;63;22.76;576.94;364;401;12.1
2002/01/01 @ 07:00:00;1;1;7;28.9;24.72;92.2;72;23.35;463.76;262;382;11.9
2002/01/01 @ 08:00:00;1;1;8;27.4;24.72;92.1;81;23.85;344.97;182;325;12.3
2002/01/01 @ 09:00:00;1;1;9;25.2;23.06;92.1;84;22.31;238;137;238;9.4
2002/01/01 @ 10:00:00;1;1;10;24.2;23.04;92.1;91;22.64;142;33;142;7
2002/01/01 @ 11:00:00;1;1;11;23.5;22.75;92;94;22.48;0;0;0;5.3
2002/01/01 @ 12:00:00;1;1;12;22.7;22.08;92;95;21.87;0;0;0;5.6
2002/01/01 @ 13:00:00;1;1;13;22.3;21.69;92;95;21.47;0;0;0;6
2002/01/01 @ 14:00:00;1;1;14;22.4;21.54;92.1;93;21.22;0;0;0;6.5
2002/01/01 @ 15:00:00;1;1;15;22.9;21.9;92;92;21.54;0;0;0;9.1
2002/01/01 @ 16:00:00;1;1;16;22.4;21.29;91.8;91;20.87;0;0;0;12.4
2002/01/01 @ 17:00:00;1;1;17;23.4;22;91.8;89;21.49;0;0;0;16.1
2002/01/01 @ 18:00:00;1;1;18;22.7;21.58;91.8;91;21.17;0;0;0;13.9
2002/01/01 @ 19:00:00;1;1;19;22.5;21;91.8;88;20.43;0;0;0;11
2002/01/01 @ 20:00:00;1;1;20;22.5;21.13;91.8;89;20.61;0;0;0;8.5
2002/01/01 @ 21:00:00;1;1;21;22.2;21.22;91.8;92;20.85;0;0;0;7
2002/01/01 @ 22:00:00;1;1;22;22.4;21.41;91.7;92;21.05;76.04;1;76;5.2
2002/01/01 @ 23:00:00;1;1;23;23.7;22.03;91.8;87;21.42;121.77;74;103;4.1
2002/01/02 @ 00:00:00;1;2;0;25.6;22.29;91.8;76;21.07;244.94;71;214;6.2
2002/01/02 @ 01:00:00;1;2;1;27;22.82;91.9;71;21.3;378.16;123;307;8.4
2002/01/02 @ 02:00:00;1;2;2;30.3;23.91;92;60;21.68;499.62;175;382;11.6
2002/01/02 @ 03:00:00;1;2;3;31.6;24.1;92;55;21.47;588.7;215;436;12.5
2002/01/02 @ 04:00:00;1;2;4;31.8;23.87;91.9;53;21.05;673.1;358;426;13.6
2002/01/02 @ 05:00:00;1;2;5;30;25.05;91.9;68;23.45;679.84;523;359;14
2002/01/02 @ 06:00:00;1;2;6;28.4;23.93;91.8;70;22.41;571.98;305;424;13.1
2002/01/02 @ 07:00:00;1;2;7;26.4;23.63;91.9;80;22.68;464.48;218;396;11.4
2002/01/02 @ 08:00:00;1;2;8;24.7;22.99;91.9;87;22.4;347.36;173;328;10.3
2002/01/02 @ 09:00:00;1;2;9;23.3;22.42;91.8;93;22.11;241;127;241;8.8
2002/01/02 @ 10:00:00;1;2;10;22.8;22.31;91.8;96;22.14;136;22;136;7.1
2002/01/02 @ 11:00:00;1;2;11;22.5;22.13;91.8;97;22.01;0;0;0;5.6
2002/01/02 @ 12:00:00;1;2;12;22.5;22.26;91.8;98;22.18;0;0;0;4.3
2002/01/02 @ 13:00:00;1;2;13;22;21.64;91.8;97;21.51;0;0;0;1.8
2002/01/02 @ 14:00:00;1;2;14;21.8;21.44;91.8;97;21.31;0;0;0;0.5
2002/01/02 @ 15:00:00;1;2;15;21.8;21.44;91.8;97;21.31;0;0;0;1.7
2002/01/02 @ 16:00:00;1;2;16;22.1;21.61;91.7;96;21.44;0;0;0;3.1
2002/01/02 @ 17:00:00;1;2;17;21.9;21.42;91.7;96;21.24;0;0;0;4.6
2002/01/02 @ 18:00:00;1;2;18;21.8;21.32;91.7;96;21.14;0;0;0;5.3
2002/01/02 @ 19:00:00;1;2;19;21.8;21.07;91.7;94;20.8;0;0;0;6.1
2002/01/02 @ 20:00:00;1;2;20;21.4;20.92;91.8;96;20.75;0;0;0;7.2
2002/01/02 @ 21:00:00;1;2;21;21.1;20.63;91.9;96;20.45;0;0;0;6.4
2002/01/02 @ 22:00:00;1;2;22;20.7;20.23;91.9;96;20.05;40.04;1;40;5.1
2002/01/02 @ 23:00:00;1;2;23;21.8;20.7;92;91;20.28;95.53;10;93;4.6
2002/01/03 @ 00:00:00;1;3;0;24.9;22.5;92;82;21.62;237.24;58;212;5.8
2002/01/03 @ 01:00:00;1;3;1;26.1;22.61;91.9;75;21.33;371.19;111;307;6.4
2002/01/03 @ 02:00:00;1;3;2;27.6;23.53;91.9;72;22.1;467.36;121;386;6.9
2002/01/03 @ 03:00:00;1;3;3;27.5;23.28;91.9;71;21.78;563.57;171;442;8.2
2002/01/03 @ 04:00:00;1;3;4;25.2;23.06;91.8;84;22.31;586.32;161;475;10.3
2002/01/03 @ 05:00:00;1;3;5;23.9;23.14;91.7;94;22.88;553.5;126;476;13.1
2002/01/03 @ 06:00:00;1;3;6;22.9;22.28;91.8;95;22.06;454.66;65;423;10.6
2002/01/03 @ 07:00:00;1;3;7;21.9;21.66;91.9;98;21.58;292.38;17;287;9.8
2002/01/03 @ 08:00:00;1;3;8;21.7;21.46;91.9;98;21.38;148.46;4;148;9
2002/01/03 @ 09:00:00;1;3;9;21.4;21.16;92;98;21.08;44;1;44;7.8
2002/01/03 @ 10:00:00;1;3;10;21.2;20.96;92;98;20.88;24;0;24;6.2
