Time;MM;DD;hh;T_dry;T_wb;P;RH;T_dp;ghi;dni;dhi;v_wind
2002/01/01 @ 00:00:00;1;1;0;17.9;7.6;101.59;18;-5.98;0;0;0;3.9
2002/01/01 @ 01:00:00;1;1;1;17.6;7.55;101.55;19;-5.57;0;0;0;3.8
2002/01/01 @ 02:00:00;1;1;2;16.9;7.09;101.51;19;-6.09;0;0;0;3.8
2002/01/01 @ 03:00:00;1;1;3;16.6;6.75;101.51;18;-6.93;0;0;0;3.8
2002/01/01 @ 04:00:00;1;1;4;16.5;6.68;101.51;18;-7.01;0;0;0;4
2002/01/01 @ 05:00:00;1;1;5;16.7;6.67;101.52;17;-7.52;0;0;0;4.1
2002/01/01 @ 06:00:00;1;1;6;17.9;8.2;101.57;22;-3.63;0;0;0;4.3
2002/01/01 @ 07:00:00;1;1;7;19.1;8.38;101.55;18;-5.1;0;0;0;4.2
2002/01/01 @ 08:00:00;1;1;8;19.2;7.14;101.48;10;-11.74;263.45;243;202;4.2
2002/01/01 @ 09:00:00;1;1;9;20.4;8.19;101.48;12;-8.85;419.14;526;213;4
2002/01/01 @ 10:00:00;1;1;10;20.8;8.77;101.38;14;-6.8;552.95;666;227;3.9
2002/01/01 @ 11:00:00;1;1;11;20.9;8.66;101.32;13;-7.58;610.15;739;212;3.8
2002/01/01 @ 12:00:00;1;1;12;21.4;8.77;101.22;12;-8.15;573.19;770;160;3.8
2002/01/01 @ 13:00:00;1;1;13;22.2;9.24;101.15;12;-7.59;494.03;737;138;3.8
2002/01/01 @ 14:00:00;1;1;14;22.4;9.54;101.12;13;-6.52;385.34;598;157;4
2002/01/01 @ 15:00:00;1;1;15;20.5;8.58;101.15;14;-7.01;241.9;279;175;3.6
2002/01/01 @ 16:00:00;1;1;16;20.2;8.38;100.98;14;-7.23;66.73;11;66;3.7
2002/01/01 @ 17:00:00;1;1;17;19.8;7.8;100.98;12;-9.27;0;0;0;3.8
2002/01/01 @ 18:00:00;1;1;18;19.7;8.24;100.88;15;-6.79;0;0;0;3.6
2002/01/01 @ 19:00:00;1;1;19;19.3;7.16;100.83;10;-11.67;0;0;0;3.9
2002/01/01 @ 20:00:00;1;1;20;20.5;7.68;100.78;9;-12.01;0;0;0;4
2002/01/01 @ 21:00:00;1;1;21;20.6;8.44;100.75;13;-7.79;0;0;0;3.6
2002/01/01 @ 22:00:00;1;1;22;21.2;8.62;100.71;12;-8.29;0;0;0;3.5
2002/01/01 @ 23:00:00;1;1;23;20.8;8.91;100.68;15;-6;0;0;0;3.4
2002/01/02 @ 00:00:00;1;2;0;20.3;9.1;100.68;18;-4.23;0;0;0;3.4
2002/01/02 @ 01:00:00;1;2;1;19.4;8.68;100.65;19;-4.25;0;0;0;3.5
2002/01/02 @ 02:00:00;1;2;2;18.6;8.78;100.61;23;-2.58;0;0;0;3.8
2002/01/02 @ 03:00:00;1;2;3;18.9;9.13;100.58;24;-1.85;0;0;0;3.3
2002/01/02 @ 04:00:00;1;2;4;18.3;9.75;100.56;31;0.88;0;0;0;2.7
2002/01/02 @ 05:00:00;1;2;5;17.4;10.18;100.49;39;3.32;0;0;0;2.2
2002/01/02 @ 06:00:00;1;2;6;16.2;10.64;100.44;50;5.8;0;0;0;2.1
2002/01/02 @ 07:00:00;1;2;7;15.2;11.54;100.41;65;8.7;0;0;0;2.1
2002/01/02 @ 08:00:00;1;2;8;14.2;11.92;100.41;77;10.26;150.18;242;89;2.1
2002/01/02 @ 09:00:00;1;2;9;14.1;12.23;100.38;81;10.92;78.71;12;74;1.8
2002/01/02 @ 10:00:00;1;2;10;13.9;12.55;100.34;86;11.63;69.47;3;68;1.5
2002/01/02 @ 11:00:00;1;2;11;13.9;12.45;100.31;85;11.45;51.54;1;51;1.2
2002/01/02 @ 12:00:00;1;2;12;14.8;13;100.31;82;11.79;80.08;2;79;1.3
2002/01/02 @ 13:00:00;1;2;13;15.3;13.36;100.28;81;12.09;97.94;4;96;1.5
2002/01/02 @ 14:00:00;1;2;14;14.8;13.3;100.28;85;12.34;92.54;4;91;1.6
2002/01/02 @ 15:00:00;1;2;15;14.6;13.11;100.28;85;12.14;86.45;6;85;1.7
2002/01/02 @ 16:00:00;1;2;16;14.4;12.41;100.28;80;11.03;70.9;13;70;1.8
2002/01/02 @ 17:00:00;1;2;17;14.7;12.9;100.14;82;11.69;0;0;0;2.3
2002/01/02 @ 18:00:00;1;2;18;14.8;12.58;100.21;78;11.04;0;0;0;2.1
2002/01/02 @ 19:00:00;1;2;19;15.2;12.74;100.21;76;11.03;0;0;0;2.1
2002/01/02 @ 20:00:00;1;2;20;15.4;12.71;100.16;74;10.83;0;0;0;2.1
2002/01/02 @ 21:00:00;1;2;21;13.9;12.44;100.08;85;11.45;0;0;0;1.6
2002/01/02 @ 22:00:00;1;2;22;12.9;11.78;100.3;88;10.99;0;0;0;1
2002/01/02 @ 23:00:00;1;2;23;12.7;12.43;100.18;97;12.27;0;0;0;0.7
2002/01/03 @ 00:00:00;1;3;0;12.4;11.58;100.33;91;11.01;0;0;0;1.1
2002/01/03 @ 01:00:00;1;3;1;12.7;11.59;100.41;88;10.8;0;0;0;1.5
2002/01/03 @ 02:00:00;1;3;2;13.4;11.97;100.48;85;10.96;47;0;47;2.1
2002/01/03 @ 03:00:00;1;3;3;14.8;12.79;100.58;80;11.42;0;0;0;2
